STRUCTURE,STRUCTURE_ID,freq,reporter,partner,product,flow,indicators,TIME_PERIOD,OBS_VALUE
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2015-01,4472009
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2015-02,4622710
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2015-03,4670483
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2015-04,6027350
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2015-05,5203290
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2015-06,5227397
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2015-07,6004785
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2015-08,4448100
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2015-09,3992165
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2015-10,4387240
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2015-11,4783916
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2015-12,5875707
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2016-01,3365190
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2016-02,5484220
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2016-03,6277167
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2016-04,5336141
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2016-05,3211026
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2016-06,5285277
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2016-07,4800313
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2016-08,4789251
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2016-09,4100478
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2016-10,3717211
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2016-11,5067063
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2016-12,5677140
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2017-01,5133309
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2017-02,5710186
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2017-03,5321229
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2017-04,3441848
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2017-05,5861230
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2017-06,4519767
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2017-07,3657250
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2017-08,3792542
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2017-09,3980994
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2017-10,4727192
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2017-11,5601902
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2017-12,5535407
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2018-01,3966936
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2018-02,4151834
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2018-03,4215154
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2018-04,2768569
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2018-05,3244860
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2018-06,3756642
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2018-07,2900911
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2018-08,3620167
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2018-09,3699662
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2018-10,2616567
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2018-11,4419392
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2018-12,5349764
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2019-01,3986518
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2019-02,3975831
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2019-03,3875928
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2019-04,2771264
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2019-05,4366076
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2019-06,4004311
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2019-07,3649744
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2019-08,3808116
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2019-09,4195723
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2019-10,3766819
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2019-11,4022181
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2019-12,4379835
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2020-01,4770892
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2020-02,4093974
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2020-03,3027381
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2020-04,3708066
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2020-05,3122129
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2020-06,2364379
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2020-07,3510879
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2020-08,2538674
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2020-09,2727174
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2020-10,4280232
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2020-11,3494298
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2020-12,2806883
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2021-01,2884320
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2021-02,3316653
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2021-03,3960639
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2021-04,3620796
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2021-05,3817736
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2021-06,3761919
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2021-07,4151987
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2021-08,3206562
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2021-09,4421013
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2021-10,4405653
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2021-11,4892895
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2021-12,6975872
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2022-01,5112470
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2022-02,3923637
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2022-03,5253969
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2022-04,4305811
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2022-05,4691069
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2022-06,4048315
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2022-07,4961989
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2022-08,5815330
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2022-09,7397114
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2022-10,5671827
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2022-11,5833938
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2022-12,4959577
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2023-01,9839640
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2023-02,7109509
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2023-03,8338168
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2023-04,5497100
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2023-05,5652411
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2023-06,6772278
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2023-07,6258406
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2023-08,7372902
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2023-09,5218167
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2023-10,7404795
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2023-11,9379449
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2023-12,9086973
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2024-01,8092890
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2024-02,7516489
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2024-03,7884271
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2024-04,6621408
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,2,VALUE_EUR,2024-05,10063968
