STRUCTURE,STRUCTURE_ID,freq,reporter,partner,product,flow,indicators,TIME_PERIOD,OBS_VALUE
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2015-01,8658
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2015-02,20826
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2015-03,8265
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2015-04,7065
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2015-05,172492
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2015-06,34113
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2015-07,13213
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2015-08,37688
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2015-09,3291
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2015-10,7436
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2015-11,9543
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2015-12,29575
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2016-01,66987
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2016-02,31230
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2016-03,44439
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2016-04,1790099
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2016-05,74242
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2016-06,16537
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2016-07,2604
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2016-08,871
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2016-09,13564
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2016-10,11255
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2016-11,15868
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2016-12,3328
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2017-01,10824
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2017-02,11724
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2017-03,23449
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2017-04,17704
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2017-05,28692
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2017-06,2538
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2017-07,25709
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2017-08,6812
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2017-09,8571
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2017-10,59655
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2017-11,30717
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2017-12,10218
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2018-01,2656
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2018-02,18392
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2018-03,25889
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2018-04,25690
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2018-05,14854
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2018-06,45452
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2018-07,6137
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2018-08,5301
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2018-09,1088
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2018-10,6662
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2018-11,232634
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2018-12,180967
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2019-01,3501
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2019-02,5130
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2019-03,4963
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2019-04,24865
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2019-05,16703
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2019-06,9713
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2019-07,110500
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2019-08,36170
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2019-09,67707
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2019-10,13800
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2019-11,32668
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2019-12,8862
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2020-01,4373
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2020-02,15246
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2020-03,24549
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2020-04,9612
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2020-05,3838
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2020-06,45767
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2020-07,5566
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2020-08,7537
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2020-09,22589
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2020-10,28882
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2020-11,72774
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2020-12,21024
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2021-01,2708
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2021-02,13435
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2021-03,9558
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2021-04,29933
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2021-05,3562
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2021-06,4348
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2021-07,13903
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2021-08,14325
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2021-09,8520
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2021-10,46492
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2021-11,53732
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2021-12,129944
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2022-01,51004
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2022-02,20739
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2022-03,29296
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2022-04,57175
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2022-05,25458
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2022-06,79404
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2022-07,6759
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2022-08,6120
dataflow,ESTAT:DS-059331(1.0),M,CH,AE,0,1,VALUE_EUR,2022-09,9052
