STRUCTURE,STRUCTURE_ID,freq,reporter,partner,product,flow,indicators,TIME_PERIOD,OBS_VALUE
dataflow,ESTAT:DS-059331(1.0),M,CY,AE,0,2,VALUE_EUR,2002-01,320146
dataflow,ESTAT:DS-059331(1.0),M,CY,AE,0,2,VALUE_EUR,2002-02,236450
dataflow,ESTAT:DS-059331(1.0),M,CY,AE,0,2,VALUE_EUR,2002-03,350280
dataflow,ESTAT:DS-059331(1.0),M,CY,AE,0,2,VALUE_EUR,2002-04,514913
dataflow,ESTAT:DS-059331(1.0),M,CY,AE,0,2,VALUE_EUR,2002-05,324785
dataflow,ESTAT:DS-059331(1.0),M,CY,AE,0,2,VALUE_EUR,2002-06,359383
dataflow,ESTAT:DS-059331(1.0),M,CY,AE,0,2,VALUE_EUR,2002-07,402989
dataflow,ESTAT:DS-059331(1.0),M,CY,AE,0,2,VALUE_EUR,2002-08,221360
dataflow,ESTAT:DS-059331(1.0),M,CY,AE,0,2,VALUE_EUR,2002-09,301558
dataflow,ESTAT:DS-059331(1.0),M,CY,AE,0,2,VALUE_EUR,2002-10,572869
dataflow,ESTAT:DS-059331(1.0),M,CY,AE,0,2,VALUE_EUR,2002-11,342517
dataflow,ESTAT:DS-059331(1.0),M,CY,AE,0,2,VALUE_EUR,2002-12,260437
dataflow,ESTAT:DS-059331(1.0),M,CY,AE,0,2,VALUE_EUR,2003-01,338966
dataflow,ESTAT:DS-059331(1.0),M,CY,AE,0,2,VALUE_EUR,2003-02,184535
dataflow,ESTAT:DS-059331(1.0),M,CY,AE,0,2,VALUE_EUR,2003-03,440096
dataflow,ESTAT:DS-059331(1.0),M,CY,AE,0,2,VALUE_EUR,2003-04,147142
dataflow,ESTAT:DS-059331(1.0),M,CY,AE,0,2,VALUE_EUR,2003-05,294860
dataflow,ESTAT:DS-059331(1.0),M,CY,AE,0,2,VALUE_EUR,2003-06,262733
dataflow,ESTAT:DS-059331(1.0),M,CY,AE,0,2,VALUE_EUR,2003-07,282023
dataflow,ESTAT:DS-059331(1.0),M,CY,AE,0,2,VALUE_EUR,2003-08,222507
dataflow,ESTAT:DS-059331(1.0),M,CY,AE,0,2,VALUE_EUR,2003-09,375407
dataflow,ESTAT:DS-059331(1.0),M,CY,AE,0,2,VALUE_EUR,2003-10,153726
dataflow,ESTAT:DS-059331(1.0),M,CY,AE,0,2,VALUE_EUR,2003-11,287511
dataflow,ESTAT:DS-059331(1.0),M,CY,AE,0,2,VALUE_EUR,2003-12,131919
dataflow,ESTAT:DS-059331(1.0),M,CY,AE,0,2,VALUE_EUR,2004-01,219683
dataflow,ESTAT:DS-059331(1.0),M,CY,AE,0,2,VALUE_EUR,2004-02,197668
dataflow,ESTAT:DS-059331(1.0),M,CY,AE,0,2,VALUE_EUR,2004-03,273171
dataflow,ESTAT:DS-059331(1.0),M,CY,AE,0,2,VALUE_EUR,2004-04,228143
dataflow,ESTAT:DS-059331(1.0),M,CY,AE,0,2,VALUE_EUR,2004-05,239459
dataflow,ESTAT:DS-059331(1.0),M,CY,AE,0,2,VALUE_EUR,2004-06,218605
dataflow,ESTAT:DS-059331(1.0),M,CY,AE,0,2,VALUE_EUR,2004-07,274054
dataflow,ESTAT:DS-059331(1.0),M,CY,AE,0,2,VALUE_EUR,2004-08,249813
dataflow,ESTAT:DS-059331(1.0),M,CY,AE,0,2,VALUE_EUR,2004-09,262592
dataflow,ESTAT:DS-059331(1.0),M,CY,AE,0,2,VALUE_EUR,2004-10,176235
dataflow,ESTAT:DS-059331(1.0),M,CY,AE,0,2,VALUE_EUR,2004-11,276589
dataflow,ESTAT:DS-059331(1.0),M,CY,AE,0,2,VALUE_EUR,2004-12,323528
dataflow,ESTAT:DS-059331(1.0),M,CY,AE,0,2,VALUE_EUR,2005-01,250654
dataflow,ESTAT:DS-059331(1.0),M,CY,AE,0,2,VALUE_EUR,2005-02,347798
dataflow,ESTAT:DS-059331(1.0),M,CY,AE,0,2,VALUE_EUR,2005-03,443350
dataflow,ESTAT:DS-059331(1.0),M,CY,AE,0,2,VALUE_EUR,2005-04,288269
dataflow,ESTAT:DS-059331(1.0),M,CY,AE,0,2,VALUE_EUR,2005-05,509581
dataflow,ESTAT:DS-059331(1.0),M,CY,AE,0,2,VALUE_EUR,2005-06,150155
dataflow,ESTAT:DS-059331(1.0),M,CY,AE,0,2,VALUE_EUR,2005-07,287538
dataflow,ESTAT:DS-059331(1.0),M,CY,AE,0,2,VALUE_EUR,2005-08,345661
dataflow,ESTAT:DS-059331(1.0),M,CY,AE,0,2,VALUE_EUR,2005-09,275753
dataflow,ESTAT:DS-059331(1.0),M,CY,AE,0,2,VALUE_EUR,2005-10,133076
dataflow,ESTAT:DS-059331(1.0),M,CY,AE,0,2,VALUE_EUR,2005-11,454367
dataflow,ESTAT:DS-059331(1.0),M,CY,AE,0,2,VALUE_EUR,2005-12,309185
dataflow,ESTAT:DS-059331(1.0),M,CY,AE,0,2,VALUE_EUR,2006-01,143411
dataflow,ESTAT:DS-059331(1.0),M,CY,AE,0,2,VALUE_EUR,2006-02,360820
dataflow,ESTAT:DS-059331(1.0),M,CY,AE,0,2,VALUE_EUR,2006-03,369200
dataflow,ESTAT:DS-059331(1.0),M,CY,AE,0,2,VALUE_EUR,2006-04,394844
dataflow,ESTAT:DS-059331(1.0),M,CY,AE,0,2,VALUE_EUR,2006-05,156416
dataflow,ESTAT:DS-059331(1.0),M,CY,AE,0,2,VALUE_EUR,2006-06,339982
dataflow,ESTAT:DS-059331(1.0),M,CY,AE,0,2,VALUE_EUR,2006-07,299454
