STRUCTURE,STRUCTURE_ID,freq,reporter,partner,product,flow,indicators,TIME_PERIOD,OBS_VALUE
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,2,VALUE_EUR,2015-02,146497
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,2,VALUE_EUR,2015-03,4845
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,2,VALUE_EUR,2015-06,153934
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,2,VALUE_EUR,2015-07,1270
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,2,VALUE_EUR,2015-12,63644
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,2,VALUE_EUR,2016-01,221256
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,2,VALUE_EUR,2016-03,118765
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,2,VALUE_EUR,2016-04,153456
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,2,VALUE_EUR,2016-05,18316
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,2,VALUE_EUR,2016-06,260972
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,2,VALUE_EUR,2016-07,183218
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,2,VALUE_EUR,2016-08,179269
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,2,VALUE_EUR,2016-09,118764
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,2,VALUE_EUR,2016-10,60578
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,2,VALUE_EUR,2016-12,61539
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,2,VALUE_EUR,2017-04,110418
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,2,VALUE_EUR,2017-05,18348
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,2,VALUE_EUR,2017-06,140022
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,2,VALUE_EUR,2017-07,230774
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,2,VALUE_EUR,2017-09,220930
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,2,VALUE_EUR,2018-01,131957
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,2,VALUE_EUR,2018-02,203100
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,2,VALUE_EUR,2018-03,6465
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,2,VALUE_EUR,2018-04,52651
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,2,VALUE_EUR,2018-05,87783
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,2,VALUE_EUR,2018-06,13014
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,2,VALUE_EUR,2018-09,1116
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,2,VALUE_EUR,2018-10,12593
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,2,VALUE_EUR,2018-12,7857
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,2,VALUE_EUR,2019-01,1124
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,2,VALUE_EUR,2019-02,1153
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,2,VALUE_EUR,2019-04,5875
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,2,VALUE_EUR,2019-05,1172
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,2,VALUE_EUR,2019-07,1165
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,2,VALUE_EUR,2019-08,4732
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,2,VALUE_EUR,2019-09,191829
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,2,VALUE_EUR,2019-10,950
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,2,VALUE_EUR,2020-01,1151
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,2,VALUE_EUR,2020-03,11201
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,2,VALUE_EUR,2020-04,38
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,2,VALUE_EUR,2020-06,50
