STRUCTURE,STRUCTURE_ID,freq,reporter,partner,product,flow,indicators,TIME_PERIOD,OBS_VALUE
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2015-01,5207
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2015-06,180
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2015-07,2123
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2016-05,48
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2016-07,50
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2016-09,68
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2016-11,1149
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2018-07,1126
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2019-03,1308
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2019-10,106
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2019-12,20355
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2020-07,1989
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2020-08,181
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2020-09,52
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2020-10,15167
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2020-11,144
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2020-12,717
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2021-01,60
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2021-02,44
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2021-03,559
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2021-04,17
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2021-05,705
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2021-06,269
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2021-07,185
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2021-08,427
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2021-09,180
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2021-10,1168
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2021-11,498
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2021-12,1627
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2022-01,3608
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2022-03,2076
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2022-05,397
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2022-07,37
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2022-08,9089
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2022-09,125
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2022-10,3358
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2022-11,2943
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2022-12,328
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2023-01,879
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2023-02,4254
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2023-03,369
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2023-04,911
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2023-05,1032
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2023-06,353
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2023-07,588
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2023-08,66
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2023-09,4045
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2023-10,371
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2023-11,1367
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2023-12,27
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2024-01,2193
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2024-02,37299
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2024-03,175
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2024-04,4810
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2024-05,164
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2024-06,215
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2024-07,37
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2024-08,2046
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2024-09,2833
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2024-10,6733
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2024-11,1969
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2024-12,5214
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2025-01,1834
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2025-02,7141
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2025-03,16945
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2025-04,11966
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2025-05,6234
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2025-06,608
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2025-07,1600
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2025-08,3215
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2025-09,45686
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2025-10,7041
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,0,1,VALUE_EUR,2025-11,11430
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,1,1,VALUE_EUR,2016-09,10
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,1,1,VALUE_EUR,2020-10,12782
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,1,1,VALUE_EUR,2021-12,71
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,1,1,VALUE_EUR,2022-09,4223
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,1,1,VALUE_EUR,2023-04,130
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,1,1,VALUE_EUR,2023-09,285
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,1,1,VALUE_EUR,2024-04,134
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,1,1,VALUE_EUR,2024-05,367
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,1,1,VALUE_EUR,2024-06,94
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,1,1,VALUE_EUR,2025-01,815
dataflow,ESTAT:DS-059331(1.0),M,IS,AE,1,1,VALUE_EUR,2025-05,37
