STRUCTURE,STRUCTURE_ID,freq,reporter,partner,product,flow,indicators,TIME_PERIOD,OBS_VALUE
dataflow,ESTAT:DS-059331(1.0),M,MT,AE,0,2,VALUE_EUR,2002-01,101639
dataflow,ESTAT:DS-059331(1.0),M,MT,AE,0,2,VALUE_EUR,2002-02,478710
dataflow,ESTAT:DS-059331(1.0),M,MT,AE,0,2,VALUE_EUR,2002-03,505843
dataflow,ESTAT:DS-059331(1.0),M,MT,AE,0,2,VALUE_EUR,2002-04,1338063
dataflow,ESTAT:DS-059331(1.0),M,MT,AE,0,2,VALUE_EUR,2002-05,433650
dataflow,ESTAT:DS-059331(1.0),M,MT,AE,0,2,VALUE_EUR,2002-06,361361
dataflow,ESTAT:DS-059331(1.0),M,MT,AE,0,2,VALUE_EUR,2002-07,555938
dataflow,ESTAT:DS-059331(1.0),M,MT,AE,0,2,VALUE_EUR,2002-08,1036827
dataflow,ESTAT:DS-059331(1.0),M,MT,AE,0,2,VALUE_EUR,2002-09,1235093
dataflow,ESTAT:DS-059331(1.0),M,MT,AE,0,2,VALUE_EUR,2002-10,1104048
dataflow,ESTAT:DS-059331(1.0),M,MT,AE,0,2,VALUE_EUR,2002-11,629847
dataflow,ESTAT:DS-059331(1.0),M,MT,AE,0,2,VALUE_EUR,2002-12,342389
dataflow,ESTAT:DS-059331(1.0),M,MT,AE,0,2,VALUE_EUR,2003-01,577804
dataflow,ESTAT:DS-059331(1.0),M,MT,AE,0,2,VALUE_EUR,2003-02,511761
dataflow,ESTAT:DS-059331(1.0),M,MT,AE,0,2,VALUE_EUR,2003-03,775968
dataflow,ESTAT:DS-059331(1.0),M,MT,AE,0,2,VALUE_EUR,2003-04,199503
dataflow,ESTAT:DS-059331(1.0),M,MT,AE,0,2,VALUE_EUR,2003-05,828036
dataflow,ESTAT:DS-059331(1.0),M,MT,AE,0,2,VALUE_EUR,2003-06,644111
dataflow,ESTAT:DS-059331(1.0),M,MT,AE,0,2,VALUE_EUR,2003-07,994209
dataflow,ESTAT:DS-059331(1.0),M,MT,AE,0,2,VALUE_EUR,2003-08,1039164
dataflow,ESTAT:DS-059331(1.0),M,MT,AE,0,2,VALUE_EUR,2003-09,921276
dataflow,ESTAT:DS-059331(1.0),M,MT,AE,0,2,VALUE_EUR,2003-10,442495
dataflow,ESTAT:DS-059331(1.0),M,MT,AE,0,2,VALUE_EUR,2003-11,451717
dataflow,ESTAT:DS-059331(1.0),M,MT,AE,0,2,VALUE_EUR,2003-12,699439
dataflow,ESTAT:DS-059331(1.0),M,MT,AE,0,2,VALUE_EUR,2004-01,464455
dataflow,ESTAT:DS-059331(1.0),M,MT,AE,0,2,VALUE_EUR,2004-02,46905
dataflow,ESTAT:DS-059331(1.0),M,MT,AE,0,2,VALUE_EUR,2004-03,852100
dataflow,ESTAT:DS-059331(1.0),M,MT,AE,0,2,VALUE_EUR,2004-04,662322
dataflow,ESTAT:DS-059331(1.0),M,MT,AE,0,2,VALUE_EUR,2004-05,810920
dataflow,ESTAT:DS-059331(1.0),M,MT,AE,0,2,VALUE_EUR,2004-06,116342
dataflow,ESTAT:DS-059331(1.0),M,MT,AE,0,2,VALUE_EUR,2004-07,24046
dataflow,ESTAT:DS-059331(1.0),M,MT,AE,0,2,VALUE_EUR,2004-08,236254
dataflow,ESTAT:DS-059331(1.0),M,MT,AE,0,2,VALUE_EUR,2004-09,1076010
dataflow,ESTAT:DS-059331(1.0),M,MT,AE,0,2,VALUE_EUR,2004-10,144417
dataflow,ESTAT:DS-059331(1.0),M,MT,AE,0,2,VALUE_EUR,2004-11,338163
dataflow,ESTAT:DS-059331(1.0),M,MT,AE,0,2,VALUE_EUR,2004-12,161188
dataflow,ESTAT:DS-059331(1.0),M,MT,AE,0,2,VALUE_EUR,2005-01,234012
dataflow,ESTAT:DS-059331(1.0),M,MT,AE,0,2,VALUE_EUR,2005-02,506916
dataflow,ESTAT:DS-059331(1.0),M,MT,AE,0,2,VALUE_EUR,2005-03,582737
dataflow,ESTAT:DS-059331(1.0),M,MT,AE,0,2,VALUE_EUR,2005-04,73152
dataflow,ESTAT:DS-059331(1.0),M,MT,AE,0,2,VALUE_EUR,2005-05,111635
dataflow,ESTAT:DS-059331(1.0),M,MT,AE,0,2,VALUE_EUR,2005-06,426588
dataflow,ESTAT:DS-059331(1.0),M,MT,AE,0,2,VALUE_EUR,2005-07,1219295
dataflow,ESTAT:DS-059331(1.0),M,MT,AE,0,2,VALUE_EUR,2005-08,602497
dataflow,ESTAT:DS-059331(1.0),M,MT,AE,0,2,VALUE_EUR,2005-09,399975
dataflow,ESTAT:DS-059331(1.0),M,MT,AE,0,2,VALUE_EUR,2005-10,378273
dataflow,ESTAT:DS-059331(1.0),M,MT,AE,0,2,VALUE_EUR,2005-11,332507
dataflow,ESTAT:DS-059331(1.0),M,MT,AE,0,2,VALUE_EUR,2005-12,304549
dataflow,ESTAT:DS-059331(1.0),M,MT,AE,0,2,VALUE_EUR,2006-01,123898
dataflow,ESTAT:DS-059331(1.0),M,MT,AE,0,2,VALUE_EUR,2006-02,275029
