STRUCTURE,STRUCTURE_ID,freq,reporter,partner,product,flow,indicators,TIME_PERIOD,OBS_VALUE
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2015-01,2938857
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2015-02,2506767
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2015-03,3343356
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2015-04,2830993
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2015-05,2384169
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2015-06,2628712
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2015-07,2152473
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2015-08,2385711
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2015-09,2952900
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2015-10,3096185
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2015-11,3172109
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2015-12,3580877
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2016-01,3016533
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2016-02,3348653
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2016-03,3607473
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2016-04,3291579
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2016-05,3706349
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2016-06,2976052
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2016-07,2574127
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2016-08,3371841
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2016-09,3975885
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2016-10,4389900
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2016-11,4396403
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2016-12,4085406
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2017-01,4561770
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2017-02,3776603
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2017-03,4990687
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2017-04,3296068
