reporter,partner,TIME_PERIOD,OBS_VALUE
AT,BG,2006-01,11000000.0
AT,BR,2006-01,3000000.0
AT,CA,2006-01,9666666.666666666
AT,CH,2006-01,238666666.66666666
AT,CN,2006-01,24000000.0
AT,CZ,2006-01,64333333.33333333
AT,DK,2006-01,39333333.333333336
AT,HK,2006-01,7000000.0
AT,HR,2006-01,34333333.333333336
AT,HU,2006-01,89666666.66666667
AT,IN,2006-01,5333333.333333333
AT,JP,2006-01,17333333.333333332
AT,LT,2006-01,3000000.0
AT,PL,2006-01,51333333.333333336
AT,RO,2006-01,41000000.0
AT,RU,2006-01,62000000.0
AT,SE,2006-01,50000000.0
AT,UK,2006-01,157666666.66666666
AT,US,2006-01,94000000.0
AT,BG,2006-02,11222222.222222222
AT,BR,2006-02,2888888.888888889
AT,CA,2006-02,10111111.11111111
AT,CH,2006-02,240222222.2222222
AT,CN,2006-02,21444444.444444444
AT,CZ,2006-02,62666666.666666664
AT,DK,2006-02,30777777.777777776
AT,HK,2006-02,7111111.111111111
AT,HR,2006-02,37000000.0
AT,HU,2006-02,83444444.44444445
AT,IN,2006-02,6444444.444444444
AT,JP,2006-02,18444444.444444448
AT,LT,2006-02,2444444.444444444
AT,PL,2006-02,45444444.44444445
AT,RO,2006-02,39000000.0
AT,RU,2006-02,52111111.11111111
AT,SE,2006-02,47000000.0
AT,UK,2006-02,143777777.77777776
AT,US,2006-02,101111111.1111111
AT,BG,2006-03,11444444.444444444
AT,BR,2006-03,2777777.777777778
AT,CA,2006-03,10555555.555555556
AT,CH,2006-03,241777777.7777778
AT,CN,2006-03,18888888.888888888
AT,CZ,2006-03,61000000.0
AT,DK,2006-03,22222222.222222216
AT,HK,2006-03,7222222.222222222
AT,HR,2006-03,39666666.666666664
AT,HU,2006-03,77222222.22222221
AT,IN,2006-03,7555555.555555556
AT,JP,2006-03,19555555.555555552
AT,LT,2006-03,1888888.8888888885
AT,PL,2006-03,39555555.55555555
AT,RO,2006-03,37000000.0
AT,RU,2006-03,42222222.222222224
AT,SE,2006-03,44000000.0
AT,UK,2006-03,129888888.88888888
AT,US,2006-03,108222222.22222222
AT,BG,2006-04,11666666.666666666
AT,BR,2006-04,2666666.6666666665
AT,CA,2006-04,11000000.0
AT,CH,2006-04,243333333.33333334
AT,CN,2006-04,16333333.333333332
AT,CZ,2006-04,59333333.333333336
AT,DK,2006-04,13666666.666666666
AT,HK,2006-04,7333333.333333333
AT,HR,2006-04,42333333.333333336
AT,HU,2006-04,71000000.0
AT,IN,2006-04,8666666.666666666
AT,JP,2006-04,20666666.666666668
AT,LT,2006-04,1333333.3333333333
AT,PL,2006-04,33666666.666666664
AT,RO,2006-04,35000000.0
AT,RU,2006-04,32333333.333333336
AT,SE,2006-04,41000000.0
AT,UK,2006-04,116000000.0
AT,US,2006-04,115333333.33333333
AT,BG,2006-05,12666666.666666666
AT,BR,2006-05,2888888.888888889
AT,CA,2006-05,11555555.555555556
AT,CH,2006-05,247777777.7777778
AT,CN,2006-05,17333333.333333332
AT,CZ,2006-05,59333333.333333336
AT,DK,2006-05,15222222.222222222
AT,HK,2006-05,7222222.222222222
AT,HR,2006-05,39111111.111111104
AT,HU,2006-05,73333333.33333333
AT,IN,2006-05,8111111.111111111
AT,JP,2006-05,22111111.111111112
AT,LT,2006-05,1444444.4444444445
