reporter,partner,TIME_PERIOD,OBS_VALUE
AT,BG,2006-01,13000000.0
AT,BR,2006-01,8000000.0
AT,CA,2006-01,10000000.0
AT,CH,2006-01,76666666.66666667
AT,CN,2006-01,14333333.333333334
AT,CZ,2006-01,81000000.0
AT,DK,2006-01,7666666.666666667
AT,HK,2006-01,10333333.333333334
AT,HR,2006-01,26333333.333333332
AT,HU,2006-01,81333333.33333333
AT,IN,2006-01,8333333.333333334
AT,JP,2006-01,13333333.333333334
AT,LT,2006-01,4333333.333333333
AT,PL,2006-01,44000000.0
AT,RO,2006-01,21000000.0
AT,RU,2006-01,59666666.666666664
AT,SE,2006-01,21000000.0
AT,UK,2006-01,122333333.33333333
AT,US,2006-01,54333333.333333336
AT,BG,2006-02,12222222.222222222
AT,BR,2006-02,7111111.111111111
AT,CA,2006-02,11333333.333333334
AT,CH,2006-02,82111111.11111112
AT,CN,2006-02,16444444.444444446
AT,CZ,2006-02,81444444.44444445
AT,DK,2006-02,7888888.888888889
AT,HK,2006-02,10555555.555555556
AT,HR,2006-02,39444444.44444445
AT,HU,2006-02,84666666.66666667
AT,IN,2006-02,8555555.555555556
AT,JP,2006-02,14222222.222222222
AT,LT,2006-02,4333333.333333333
AT,PL,2006-02,46555555.55555555
AT,RO,2006-02,22444444.444444444
AT,RU,2006-02,61777777.777777776
AT,SE,2006-02,22222222.222222224
AT,UK,2006-02,119666666.66666667
AT,US,2006-02,61444444.44444445
AT,BG,2006-03,11444444.444444444
AT,BR,2006-03,6222222.222222222
AT,CA,2006-03,12666666.666666666
AT,CH,2006-03,87555555.55555555
AT,CN,2006-03,18555555.555555552
AT,CZ,2006-03,81888888.88888888
AT,DK,2006-03,8111111.111111111
AT,HK,2006-03,10777777.777777778
AT,HR,2006-03,52555555.55555557
AT,HU,2006-03,88000000.0
AT,IN,2006-03,8777777.777777776
AT,JP,2006-03,15111111.111111112
AT,LT,2006-03,4333333.333333333
AT,PL,2006-03,49111111.11111111
AT,RO,2006-03,23888888.888888888
AT,RU,2006-03,63888888.88888889
AT,SE,2006-03,23444444.444444444
AT,UK,2006-03,117000000.0
AT,US,2006-03,68555555.55555555
AT,BG,2006-04,10666666.666666666
AT,BR,2006-04,5333333.333333333
AT,CA,2006-04,14000000.0
AT,CH,2006-04,93000000.0
AT,CN,2006-04,20666666.666666668
AT,CZ,2006-04,82333333.33333333
AT,DK,2006-04,8333333.333333334
AT,HK,2006-04,11000000.0
AT,HR,2006-04,65666666.66666667
AT,HU,2006-04,91333333.33333333
AT,IN,2006-04,9000000.0
AT,JP,2006-04,16000000.0
AT,LT,2006-04,4333333.333333333
AT,PL,2006-04,51666666.666666664
AT,RO,2006-04,25333333.333333332
AT,RU,2006-04,66000000.0
AT,SE,2006-04,24666666.666666668
AT,UK,2006-04,114333333.33333333
AT,US,2006-04,75666666.66666667
AT,BG,2006-05,12333333.333333334
AT,BR,2006-05,5777777.777777778
AT,CA,2006-05,12333333.333333334
AT,CH,2006-05,94444444.44444445
AT,CN,2006-05,22222222.222222224
AT,CZ,2006-05,84111111.11111112
AT,DK,2006-05,9000000.0
AT,HK,2006-05,11888888.888888888
AT,HR,2006-05,96333333.33333333
AT,HU,2006-05,93777777.77777778
AT,IN,2006-05,9888888.88888889
AT,JP,2006-05,16444444.444444446
AT,LT,2006-05,4444444.444444445
AT,PL,2006-05,52555555.55555555
AT,RO,2006-05,26777777.777777776
AT,RU,2006-05,70666666.66666667
AT,SE,2006-05,24777777.777777776
AT,UK,2006-05,118333333.33333333
AT,US,2006-05,74222222.22222221
AT,BG,2006-06,14000000.0
AT,BR,2006-06,6222222.222222222
AT,CA,2006-06,10666666.666666666
AT,CH,2006-06,95888888.8888889
AT,CN,2006-06,23777777.777777776
AT,CZ,2006-06,85888888.8888889
AT,DK,2006-06,9666666.666666666
AT,HK,2006-06,12777777.777777778
AT,HR,2006-06,127000000.0
AT,HU,2006-06,96222222.22222222
AT,IN,2006-06,10777777.777777778
AT,JP,2006-06,16888888.888888888
AT,LT,2006-06,4555555.555555555
AT,PL,2006-06,53444444.44444445
AT,RO,2006-06,28222222.222222224
AT,RU,2006-06,75333333.33333333
AT,SE,2006-06,24888888.888888888
AT,UK,2006-06,122333333.33333333
AT,US,2006-06,72777777.77777779
AT,BG,2006-07,15666666.666666666
AT,BR,2006-07,6666666.666666667
AT,CA,2006-07,9000000.0
AT,CH,2006-07,97333333.33333333
AT,CN,2006-07,25333333.333333332
AT,CZ,2006-07,87666666.66666667
AT,DK,2006-07,10333333.333333334
AT,HK,2006-07,13666666.666666666
AT,HR,2006-07,157666666.66666666
AT,HU,2006-07,98666666.66666667
AT,IN,2006-07,11666666.666666666
AT,JP,2006-07,17333333.333333332
AT,LT,2006-07,4666666.666666667
AT,PL,2006-07,54333333.333333336
AT,RO,2006-07,29666666.666666668
AT,RU,2006-07,80000000.0
AT,SE,2006-07,25000000.0
AT,UK,2006-07,126333333.33333333
AT,US,2006-07,71333333.33333333
AT,BG,2006-08,14555555.555555556
AT,BR,2006-08,7555555.555555556
AT,CA,2006-08,9111111.11111111
AT,CH,2006-08,102333333.33333333
AT,CN,2006-08,24222222.222222224
AT,CZ,2006-08,102777777.77777778
AT,DK,2006-08,10777777.777777778
AT,HK,2006-08,13444444.444444444
AT,HR,2006-08,122888888.8888889
AT,HU,2006-08,102888888.8888889
AT,IN,2006-08,11333333.333333334
AT,JP,2006-08,16444444.444444446
AT,LT,2006-08,4666666.666666667
AT,PL,2006-08,57111111.11111111
AT,RO,2006-08,28777777.777777776
AT,RU,2006-08,75333333.33333333
AT,SE,2006-08,27333333.333333332
AT,UK,2006-08,140777777.77777776
AT,US,2006-08,72888888.88888888
AT,BG,2006-09,13444444.444444444
AT,BR,2006-09,8444444.444444444
AT,CA,2006-09,9222222.222222224
AT,CH,2006-09,107333333.33333333
AT,CN,2006-09,23111111.111111112
AT,CZ,2006-09,117888888.8888889
AT,DK,2006-09,11222222.222222222
AT,HK,2006-09,13222222.222222222
AT,HR,2006-09,88111111.11111113
AT,HU,2006-09,107111111.1111111
AT,IN,2006-09,11000000.0
AT,JP,2006-09,15555555.555555556
AT,LT,2006-09,4666666.666666667
AT,PL,2006-09,59888888.88888889
AT,RO,2006-09,27888888.888888888
AT,RU,2006-09,70666666.66666667
AT,SE,2006-09,29666666.666666668
AT,UK,2006-09,155222222.22222224
AT,US,2006-09,74444444.44444445
AT,BG,2006-10,12333333.333333334
AT,BR,2006-10,9333333.333333334
AT,CA,2006-10,9333333.333333334
AT,CH,2006-10,112333333.33333333
AT,CN,2006-10,22000000.0
AT,CZ,2006-10,133000000.0
AT,DK,2006-10,11666666.666666666
AT,HK,2006-10,13000000.0
AT,HR,2006-10,53333333.333333336
AT,HU,2006-10,111333333.33333333
AT,IN,2006-10,10666666.666666666
AT,JP,2006-10,14666666.666666666
AT,LT,2006-10,4666666.666666667
AT,PL,2006-10,62666666.666666664
AT,RO,2006-10,27000000.0
AT,RU,2006-10,66000000.0
AT,SE,2006-10,32000000.0
AT,UK,2006-10,169666666.66666666
AT,US,2006-10,76000000.0
AT,BG,2006-11,12777777.777777778
AT,BR,2006-11,8333333.333333334
AT,CA,2006-11,8888888.88888889
AT,CH,2006-11,104888888.8888889
AT,CN,2006-11,20666666.666666668
AT,CZ,2006-11,117888888.8888889
AT,DK,2006-11,10555555.555555556
AT,HK,2006-11,13888888.888888888
AT,HR,2006-11,48222222.222222224
AT,HU,2006-11,106333333.33333333
AT,IN,2006-11,11222222.222222222
AT,JP,2006-11,13888888.888888888
AT,LT,2006-11,4777777.777777778
AT,PL,2006-11,60111111.11111111
AT,RO,2006-11,27444444.444444444
AT,RU,2006-11,63555555.55555555
AT,SE,2006-11,28333333.333333332
AT,UK,2006-11,151444444.44444442
AT,US,2006-11,73555555.55555555
AT,BG,2006-12,13222222.222222222
AT,BR,2006-12,7333333.333333333
AT,CA,2006-12,8444444.444444444
AT,CH,2006-12,97444444.44444445
AT,CN,2006-12,19333333.333333332
AT,CZ,2006-12,102777777.77777778
AT,DK,2006-12,9444444.444444444
AT,HK,2006-12,14777777.777777778
AT,HR,2006-12,43111111.11111111
AT,HU,2006-12,101333333.33333333
AT,IN,2006-12,11777777.777777778
AT,JP,2006-12,13111111.111111112
AT,LT,2006-12,4888888.888888888
AT,PL,2006-12,57555555.55555555
AT,RO,2006-12,27888888.888888888
AT,RU,2006-12,61111111.11111111
AT,SE,2006-12,24666666.666666668
AT,UK,2006-12,133222222.22222222
AT,US,2006-12,71111111.11111112
AT,BG,2007-01,13666666.666666666
AT,BR,2007-01,6333333.333333333
AT,CA,2007-01,8000000.0
AT,CH,2007-01,90000000.0
AT,CN,2007-01,18000000.0
AT,CZ,2007-01,87666666.66666667
AT,DK,2007-01,8333333.333333334
AT,HK,2007-01,15666666.666666666
AT,HR,2007-01,38000000.0
AT,HU,2007-01,96333333.33333333
AT,IN,2007-01,12333333.333333334
AT,JP,2007-01,12333333.333333334
AT,LT,2007-01,5000000.0
AT,PL,2007-01,55000000.0
AT,RO,2007-01,28333333.333333332
AT,RU,2007-01,58666666.666666664
AT,SE,2007-01,21000000.0
AT,UK,2007-01,115000000.0
AT,US,2007-01,68666666.66666667
AT,BG,2007-02,14111111.111111112
AT,BR,2007-02,6222222.222222222
AT,CA,2007-02,8111111.111111111
AT,CH,2007-02,94555555.55555555
AT,CN,2007-02,19222222.22222222
AT,CZ,2007-02,89888888.8888889
AT,DK,2007-02,8666666.666666666
AT,HK,2007-02,16222222.222222222
AT,HR,2007-02,50222222.222222224
AT,HU,2007-02,99111111.1111111
AT,IN,2007-02,11777777.777777778
AT,JP,2007-02,12666666.666666666
AT,LT,2007-02,4888888.888888888
AT,PL,2007-02,55888888.88888889
AT,RO,2007-02,30666666.666666668
AT,RU,2007-02,56444444.44444445
AT,SE,2007-02,21222222.22222222
AT,UK,2007-02,119222222.22222222
AT,US,2007-02,71555555.55555555
AT,BG,2007-03,14555555.555555556
AT,BR,2007-03,6111111.111111111
AT,CA,2007-03,8222222.222222223
AT,CH,2007-03,99111111.1111111
AT,CN,2007-03,20444444.444444448
AT,CZ,2007-03,92111111.1111111
AT,DK,2007-03,9000000.0
AT,HK,2007-03,16777777.77777778
AT,HR,2007-03,62444444.44444443
AT,HU,2007-03,101888888.8888889
AT,IN,2007-03,11222222.222222222
AT,JP,2007-03,13000000.0
AT,LT,2007-03,4777777.777777778
AT,PL,2007-03,56777777.777777776
AT,RO,2007-03,33000000.0
AT,RU,2007-03,54222222.222222224
AT,SE,2007-03,21444444.444444444
AT,UK,2007-03,123444444.44444445
AT,US,2007-03,74444444.44444445
AT,BG,2007-04,15000000.0
AT,BR,2007-04,6000000.0
AT,CA,2007-04,8333333.333333334
AT,CH,2007-04,103666666.66666667
