reporter,partner,TIME_PERIOD,OBS_VALUE
BE,AT,2008-01,41333333.333333336
BE,BG,2008-01,3666666.6666666665
BE,BR,2008-01,14666666.666666666
BE,CA,2008-01,24000000.0
BE,CH,2008-01,330000000.0
BE,CN,2008-01,65333333.33333333
BE,CZ,2008-01,8333333.333333334
BE,DE,2008-01,541000000.0
BE,DK,2008-01,66000000.0
BE,EE,2008-01,1666666.6666666667
BE,ES,2008-01,98666666.66666667
BE,FI,2008-01,25666666.666666668
BE,FR,2008-01,685000000.0
BE,GR,2008-01,20666666.666666668
BE,HK,2008-01,26666666.666666668
BE,HR,2008-01,2666666.6666666665
BE,HU,2008-01,2000000.0
BE,IE,2008-01,89666666.66666667
BE,IN,2008-01,23333333.333333332
BE,IT,2008-01,138000000.0
BE,JP,2008-01,37000000.0
BE,LT,2008-01,2666666.6666666665
BE,LU,2008-01,229333333.33333334
BE,LV,2008-01,2000000.0
BE,MT,2008-01,6666666.666666667
BE,NL,2008-01,734000000.0
BE,PL,2008-01,8000000.0
BE,PT,2008-01,28000000.0
BE,RO,2008-01,10666666.666666666
BE,RU,2008-01,45000000.0
BE,SE,2008-01,41000000.0
BE,SI,2008-01,5333333.333333333
BE,SK,2008-01,7666666.666666667
BE,UK,2008-01,565666666.6666666
BE,US,2008-01,471666666.6666667
BE,AT,2008-02,42666666.666666664
BE,BG,2008-02,4222222.222222222
BE,BR,2008-02,14777777.777777778
BE,CA,2008-02,27666666.666666668
BE,CH,2008-02,348444444.4444444
BE,CN,2008-02,66888888.88888889
BE,CZ,2008-02,8777777.777777776
BE,DE,2008-02,567222222.2222223
BE,DK,2008-02,66111111.11111111
BE,EE,2008-02,1666666.6666666667
BE,ES,2008-02,103444444.44444445
BE,FI,2008-02,25222222.222222224
BE,FR,2008-02,693777777.7777778
BE,GR,2008-02,21444444.444444444
BE,HK,2008-02,25555555.555555556
BE,HR,2008-02,3000000.0
BE,HU,2008-02,3666666.6666666665
BE,IE,2008-02,92888888.8888889
BE,IN,2008-02,19000000.0
BE,IT,2008-02,140666666.66666666
BE,JP,2008-02,36666666.666666664
BE,LT,2008-02,2777777.777777778
BE,LU,2008-02,223444444.44444445
BE,LV,2008-02,2111111.111111111
BE,MT,2008-02,7111111.111111111
BE,NL,2008-02,763000000.0
BE,PL,2008-02,10333333.333333334
BE,PT,2008-02,28111111.111111112
BE,RO,2008-02,10888888.888888888
BE,RU,2008-02,47777777.777777776
BE,SE,2008-02,45555555.55555555
BE,SI,2008-02,5666666.666666667
BE,SK,2008-02,6777777.777777778
BE,UK,2008-02,546111111.111111
BE,US,2008-02,472444444.4444444
BE,AT,2008-03,44000000.0
BE,BG,2008-03,4777777.777777778
BE,BR,2008-03,14888888.888888888
BE,CA,2008-03,31333333.333333332
BE,CH,2008-03,366888888.8888889
BE,CN,2008-03,68444444.44444445
BE,CZ,2008-03,9222222.222222224
BE,DE,2008-03,593444444.4444444
BE,DK,2008-03,66222222.22222222
BE,EE,2008-03,1666666.6666666667
BE,ES,2008-03,108222222.22222222
BE,FI,2008-03,24777777.777777776
BE,FR,2008-03,702555555.5555556
BE,GR,2008-03,22222222.222222224
BE,HK,2008-03,24444444.444444444
BE,HR,2008-03,3333333.3333333335
BE,HU,2008-03,5333333.333333333
BE,IE,2008-03,96111111.1111111
BE,IN,2008-03,14666666.666666666
BE,IT,2008-03,143333333.33333334
BE,JP,2008-03,36333333.333333336
BE,LT,2008-03,2888888.888888889
BE,LU,2008-03,217555555.55555555
BE,LV,2008-03,2222222.2222222225
BE,MT,2008-03,7555555.555555556
BE,NL,2008-03,792000000.0
BE,PL,2008-03,12666666.666666666
BE,PT,2008-03,28222222.222222224
BE,RO,2008-03,11111111.111111112
BE,RU,2008-03,50555555.55555555
BE,SE,2008-03,50111111.11111111
BE,SI,2008-03,6000000.0
BE,SK,2008-03,5888888.888888889
BE,UK,2008-03,526555555.5555555
BE,US,2008-03,473222222.2222222
BE,AT,2008-04,45333333.333333336
BE,BG,2008-04,5333333.333333333
BE,BR,2008-04,15000000.0
BE,CA,2008-04,35000000.0
BE,CH,2008-04,385333333.3333333
BE,CN,2008-04,70000000.0
BE,CZ,2008-04,9666666.666666666
BE,DE,2008-04,619666666.6666666
BE,DK,2008-04,66333333.33333333
BE,EE,2008-04,1666666.6666666667
BE,ES,2008-04,113000000.0
BE,FI,2008-04,24333333.333333332
BE,FR,2008-04,711333333.3333334
BE,GR,2008-04,23000000.0
BE,HK,2008-04,23333333.333333332
BE,HR,2008-04,3666666.6666666665
BE,HU,2008-04,7000000.0
BE,IE,2008-04,99333333.33333333
BE,IN,2008-04,10333333.333333334
BE,IT,2008-04,146000000.0
BE,JP,2008-04,36000000.0
BE,LT,2008-04,3000000.0
BE,LU,2008-04,211666666.66666666
BE,LV,2008-04,2333333.3333333335
BE,MT,2008-04,8000000.0
BE,NL,2008-04,821000000.0
BE,PL,2008-04,15000000.0
BE,PT,2008-04,28333333.333333332
BE,RO,2008-04,11333333.333333334
BE,RU,2008-04,53333333.333333336
BE,SE,2008-04,54666666.666666664
BE,SI,2008-04,6333333.333333333
BE,SK,2008-04,5000000.0
BE,UK,2008-04,507000000.0
BE,US,2008-04,474000000.0
BE,AT,2008-05,46333333.333333336
BE,BG,2008-05,4888888.888888888
BE,BR,2008-05,17222222.22222222
BE,CA,2008-05,31444444.444444444
BE,CH,2008-05,392777777.7777778
BE,CN,2008-05,77444444.44444445
BE,CZ,2008-05,9777777.777777776
BE,DE,2008-05,616000000.0
BE,DK,2008-05,69333333.33333333
BE,EE,2008-05,1666666.6666666667
BE,ES,2008-05,110555555.55555555
BE,FI,2008-05,24222222.222222224
BE,FR,2008-05,718000000.0
BE,GR,2008-05,22000000.0
BE,HK,2008-05,27444444.444444444
BE,HR,2008-05,3444444.4444444445
BE,HU,2008-05,8111111.111111111
BE,IE,2008-05,89222222.22222222
BE,IN,2008-05,13222222.222222222
BE,IT,2008-05,146111111.1111111
BE,JP,2008-05,36444444.44444444
BE,LT,2008-05,3444444.4444444445
BE,LU,2008-05,208555555.55555555
BE,LV,2008-05,2444444.444444444
BE,MT,2008-05,8222222.222222223
BE,NL,2008-05,830333333.3333334
BE,PL,2008-05,20111111.111111112
BE,PT,2008-05,27000000.0
BE,RO,2008-05,11888888.888888888
BE,RU,2008-05,53888888.88888889
BE,SE,2008-05,53888888.88888889
BE,SI,2008-05,6111111.111111111
BE,SK,2008-05,5888888.888888889
BE,UK,2008-05,516444444.4444445
BE,US,2008-05,474555555.5555556
