reporter,partner,TIME_PERIOD,OBS_VALUE
BE,AT,2008-01,73000000.0
BE,BG,2008-01,6666666.666666667
BE,BR,2008-01,10666666.666666666
BE,CA,2008-01,15333333.333333334
BE,CH,2008-01,136666666.66666666
BE,CN,2008-01,31666666.666666668
BE,CZ,2008-01,31333333.333333332
BE,DE,2008-01,459333333.3333333
BE,DK,2008-01,90666666.66666667
BE,EE,2008-01,2000000.0
BE,ES,2008-01,138333333.33333334
BE,FI,2008-01,17000000.0
BE,FR,2008-01,723333333.3333334
BE,GR,2008-01,22666666.666666668
BE,HK,2008-01,54000000.0
BE,HR,2008-01,3333333.3333333335
BE,HU,2008-01,29000000.0
BE,IE,2008-01,68000000.0
BE,IN,2008-01,21666666.666666668
BE,IT,2008-01,159666666.66666666
BE,JP,2008-01,56333333.333333336
BE,LT,2008-01,4333333.333333333
BE,LU,2008-01,290666666.6666667
BE,LV,2008-01,1666666.6666666667
BE,MT,2008-01,8666666.666666666
BE,NL,2008-01,497000000.0
BE,PL,2008-01,42000000.0
BE,PT,2008-01,25000000.0
BE,RO,2008-01,11333333.333333334
BE,RU,2008-01,18666666.666666668
BE,SE,2008-01,50666666.666666664
BE,SI,2008-01,4000000.0
BE,SK,2008-01,10333333.333333334
BE,UK,2008-01,491333333.3333333
BE,US,2008-01,379333333.3333333
BE,AT,2008-02,65000000.0
BE,BG,2008-02,7333333.333333333
BE,BR,2008-02,11333333.333333334
BE,CA,2008-02,15777777.777777778
BE,CH,2008-02,144333333.33333334
BE,CN,2008-02,34111111.111111104
BE,CZ,2008-02,29333333.333333332
BE,DE,2008-02,479888888.8888889
BE,DK,2008-02,93444444.44444445
BE,EE,2008-02,2666666.6666666665
BE,ES,2008-02,151555555.55555558
BE,FI,2008-02,17222222.22222222
BE,FR,2008-02,762111111.1111112
BE,GR,2008-02,32111111.11111111
BE,HK,2008-02,52888888.88888889
BE,HR,2008-02,3888888.888888889
BE,HU,2008-02,28444444.444444444
BE,IE,2008-02,67333333.33333333
BE,IN,2008-02,20888888.888888888
BE,IT,2008-02,172555555.55555555
BE,JP,2008-02,51666666.666666664
BE,LT,2008-02,4555555.555555555
BE,LU,2008-02,278555555.5555555
BE,LV,2008-02,2111111.111111111
BE,MT,2008-02,9666666.666666666
BE,NL,2008-02,514333333.3333334
BE,PL,2008-02,41777777.777777776
BE,PT,2008-02,27000000.0
BE,RO,2008-02,11888888.888888888
BE,RU,2008-02,21555555.555555556
BE,SE,2008-02,54777777.777777776
BE,SI,2008-02,4000000.0
BE,SK,2008-02,10000000.0
BE,UK,2008-02,481777777.7777778
BE,US,2008-02,377888888.8888889
BE,AT,2008-03,57000000.0
BE,BG,2008-03,8000000.0
BE,BR,2008-03,12000000.0
BE,CA,2008-03,16222222.222222222
BE,CH,2008-03,152000000.0
BE,CN,2008-03,36555555.55555556
BE,CZ,2008-03,27333333.333333332
BE,DE,2008-03,500444444.4444444
BE,DK,2008-03,96222222.22222222
