reporter,partner,TIME_PERIOD,OBS_VALUE
BG,BR,2010-01,166666.66666666666
BG,CA,2010-01,600000.0
BG,CH,2010-01,3100000.0
BG,CN,2010-01,766666.6666666666
BG,CZ,2010-01,1633333.3333333335
BG,DK,2010-01,1233333.3333333335
BG,HK,2010-01,133333.33333333334
BG,HR,2010-01,600000.0
BG,HU,2010-01,3966666.666666667
BG,IN,2010-01,266666.6666666667
BG,JP,2010-01,433333.3333333334
BG,LT,2010-01,266666.6666666667
BG,PL,2010-01,2166666.6666666665
BG,RO,2010-01,6500000.0
BG,RU,2010-01,16500000.0
BG,SE,2010-01,1833333.3333333333
BG,UK,2010-01,24200000.0
BG,US,2010-01,9033333.333333334
BG,BR,2010-02,177777.77777777778
BG,CA,2010-02,866666.6666666667
BG,CH,2010-02,3488888.888888889
BG,CN,2010-02,711111.1111111111
BG,CZ,2010-02,2033333.3333333337
BG,DK,2010-02,1711111.1111111112
BG,HK,2010-02,155555.55555555556
BG,HR,2010-02,633333.3333333334
BG,HU,2010-02,4177777.777777778
BG,IN,2010-02,288888.88888888893
BG,JP,2010-02,566666.6666666666
BG,LT,2010-02,388888.8888888889
BG,PL,2010-02,3244444.444444444
BG,RO,2010-02,11511111.111111112
BG,RU,2010-02,24266666.666666664
BG,SE,2010-02,2588888.888888889
BG,UK,2010-02,27577777.77777778
BG,US,2010-02,10711111.11111111
BG,BR,2010-03,188888.88888888888
BG,CA,2010-03,1133333.3333333335
BG,CH,2010-03,3877777.777777778
BG,CN,2010-03,655555.5555555555
BG,CZ,2010-03,2433333.3333333335
BG,DK,2010-03,2188888.8888888885
BG,HK,2010-03,177777.77777777778
BG,HR,2010-03,666666.6666666666
BG,HU,2010-03,4388888.888888889
BG,IN,2010-03,311111.1111111111
BG,JP,2010-03,700000.0000000001
BG,LT,2010-03,511111.11111111107
BG,PL,2010-03,4322222.222222222
BG,RO,2010-03,16522222.222222222
BG,RU,2010-03,32033333.333333332
BG,SE,2010-03,3344444.444444445
BG,UK,2010-03,30955555.555555552
BG,US,2010-03,12388888.888888892
BG,BR,2010-04,199999.99999999997
BG,CA,2010-04,1400000.0000000002
BG,CH,2010-04,4266666.666666667
BG,CN,2010-04,600000.0
BG,CZ,2010-04,2833333.3333333335
BG,DK,2010-04,2666666.6666666665
BG,HK,2010-04,199999.99999999997
BG,HR,2010-04,700000.0000000001
BG,HU,2010-04,4600000.000000001
BG,IN,2010-04,333333.3333333333
BG,JP,2010-04,833333.3333333334
BG,LT,2010-04,633333.3333333333
BG,PL,2010-04,5399999.999999999
BG,RO,2010-04,21533333.333333332
BG,RU,2010-04,39800000.00000001
BG,SE,2010-04,4100000.0000000005
BG,UK,2010-04,34333333.333333336
BG,US,2010-04,14066666.666666668
BG,BR,2010-05,233333.3333333333
BG,CA,2010-05,1544444.4444444445
BG,CH,2010-05,6266666.666666667
BG,CN,2010-05,722222.2222222222
BG,CZ,2010-05,9411111.111111112
BG,DK,2010-05,7444444.444444446
BG,HK,2010-05,233333.3333333333
BG,HR,2010-05,722222.2222222222
BG,HU,2010-05,8355555.555555556
BG,IN,2010-05,322222.22222222225
BG,JP,2010-05,766666.6666666666
BG,LT,2010-05,722222.2222222222
BG,PL,2010-05,14655555.555555556
BG,RO,2010-05,24077777.77777778
BG,RU,2010-05,50244444.44444445
BG,SE,2010-05,5677777.777777778
BG,UK,2010-05,42000000.0
BG,US,2010-05,13644444.444444446
BG,BR,2010-06,266666.6666666667
BG,CA,2010-06,1688888.888888889
BG,CH,2010-06,8266666.666666668
BG,CN,2010-06,844444.4444444445
BG,CZ,2010-06,15988888.888888888
BG,DK,2010-06,12222222.222222224
BG,HK,2010-06,266666.6666666667
BG,HR,2010-06,744444.4444444445
BG,HU,2010-06,12111111.111111108
BG,IN,2010-06,311111.1111111111
BG,JP,2010-06,700000.0000000001
BG,LT,2010-06,811111.1111111112
BG,PL,2010-06,23911111.111111112
BG,RO,2010-06,26622222.22222222
BG,RU,2010-06,60688888.88888889
BG,SE,2010-06,7255555.555555556
BG,UK,2010-06,49666666.666666664
BG,US,2010-06,13222222.222222222
BG,BR,2010-07,300000.0
BG,CA,2010-07,1833333.3333333333
BG,CH,2010-07,10266666.666666668
BG,CN,2010-07,966666.6666666666
BG,CZ,2010-07,22566666.666666668
BG,DK,2010-07,17000000.0
BG,HK,2010-07,300000.0
BG,HR,2010-07,766666.6666666666
BG,HU,2010-07,15866666.666666668
BG,IN,2010-07,300000.0
BG,JP,2010-07,633333.3333333333
BG,LT,2010-07,900000.0
BG,PL,2010-07,33166666.666666664
BG,RO,2010-07,29166666.666666668
BG,RU,2010-07,71133333.33333334
BG,SE,2010-07,8833333.333333334
BG,UK,2010-07,57333333.333333336
BG,US,2010-07,12799999.999999998
BG,BR,2010-08,266666.6666666667
BG,CA,2010-08,1599999.9999999998
BG,CH,2010-08,8888888.88888889
BG,CN,2010-08,977777.7777777778
BG,CZ,2010-08,15833333.333333334
BG,DK,2010-08,11822222.222222222
BG,HK,2010-08,288888.88888888893
BG,HR,2010-08,688888.8888888888
BG,HU,2010-08,12055555.555555558
BG,IN,2010-08,300000.0
BG,JP,2010-08,588888.8888888889
BG,LT,2010-08,688888.888888889
BG,PL,2010-08,23122222.22222222
BG,RO,2010-08,23811111.111111112
BG,RU,2010-08,55922222.222222224
BG,SE,2010-08,6755555.555555556
BG,UK,2010-08,49422222.22222222
BG,US,2010-08,13055555.555555556
BG,BR,2010-09,233333.3333333333
BG,CA,2010-09,1366666.6666666665
BG,CH,2010-09,7511111.11111111
BG,CN,2010-09,988888.8888888889
BG,CZ,2010-09,9100000.000000002
BG,DK,2010-09,6644444.444444445
BG,HK,2010-09,277777.7777777778
BG,HR,2010-09,611111.111111111
BG,HU,2010-09,8244444.444444445
BG,IN,2010-09,300000.0
BG,JP,2010-09,544444.4444444444
BG,LT,2010-09,477777.7777777778
BG,PL,2010-09,13077777.777777776
BG,RO,2010-09,18455555.555555556
BG,RU,2010-09,40711111.11111112
BG,SE,2010-09,4677777.777777778
BG,UK,2010-09,41511111.11111111
BG,US,2010-09,13311111.111111112
BG,BR,2010-10,199999.99999999997
BG,CA,2010-10,1133333.3333333333
BG,CH,2010-10,6133333.333333333
BG,CN,2010-10,1000000.0
BG,CZ,2010-10,2366666.6666666665
BG,DK,2010-10,1466666.6666666667
BG,HK,2010-10,266666.6666666667
BG,HR,2010-10,533333.3333333334
BG,HU,2010-10,4433333.333333334
BG,IN,2010-10,300000.0
BG,JP,2010-10,500000.0
BG,LT,2010-10,266666.6666666667
BG,PL,2010-10,3033333.333333333
BG,RO,2010-10,13100000.0
BG,RU,2010-10,25500000.0
BG,SE,2010-10,2600000.0
BG,UK,2010-10,33600000.0
BG,US,2010-10,13566666.666666668
BG,BR,2010-11,199999.99999999997
BG,CA,2010-11,1066666.6666666667
BG,CH,2010-11,5777777.777777778
BG,CN,2010-11,888888.8888888889
BG,CZ,2010-11,2322222.2222222225
BG,DK,2010-11,1377777.777777778
BG,HK,2010-11,288888.88888888893
BG,HR,2010-11,533333.3333333334
BG,HU,2010-11,4877777.777777778
BG,IN,2010-11,288888.88888888893
BG,JP,2010-11,488888.8888888889
BG,LT,2010-11,244444.44444444447
BG,PL,2010-11,2922222.222222222
BG,RO,2010-11,12711111.11111111
BG,RU,2010-11,23700000.0
BG,SE,2010-11,2500000.0
BG,UK,2010-11,33055555.555555556
BG,US,2010-11,12322222.222222222
BG,BR,2010-12,199999.99999999997
BG,CA,2010-12,1000000.0
BG,CH,2010-12,5422222.222222222
BG,CN,2010-12,777777.7777777778
BG,CZ,2010-12,2277777.7777777775
BG,DK,2010-12,1288888.888888889
BG,HK,2010-12,311111.1111111111
BG,HR,2010-12,533333.3333333334
BG,HU,2010-12,5322222.222222222
BG,IN,2010-12,277777.7777777778
BG,JP,2010-12,477777.7777777778
BG,LT,2010-12,222222.22222222222
BG,PL,2010-12,2811111.1111111115
BG,RO,2010-12,12322222.22222222
BG,RU,2010-12,21900000.000000004
BG,SE,2010-12,2400000.0
BG,UK,2010-12,32511111.111111112
BG,US,2010-12,11077777.777777778
BG,BR,2011-01,199999.99999999997
BG,CA,2011-01,933333.3333333333
BG,CH,2011-01,5066666.666666666
BG,CN,2011-01,666666.6666666666
BG,CZ,2011-01,2233333.3333333335
BG,DK,2011-01,1200000.0
BG,HK,2011-01,333333.3333333333
BG,HR,2011-01,533333.3333333334
BG,HU,2011-01,5766666.666666667
BG,IN,2011-01,266666.6666666667
BG,JP,2011-01,466666.6666666666
BG,LT,2011-01,199999.99999999997
BG,PL,2011-01,2699999.9999999995
BG,RO,2011-01,11933333.333333332
BG,RU,2011-01,20099999.999999996
BG,SE,2011-01,2300000.0000000005
BG,UK,2011-01,31966666.666666668
BG,US,2011-01,9833333.333333334
BG,BR,2011-02,222222.22222222222
BG,CA,2011-02,1200000.0
BG,CH,2011-02,5144444.444444445
BG,CN,2011-02,755555.5555555555
BG,CZ,2011-02,2833333.3333333335
BG,DK,2011-02,1722222.2222222222
BG,HK,2011-02,322222.22222222225
BG,HR,2011-02,655555.5555555555
BG,HU,2011-02,5222222.222222222
BG,IN,2011-02,255555.5555555556
BG,JP,2011-02,600000.0
BG,LT,2011-02,333333.3333333333
BG,PL,2011-02,3766666.666666666
BG,RO,2011-02,16933333.333333332
BG,RU,2011-02,28733333.333333336
BG,SE,2011-02,2955555.5555555555
BG,UK,2011-02,34777777.777777776
BG,US,2011-02,10266666.666666668
BG,BR,2011-03,244444.44444444447
BG,CA,2011-03,1466666.6666666667
BG,CH,2011-03,5222222.222222222
BG,CN,2011-03,844444.4444444445
BG,CZ,2011-03,3433333.3333333335
BG,DK,2011-03,2244444.444444445
BG,HK,2011-03,311111.1111111111
BG,HR,2011-03,777777.7777777778
BG,HU,2011-03,4677777.777777778
BG,IN,2011-03,244444.44444444444
BG,JP,2011-03,733333.3333333334
BG,LT,2011-03,466666.66666666674
BG,PL,2011-03,4833333.333333333
BG,RO,2011-03,21933333.333333332
BG,RU,2011-03,37366666.666666664
BG,SE,2011-03,3611111.111111111
BG,UK,2011-03,37588888.88888889
BG,US,2011-03,10700000.000000002
BG,BR,2011-04,266666.6666666667
BG,CA,2011-04,1733333.3333333335
BG,CH,2011-04,5300000.0
BG,CN,2011-04,933333.3333333333
BG,CZ,2011-04,4033333.333333333
BG,DK,2011-04,2766666.666666667
BG,HK,2011-04,300000.0
BG,HR,2011-04,900000.0
BG,HU,2011-04,4133333.333333334
BG,IN,2011-04,233333.3333333333
BG,JP,2011-04,866666.6666666667
BG,LT,2011-04,600000.0
BG,PL,2011-04,5899999.999999999
BG,RO,2011-04,26933333.333333332
BG,RU,2011-04,46000000.0
BG,SE,2011-04,4266666.666666667
BG,UK,2011-04,40400000.0
BG,US,2011-04,11133333.333333332
BG,BR,2011-05,288888.88888888893
BG,CA,2011-05,1855555.5555555555
BG,CH,2011-05,6944444.444444444
BG,CN,2011-05,988888.8888888888
BG,CZ,2011-05,10122222.222222222
BG,DK,2011-05,7400000.000000001
BG,HK,2011-05,311111.1111111111
BG,HR,2011-05,844444.4444444445
BG,HU,2011-05,7633333.333333333
BG,IN,2011-05,300000.0
BG,JP,2011-05,833333.3333333334
BG,LT,2011-05,700000.0000000001
BG,PL,2011-05,14500000.0
BG,RO,2011-05,29444444.444444444
BG,RU,2011-05,57500000.0
BG,SE,2011-05,6044444.444444444
BG,UK,2011-05,51166666.666666664
BG,US,2011-05,11388888.888888888
BG,BR,2011-06,311111.1111111111
BG,CA,2011-06,1977777.7777777778
BG,CH,2011-06,8588888.888888888
BG,CN,2011-06,1044444.4444444445
BG,CZ,2011-06,16211111.111111112
BG,DK,2011-06,12033333.333333334
BG,HK,2011-06,322222.22222222225
BG,HR,2011-06,788888.8888888889
BG,HU,2011-06,11133333.333333332
BG,IN,2011-06,366666.6666666667
BG,JP,2011-06,799999.9999999999
BG,LT,2011-06,800000.0000000001
BG,PL,2011-06,23099999.999999996
