reporter,partner,TIME_PERIOD,OBS_VALUE
BG,BR,2010-01,99999.99999999999
BG,CA,2010-01,399999.99999999994
BG,CH,2010-01,2633333.3333333335
BG,CN,2010-01,833333.3333333334
BG,CZ,2010-01,3533333.333333333
BG,DK,2010-01,2366666.6666666665
BG,HK,2010-01,500000.0
BG,HR,2010-01,1099999.9999999998
BG,HU,2010-01,6700000.0
BG,IN,2010-01,199999.99999999997
BG,JP,2010-01,500000.0
BG,LT,2010-01,199999.99999999997
BG,PL,2010-01,5166666.666666667
BG,RO,2010-01,6066666.666666666
BG,RU,2010-01,3466666.666666667
BG,SE,2010-01,666666.6666666666
BG,UK,2010-01,12100000.0
BG,US,2010-01,7700000.0
BG,BR,2010-02,99999.99999999999
BG,CA,2010-02,333333.3333333333
BG,CH,2010-02,2633333.3333333335
BG,CN,2010-02,722222.2222222222
BG,CZ,2010-02,3344444.4444444445
BG,DK,2010-02,2444444.444444444
BG,HK,2010-02,522222.22222222225
BG,HR,2010-02,877777.7777777778
BG,HU,2010-02,7066666.666666666
BG,IN,2010-02,199999.99999999997
BG,JP,2010-02,477777.7777777778
BG,LT,2010-02,188888.88888888888
BG,PL,2010-02,4577777.777777777
BG,RO,2010-02,5966666.666666666
BG,RU,2010-02,3600000.0
BG,SE,2010-02,1055555.5555555555
BG,UK,2010-02,13355555.555555554
BG,US,2010-02,8277777.777777779
BG,BR,2010-03,99999.99999999999
BG,CA,2010-03,266666.6666666667
BG,CH,2010-03,2633333.3333333335
BG,CN,2010-03,611111.1111111111
BG,CZ,2010-03,3155555.5555555555
BG,DK,2010-03,2522222.222222222
BG,HK,2010-03,544444.4444444444
BG,HR,2010-03,655555.5555555555
BG,HU,2010-03,7433333.333333334
BG,IN,2010-03,199999.99999999997
BG,JP,2010-03,455555.55555555556
BG,LT,2010-03,177777.77777777778
BG,PL,2010-03,3988888.888888889
BG,RO,2010-03,5866666.666666667
BG,RU,2010-03,3733333.333333333
BG,SE,2010-03,1444444.4444444447
BG,UK,2010-03,14611111.111111112
BG,US,2010-03,8855555.555555556
BG,BR,2010-04,99999.99999999999
BG,CA,2010-04,199999.99999999997
BG,CH,2010-04,2633333.3333333335
BG,CN,2010-04,500000.0
BG,CZ,2010-04,2966666.666666667
BG,DK,2010-04,2600000.0
BG,HK,2010-04,566666.6666666666
BG,HR,2010-04,433333.3333333334
BG,HU,2010-04,7800000.0
BG,IN,2010-04,199999.99999999997
BG,JP,2010-04,433333.3333333334
BG,LT,2010-04,166666.66666666666
BG,PL,2010-04,3400000.0
BG,RO,2010-04,5766666.666666667
BG,RU,2010-04,3866666.6666666665
BG,SE,2010-04,1833333.3333333333
BG,UK,2010-04,15866666.666666668
BG,US,2010-04,9433333.333333334
BG,BR,2010-05,111111.11111111111
BG,CA,2010-05,333333.3333333333
BG,CH,2010-05,2655555.5555555555
BG,CN,2010-05,533333.3333333334
BG,CZ,2010-05,2911111.1111111115
BG,DK,2010-05,2344444.4444444445
BG,HK,2010-05,500000.0
BG,HR,2010-05,500000.0
BG,HU,2010-05,7322222.222222222
BG,IN,2010-05,188888.88888888888
BG,JP,2010-05,455555.55555555556
BG,LT,2010-05,177777.77777777778
BG,PL,2010-05,3199999.9999999995
BG,RO,2010-05,5899999.999999999
BG,RU,2010-05,3955555.5555555555
BG,SE,2010-05,1522222.2222222222
BG,UK,2010-05,16744444.444444444
BG,US,2010-05,9600000.0
BG,BR,2010-06,122222.22222222223
BG,CA,2010-06,466666.66666666674
BG,CH,2010-06,2677777.7777777775
