reporter,partner,TIME_PERIOD,OBS_VALUE
CY,AT,2008-01,1466666.6666666667
CY,BE,2008-01,4100000.0000000005
CY,BG,2008-01,12733333.333333334
CY,BR,2008-01,199999.99999999997
CY,CA,2008-01,3100000.0
CY,CH,2008-01,11366666.666666668
CY,CN,2008-01,1300000.0
CY,CY,2008-01,0.0
CY,CZ,2008-01,2166666.6666666665
CY,DE,2008-01,36600000.0
CY,DK,2008-01,43800000.00000001
CY,EE,2008-01,700000.0000000001
CY,ES,2008-01,1200000.0
CY,FI,2008-01,700000.0000000001
CY,FR,2008-01,4000000.0
CY,GR,2008-01,44433333.333333336
CY,HK,2008-01,33333.333333333336
CY,HR,2008-01,99999.99999999999
CY,HU,2008-01,1633333.3333333335
CY,IE,2008-01,833333.3333333334
CY,IN,2008-01,833333.3333333334
CY,IT,2008-01,1066666.6666666667
CY,JP,2008-01,300000.0
CY,LT,2008-01,733333.3333333334
CY,LU,2008-01,2500000.0
CY,LV,2008-01,799999.9999999999
CY,MT,2008-01,399999.99999999994
CY,NL,2008-01,11266666.666666666
CY,PL,2008-01,966666.6666666666
CY,PT,2008-01,666666.6666666666
CY,RO,2008-01,13366666.666666668
CY,RU,2008-01,82500000.0
CY,SE,2008-01,2633333.3333333335
CY,SI,2008-01,266666.6666666667
CY,SK,2008-01,199999.99999999997
CY,UK,2008-01,77800000.0
CY,US,2008-01,28599999.999999996
CY,AT,2008-02,2111111.111111111
CY,BE,2008-02,4700000.0
CY,BG,2008-02,13677777.77777778
CY,BR,2008-02,199999.99999999997
CY,CA,2008-02,3355555.5555555555
CY,CH,2008-02,11811111.111111112
CY,CN,2008-02,1055555.5555555555
CY,CY,2008-02,0.0
CY,CZ,2008-02,2433333.333333333
CY,DE,2008-02,34922222.222222224
CY,DK,2008-02,44222222.222222224
CY,EE,2008-02,1311111.111111111
CY,ES,2008-02,1211111.111111111
CY,FI,2008-02,1577777.7777777778
CY,FR,2008-02,4722222.222222222
CY,GR,2008-02,42777777.777777776
CY,HK,2008-02,33333.333333333336
CY,HR,2008-02,111111.11111111111
CY,HU,2008-02,1622222.2222222225
CY,IE,2008-02,1544444.4444444443
CY,IN,2008-02,1522222.2222222222
CY,IT,2008-02,1222222.222222222
CY,JP,2008-02,300000.0
CY,LT,2008-02,766666.6666666667
CY,LU,2008-02,2411111.111111111
CY,LV,2008-02,822222.2222222222
CY,MT,2008-02,455555.55555555556
CY,NL,2008-02,11511111.111111112
CY,PL,2008-02,1377777.7777777775
CY,PT,2008-02,677777.7777777778
CY,RO,2008-02,12666666.666666666
CY,RU,2008-02,91066666.66666666
CY,SE,2008-02,4877777.777777778
CY,SI,2008-02,288888.88888888893
CY,SK,2008-02,266666.6666666667
CY,UK,2008-02,98144444.44444445
CY,US,2008-02,28099999.999999996
CY,AT,2008-03,2755555.555555555
CY,BE,2008-03,5300000.0
CY,BG,2008-03,14622222.222222222
CY,BR,2008-03,199999.99999999997
CY,CA,2008-03,3611111.111111111
CY,CH,2008-03,12255555.555555554
CY,CN,2008-03,811111.111111111
CY,CY,2008-03,0.0
CY,CZ,2008-03,2699999.9999999995
CY,DE,2008-03,33244444.444444448
CY,DK,2008-03,44644444.44444445
CY,EE,2008-03,1922222.2222222222
CY,ES,2008-03,1222222.2222222222
CY,FI,2008-03,2455555.5555555555
CY,FR,2008-03,5444444.444444444
CY,GR,2008-03,41122222.222222224
CY,HK,2008-03,33333.333333333336
CY,HR,2008-03,122222.22222222223
CY,HU,2008-03,1611111.111111111
CY,IE,2008-03,2255555.5555555555
CY,IN,2008-03,2211111.111111111
CY,IT,2008-03,1377777.7777777775
CY,JP,2008-03,300000.0
CY,LT,2008-03,799999.9999999999
CY,LU,2008-03,2322222.2222222225
CY,LV,2008-03,844444.4444444445
CY,MT,2008-03,511111.11111111107
CY,NL,2008-03,11755555.555555554
CY,PL,2008-03,1788888.8888888888
CY,PT,2008-03,688888.888888889
CY,RO,2008-03,11966666.666666666
CY,RU,2008-03,99633333.33333334
CY,SE,2008-03,7122222.222222223
CY,SI,2008-03,311111.1111111111
CY,SK,2008-03,333333.3333333333
CY,UK,2008-03,118488888.8888889
CY,US,2008-03,27599999.999999996
CY,AT,2008-04,3400000.0
CY,BE,2008-04,5899999.999999999
CY,BG,2008-04,15566666.666666668
CY,BR,2008-04,199999.99999999997
CY,CA,2008-04,3866666.6666666665
CY,CH,2008-04,12700000.000000002
CY,CN,2008-04,566666.6666666666
CY,CY,2008-04,0.0
CY,CZ,2008-04,2966666.666666667
CY,DE,2008-04,31566666.666666668
CY,DK,2008-04,45066666.666666664
CY,EE,2008-04,2533333.333333333
CY,ES,2008-04,1233333.3333333335
CY,FI,2008-04,3333333.3333333335
CY,FR,2008-04,6166666.666666667
CY,GR,2008-04,39466666.66666667
CY,HK,2008-04,33333.333333333336
CY,HR,2008-04,133333.33333333334
CY,HU,2008-04,1599999.9999999998
CY,IE,2008-04,2966666.666666667
CY,IN,2008-04,2900000.0
CY,IT,2008-04,1533333.3333333333
CY,JP,2008-04,300000.0
CY,LT,2008-04,833333.3333333334
CY,LU,2008-04,2233333.3333333335
CY,LV,2008-04,866666.6666666667
CY,MT,2008-04,566666.6666666666
CY,NL,2008-04,12000000.0
CY,PL,2008-04,2199999.9999999995
CY,PT,2008-04,700000.0000000001
CY,RO,2008-04,11266666.666666666
