reporter,partner,TIME_PERIOD,OBS_VALUE
CY,AT,2008-01,1900000.0000000002
CY,BE,2008-01,4700000.0
CY,BG,2008-01,2733333.333333333
CY,BR,2008-01,1733333.3333333335
CY,CA,2008-01,366666.6666666667
CY,CH,2008-01,4866666.666666666
CY,CN,2008-01,4233333.333333333
CY,CY,2008-01,0.0
CY,CZ,2008-01,733333.3333333334
CY,DE,2008-01,40466666.66666667
CY,DK,2008-01,733333.3333333334
CY,EE,2008-01,66666.66666666667
CY,ES,2008-01,2866666.6666666665
CY,FI,2008-01,266666.6666666667
CY,FR,2008-01,6266666.666666667
CY,GR,2008-01,45666666.666666664
CY,HK,2008-01,300000.0
CY,HR,2008-01,233333.3333333333
CY,HU,2008-01,900000.0
CY,IE,2008-01,500000.0
CY,IT,2008-01,7433333.333333334
CY,JP,2008-01,1366666.6666666665
CY,LT,2008-01,233333.3333333333
CY,LU,2008-01,533333.3333333334
CY,LV,2008-01,333333.3333333333
CY,MT,2008-01,1133333.3333333333
CY,NL,2008-01,5100000.000000001
CY,PL,2008-01,3566666.6666666665
CY,PT,2008-01,500000.0
CY,RO,2008-01,2233333.3333333335
CY,RU,2008-01,9166666.666666666
CY,SE,2008-01,1599999.9999999998
CY,SI,2008-01,166666.66666666666
CY,SK,2008-01,500000.0
CY,UK,2008-01,38366666.666666664
CY,US,2008-01,9433333.333333334
CY,AT,2008-02,2222222.2222222225
CY,BE,2008-02,5277777.777777778
CY,BG,2008-02,2922222.222222222
CY,BR,2008-02,1377777.777777778
CY,CA,2008-02,377777.77777777775
CY,CH,2008-02,4700000.0
CY,CN,2008-02,6155555.555555555
CY,CY,2008-02,0.0
CY,CZ,2008-02,900000.0
CY,DE,2008-02,40755555.55555555
CY,DK,2008-02,811111.1111111112
CY,EE,2008-02,66666.66666666667
CY,ES,2008-02,2866666.6666666665
CY,FI,2008-02,377777.77777777775
CY,FR,2008-02,6300000.000000001
CY,GR,2008-02,46444444.44444445
CY,HK,2008-02,322222.22222222225
CY,HR,2008-02,211111.11111111112
CY,HU,2008-02,866666.6666666667
CY,IE,2008-02,533333.3333333334
CY,IT,2008-02,7766666.666666667
CY,JP,2008-02,1433333.3333333333
CY,LT,2008-02,255555.55555555553
CY,LU,2008-02,733333.3333333334
CY,LV,2008-02,355555.55555555556
CY,MT,2008-02,1422222.2222222222
CY,NL,2008-02,4900000.0
CY,PL,2008-02,3677777.7777777775
CY,PT,2008-02,577777.7777777779
CY,RO,2008-02,2500000.0
CY,RU,2008-02,10133333.333333334
CY,SE,2008-02,1533333.3333333333
CY,SI,2008-02,188888.88888888888
CY,SK,2008-02,500000.0
CY,UK,2008-02,39411111.11111111
CY,US,2008-02,8955555.555555556
CY,AT,2008-03,2544444.4444444445
CY,BE,2008-03,5855555.555555555
CY,BG,2008-03,3111111.111111111
CY,BR,2008-03,1022222.2222222224
CY,CA,2008-03,388888.8888888889
CY,CH,2008-03,4533333.333333333
CY,CN,2008-03,8077777.777777777
CY,CY,2008-03,0.0
CY,CZ,2008-03,1066666.6666666667
CY,DE,2008-03,41044444.44444445
CY,DK,2008-03,888888.8888888889
CY,EE,2008-03,66666.66666666667
CY,ES,2008-03,2866666.6666666665
CY,FI,2008-03,488888.88888888893
CY,FR,2008-03,6333333.333333333
CY,GR,2008-03,47222222.222222224
CY,HK,2008-03,344444.4444444445
CY,HR,2008-03,188888.88888888888
CY,HU,2008-03,833333.3333333334
CY,IE,2008-03,566666.6666666666
CY,IT,2008-03,8100000.0
CY,JP,2008-03,1500000.0
CY,LT,2008-03,277777.7777777778
CY,LU,2008-03,933333.3333333333
CY,LV,2008-03,377777.77777777775
CY,MT,2008-03,1711111.111111111
CY,NL,2008-03,4700000.0
CY,PL,2008-03,3788888.8888888885
CY,PT,2008-03,655555.5555555555
CY,RO,2008-03,2766666.666666667
CY,RU,2008-03,11100000.000000002
CY,SE,2008-03,1466666.6666666667
CY,SI,2008-03,211111.11111111112
CY,SK,2008-03,500000.0
CY,UK,2008-03,40455555.55555555
CY,US,2008-03,8477777.777777778
CY,AT,2008-04,2866666.6666666665
CY,BE,2008-04,6433333.333333334
CY,BG,2008-04,3300000.0000000005
CY,BR,2008-04,666666.6666666666
CY,CA,2008-04,399999.99999999994
CY,CH,2008-04,4366666.666666666
CY,CN,2008-04,10000000.0
CY,CY,2008-04,0.0
CY,CZ,2008-04,1233333.3333333335
CY,DE,2008-04,41333333.333333336
CY,DK,2008-04,966666.6666666666
CY,EE,2008-04,66666.66666666667
CY,ES,2008-04,2866666.6666666665
CY,FI,2008-04,600000.0
CY,FR,2008-04,6366666.666666667
CY,GR,2008-04,48000000.0
CY,HK,2008-04,366666.6666666667
CY,HR,2008-04,166666.66666666666
CY,HU,2008-04,799999.9999999999
CY,IE,2008-04,600000.0
CY,IN,2008-04,10400000.0
CY,IT,2008-04,8433333.333333334
CY,JP,2008-04,1566666.6666666667
CY,LT,2008-04,300000.0
CY,LU,2008-04,1133333.3333333333
CY,LV,2008-04,399999.99999999994
CY,MT,2008-04,2000000.0
CY,NL,2008-04,4500000.0
CY,PL,2008-04,3900000.0
CY,PT,2008-04,733333.3333333334
CY,RO,2008-04,3033333.333333333
CY,RU,2008-04,12066666.666666668
CY,SE,2008-04,1400000.0000000002
CY,SI,2008-04,233333.3333333333
CY,SK,2008-04,500000.0
CY,UK,2008-04,41500000.0
CY,US,2008-04,8000000.0
CY,AT,2008-05,3633333.3333333335
CY,BE,2008-05,10211111.11111111
CY,BG,2008-05,3788888.888888889
CY,BR,2008-05,733333.3333333334
CY,CA,2008-05,466666.6666666666
CY,CH,2008-05,3911111.111111111
CY,CN,2008-05,8444444.444444444
CY,CY,2008-05,0.0
CY,CZ,2008-05,1588888.8888888888
CY,DE,2008-05,43188888.88888889
CY,DK,2008-05,933333.3333333333
CY,EE,2008-05,66666.66666666667
CY,ES,2008-05,3066666.6666666665
CY,FI,2008-05,600000.0
CY,FR,2008-05,7188888.888888889
CY,GR,2008-05,56944444.44444445
CY,HK,2008-05,377777.77777777775
CY,HR,2008-05,155555.55555555556
CY,HU,2008-05,1288888.888888889
CY,IE,2008-05,633333.3333333334
CY,IN,2008-05,10393055.555555556
CY,IT,2008-05,9655555.555555554
CY,JP,2008-05,1466666.6666666667
CY,LT,2008-05,333333.3333333333
CY,LU,2008-05,1133333.3333333333
CY,LV,2008-05,633333.3333333333
CY,MT,2008-05,2522222.222222222
CY,NL,2008-05,5022222.222222222
CY,PL,2008-05,4844444.444444444
CY,PT,2008-05,744444.4444444445
CY,RO,2008-05,3599999.9999999995
CY,RU,2008-05,13433333.333333336
CY,SE,2008-05,1544444.4444444445
CY,SI,2008-05,222222.22222222222
CY,SK,2008-05,488888.8888888889
CY,UK,2008-05,46277777.777777776
CY,US,2008-05,9877777.777777778
CY,AT,2008-06,4399999.999999999
CY,BE,2008-06,13988888.888888888
CY,BG,2008-06,4277777.777777778
CY,BR,2008-06,799999.9999999999
CY,CA,2008-06,533333.3333333334
CY,CH,2008-06,3455555.5555555555
CY,CN,2008-06,6888888.888888888
CY,CY,2008-06,0.0
CY,CZ,2008-06,1944444.4444444447
CY,DE,2008-06,45044444.44444445
CY,DK,2008-06,900000.0
CY,EE,2008-06,66666.66666666667
CY,ES,2008-06,3266666.666666667
CY,FI,2008-06,600000.0
CY,FR,2008-06,8011111.111111111
CY,GR,2008-06,65888888.88888889
CY,HK,2008-06,388888.8888888889
CY,HR,2008-06,144444.44444444447
CY,HU,2008-06,1777777.777777778
CY,IE,2008-06,666666.6666666666
CY,IN,2008-06,10386111.111111112
CY,IT,2008-06,10877777.777777778
CY,JP,2008-06,1366666.6666666665
CY,LT,2008-06,366666.6666666667
CY,LU,2008-06,1133333.3333333333
CY,LV,2008-06,866666.6666666666
CY,MT,2008-06,3044444.4444444445
CY,NL,2008-06,5544444.444444444
CY,PL,2008-06,5788888.888888889
CY,PT,2008-06,755555.5555555555
CY,RO,2008-06,4166666.666666667
CY,RU,2008-06,14799999.999999998
CY,SE,2008-06,1688888.888888889
CY,SI,2008-06,211111.11111111112
CY,SK,2008-06,477777.7777777778
CY,UK,2008-06,51055555.55555555
CY,US,2008-06,11755555.555555554
CY,AT,2008-07,5166666.666666667
CY,BE,2008-07,17766666.666666664
CY,BG,2008-07,4766666.666666667
CY,BR,2008-07,866666.6666666667
CY,CA,2008-07,600000.0
CY,CH,2008-07,3000000.0
CY,CN,2008-07,5333333.333333333
CY,CY,2008-07,0.0
CY,CZ,2008-07,2300000.0000000005
CY,DE,2008-07,46900000.0
CY,DK,2008-07,866666.6666666667
CY,EE,2008-07,66666.66666666667
CY,ES,2008-07,3466666.666666667
CY,FI,2008-07,600000.0
CY,FR,2008-07,8833333.333333334
CY,GR,2008-07,74833333.33333333
CY,HK,2008-07,399999.99999999994
CY,HR,2008-07,133333.33333333334
CY,HU,2008-07,2266666.6666666665
CY,IE,2008-07,700000.0000000001
CY,IN,2008-07,10379166.666666666
CY,IT,2008-07,12100000.0
CY,JP,2008-07,1266666.6666666665
CY,LT,2008-07,399999.99999999994
CY,LU,2008-07,1133333.3333333333
CY,LV,2008-07,1099999.9999999998
CY,MT,2008-07,3566666.6666666665
CY,NL,2008-07,6066666.666666666
CY,PL,2008-07,6733333.333333333
CY,PT,2008-07,766666.6666666666
CY,RO,2008-07,4733333.333333333
