reporter,partner,TIME_PERIOD,OBS_VALUE
CZ,AT,2008-01,46366666.666666664
CZ,BE,2008-01,39666666.666666664
CZ,BG,2008-01,2333333.3333333335
CZ,BR,2008-01,566666.6666666666
CZ,CA,2008-01,3600000.0
CZ,CH,2008-01,46900000.0
CZ,CN,2008-01,3666666.6666666665
CZ,CY,2008-01,3633333.3333333335
CZ,DE,2008-01,339333333.3333333
CZ,DK,2008-01,16366666.666666668
CZ,EE,2008-01,633333.3333333333
CZ,ES,2008-01,24200000.0
CZ,FI,2008-01,7366666.666666667
CZ,FR,2008-01,41266666.666666664
CZ,GR,2008-01,6399999.999999999
CZ,HK,2008-01,1266666.6666666665
CZ,HR,2008-01,5000000.0
CZ,HU,2008-01,18633333.333333332
CZ,IE,2008-01,16166666.666666668
CZ,IN,2008-01,1266666.6666666665
CZ,IT,2008-01,33233333.333333336
CZ,JP,2008-01,6700000.0
CZ,LT,2008-01,900000.0
CZ,LU,2008-01,2033333.3333333333
CZ,LV,2008-01,766666.6666666666
CZ,MT,2008-01,133333.33333333334
CZ,NL,2008-01,51000000.0
CZ,PL,2008-01,28433333.333333332
CZ,PT,2008-01,2366666.6666666665
CZ,RO,2008-01,6766666.666666667
CZ,RU,2008-01,45266666.66666667
CZ,SE,2008-01,14266666.666666666
CZ,SI,2008-01,2800000.0000000005
CZ,SK,2008-01,82066666.66666666
CZ,UK,2008-01,72833333.33333333
CZ,US,2008-01,48400000.0
CZ,AT,2008-02,47633333.333333336
CZ,BE,2008-02,40366666.666666664
CZ,BG,2008-02,2388888.888888889
CZ,BR,2008-02,633333.3333333333
CZ,CA,2008-02,3766666.666666667
CZ,CH,2008-02,45655555.55555556
CZ,CN,2008-02,3733333.333333333
CZ,CY,2008-02,4233333.333333333
CZ,DE,2008-02,349644444.4444444
CZ,DK,2008-02,16433333.333333334
CZ,EE,2008-02,644444.4444444445
CZ,ES,2008-02,23966666.666666664
CZ,FI,2008-02,8333333.333333334
CZ,FR,2008-02,41977777.777777776
CZ,GR,2008-02,6411111.111111111
CZ,HK,2008-02,1266666.6666666665
CZ,HR,2008-02,5133333.333333334
CZ,HU,2008-02,19833333.333333332
CZ,IE,2008-02,16755555.555555556
CZ,IN,2008-02,1344444.4444444443
CZ,IT,2008-02,34788888.88888889
CZ,JP,2008-02,6677777.777777778
CZ,LT,2008-02,1077777.7777777778
CZ,LU,2008-02,2455555.555555555
CZ,LV,2008-02,755555.5555555555
CZ,MT,2008-02,122222.22222222223
CZ,NL,2008-02,54666666.666666664
CZ,PL,2008-02,29666666.666666668
CZ,PT,2008-02,2477777.7777777775
CZ,RO,2008-02,6388888.888888889
CZ,RU,2008-02,47888888.888888896
CZ,SE,2008-02,15211111.11111111
CZ,SI,2008-02,2844444.4444444445
CZ,SK,2008-02,88233333.33333333
CZ,UK,2008-02,75555555.55555555
CZ,US,2008-02,49233333.33333333
CZ,AT,2008-03,48900000.0
CZ,BE,2008-03,41066666.66666667
CZ,BG,2008-03,2444444.444444444
CZ,BR,2008-03,699999.9999999999
CZ,CA,2008-03,3933333.3333333335
CZ,CH,2008-03,44411111.111111104
CZ,CN,2008-03,3800000.0000000005
CZ,CY,2008-03,4833333.333333333
CZ,DE,2008-03,359955555.5555555
CZ,DK,2008-03,16500000.0
CZ,EE,2008-03,655555.5555555555
CZ,ES,2008-03,23733333.333333336
CZ,FI,2008-03,9300000.0
CZ,FR,2008-03,42688888.88888889
CZ,GR,2008-03,6422222.222222222
CZ,HK,2008-03,1266666.6666666665
CZ,HR,2008-03,5266666.666666667
CZ,HU,2008-03,21033333.333333336
CZ,IE,2008-03,17344444.444444444
CZ,IN,2008-03,1422222.2222222222
CZ,IT,2008-03,36344444.44444444
CZ,JP,2008-03,6655555.555555555
CZ,LT,2008-03,1255555.5555555555
CZ,LU,2008-03,2877777.777777778
CZ,LV,2008-03,744444.4444444445
CZ,MT,2008-03,111111.11111111111
CZ,NL,2008-03,58333333.333333336
CZ,PL,2008-03,30900000.000000004
CZ,PT,2008-03,2588888.888888889
CZ,RO,2008-03,6011111.11111111
CZ,RU,2008-03,50511111.11111111
CZ,SE,2008-03,16155555.555555554
CZ,SI,2008-03,2888888.8888888895
CZ,SK,2008-03,94399999.99999999
CZ,UK,2008-03,78277777.77777779
CZ,US,2008-03,50066666.666666664
CZ,AT,2008-04,50166666.666666664
CZ,BE,2008-04,41766666.666666664
CZ,BG,2008-04,2500000.0
CZ,BR,2008-04,766666.6666666666
CZ,CA,2008-04,4100000.0000000005
CZ,CH,2008-04,43166666.666666664
CZ,CN,2008-04,3866666.6666666665
CZ,CY,2008-04,5433333.333333334
CZ,DE,2008-04,370266666.6666666
