reporter,partner,TIME_PERIOD,OBS_VALUE
CZ,AT,2008-01,49333333.333333336
CZ,BE,2008-01,12066666.666666668
CZ,BG,2008-01,4766666.666666667
CZ,BR,2008-01,1133333.3333333333
CZ,CA,2008-01,5300000.0
CZ,CH,2008-01,21866666.666666664
CZ,CN,2008-01,28900000.000000004
CZ,CY,2008-01,10866666.666666668
CZ,DE,2008-01,168766666.6666667
CZ,DK,2008-01,3933333.3333333335
CZ,EE,2008-01,700000.0000000001
CZ,ES,2008-01,13733333.333333334
CZ,FI,2008-01,2766666.666666667
CZ,FR,2008-01,44766666.66666667
CZ,GR,2008-01,8299999.999999999
CZ,HK,2008-01,666666.6666666666
CZ,HR,2008-01,10766666.666666666
CZ,HU,2008-01,10133333.333333332
CZ,IE,2008-01,12933333.333333332
CZ,IN,2008-01,2000000.0
CZ,IT,2008-01,27933333.333333332
CZ,JP,2008-01,23200000.0
CZ,LT,2008-01,633333.3333333333
CZ,LU,2008-01,4800000.0
CZ,LV,2008-01,833333.3333333334
CZ,MT,2008-01,66666.66666666667
CZ,NL,2008-01,44466666.66666667
CZ,PL,2008-01,34199999.99999999
CZ,PT,2008-01,1633333.3333333335
CZ,RO,2008-01,2333333.3333333335
CZ,RU,2008-01,30666666.666666668
CZ,SE,2008-01,28333333.333333332
CZ,SI,2008-01,3166666.6666666665
CZ,SK,2008-01,71300000.0
CZ,UK,2008-01,53866666.666666664
CZ,US,2008-01,55233333.33333333
CZ,AT,2008-02,54588888.888888896
CZ,BE,2008-02,12488888.888888888
CZ,BG,2008-02,4811111.111111111
CZ,BR,2008-02,1355555.5555555555
CZ,CA,2008-02,5877777.777777777
CZ,CH,2008-02,24666666.666666668
CZ,CN,2008-02,29200000.000000004
CZ,CY,2008-02,12444444.444444444
CZ,DE,2008-02,188466666.66666666
CZ,DK,2008-02,4200000.0
CZ,EE,2008-02,577777.7777777779
CZ,ES,2008-02,14444444.444444444
CZ,FI,2008-02,2955555.5555555555
CZ,FR,2008-02,44633333.333333336
CZ,GR,2008-02,8522222.222222222
CZ,HK,2008-02,722222.2222222222
CZ,HR,2008-02,11577777.777777778
CZ,HU,2008-02,10388888.88888889
CZ,IE,2008-02,14077777.777777778
CZ,IN,2008-02,1888888.888888889
CZ,IT,2008-02,27900000.000000004
CZ,JP,2008-02,22511111.11111111
CZ,LT,2008-02,733333.3333333333
CZ,LU,2008-02,3844444.4444444445
CZ,LV,2008-02,655555.5555555555
CZ,MT,2008-02,77777.77777777778
CZ,NL,2008-02,43711111.11111111
CZ,PL,2008-02,36422222.222222224
CZ,PT,2008-02,1655555.5555555557
CZ,RO,2008-02,2933333.3333333335
CZ,RU,2008-02,32133333.333333332
CZ,SE,2008-02,23444444.444444444
CZ,SI,2008-02,3000000.0
CZ,SK,2008-02,72422222.22222224
CZ,UK,2008-02,58455555.55555555
CZ,US,2008-02,54355555.55555555
CZ,AT,2008-03,59844444.44444444
CZ,BE,2008-03,12911111.111111112
CZ,BG,2008-03,4855555.555555555
CZ,BR,2008-03,1577777.7777777778
CZ,CA,2008-03,6455555.555555556
CZ,CH,2008-03,27466666.666666664
CZ,CN,2008-03,29500000.0
CZ,CY,2008-03,14022222.22222222
CZ,DE,2008-03,208166666.66666666
CZ,DK,2008-03,4466666.666666667
CZ,EE,2008-03,455555.55555555556
CZ,ES,2008-03,15155555.555555556
CZ,FI,2008-03,3144444.4444444445
CZ,FR,2008-03,44500000.0
CZ,GR,2008-03,8744444.444444444
CZ,HK,2008-03,777777.7777777778
CZ,HR,2008-03,12388888.888888888
CZ,HU,2008-03,10644444.444444444
CZ,IE,2008-03,15222222.222222222
CZ,IN,2008-03,1777777.7777777778
CZ,IT,2008-03,27866666.666666664
CZ,JP,2008-03,21822222.222222224
CZ,LT,2008-03,833333.3333333334
CZ,LU,2008-03,2888888.888888889
CZ,LV,2008-03,477777.7777777778
