reporter,partner,TIME_PERIOD,OBS_VALUE
DK,BG,2005-01,1700000.0
DK,BR,2005-01,30633333.333333336
DK,CA,2005-01,17200000.0
DK,CH,2005-01,81700000.0
DK,CN,2005-01,73666666.66666667
DK,CZ,2005-01,5233333.333333333
DK,HK,2005-01,28766666.666666664
DK,HR,2005-01,799999.9999999999
DK,HU,2005-01,10433333.333333334
DK,IN,2005-01,44466666.66666667
DK,JP,2005-01,84566666.66666666
DK,LT,2005-01,5166666.666666667
DK,PL,2005-01,24500000.0
DK,RO,2005-01,1933333.3333333333
DK,RU,2005-01,17433333.333333332
DK,SE,2005-01,285300000.0
DK,UK,2005-01,178966666.66666666
DK,US,2005-01,317500000.0
DK,BG,2005-02,1777777.7777777778
DK,BR,2005-02,33255555.555555552
DK,CA,2005-02,18600000.0
DK,CH,2005-02,83399999.99999999
DK,CN,2005-02,76088888.8888889
DK,CZ,2005-02,5877777.777777777
DK,HK,2005-02,32500000.0
DK,HR,2005-02,1066666.6666666667
DK,HU,2005-02,10088888.888888888
DK,IN,2005-02,42944444.44444445
DK,JP,2005-02,85177777.77777778
DK,LT,2005-02,5744444.444444444
DK,PL,2005-02,26788888.888888888
DK,RO,2005-02,2344444.4444444445
DK,RU,2005-02,17988888.888888888
DK,SE,2005-02,300877777.7777778
DK,UK,2005-02,196755555.55555555
DK,US,2005-02,337855555.5555556
DK,BG,2005-03,1855555.5555555555
DK,BR,2005-03,35877777.77777778
DK,CA,2005-03,20000000.0
DK,CH,2005-03,85100000.0
DK,CN,2005-03,78511111.1111111
DK,CZ,2005-03,6522222.222222222
DK,HK,2005-03,36233333.333333336
DK,HR,2005-03,1333333.3333333333
DK,HU,2005-03,9744444.444444446
DK,IN,2005-03,41422222.222222224
DK,JP,2005-03,85788888.8888889
DK,LT,2005-03,6322222.222222222
DK,PL,2005-03,29077777.77777778
DK,RO,2005-03,2755555.555555555
DK,RU,2005-03,18544444.444444444
DK,SE,2005-03,316455555.5555556
DK,UK,2005-03,214544444.44444445
DK,US,2005-03,358211111.11111116
DK,BG,2005-04,1933333.3333333333
DK,BR,2005-04,38500000.0
DK,CA,2005-04,21400000.000000004
DK,CH,2005-04,86800000.0
DK,CN,2005-04,80933333.33333334
DK,CZ,2005-04,7166666.666666667
DK,HK,2005-04,39966666.66666667
DK,HR,2005-04,1599999.9999999998
DK,HU,2005-04,9400000.0
DK,IN,2005-04,39900000.0
DK,JP,2005-04,86399999.99999999
DK,LT,2005-04,6899999.999999999
DK,PL,2005-04,31366666.666666664
DK,RO,2005-04,3166666.6666666665
DK,RU,2005-04,19099999.999999996
DK,SE,2005-04,332033333.3333334
DK,UK,2005-04,232333333.33333334
DK,US,2005-04,378566666.6666667
DK,BG,2005-05,2111111.111111111
DK,BR,2005-05,38988888.88888889
DK,CA,2005-05,21844444.444444444
DK,CH,2005-05,87788888.8888889
DK,CN,2005-05,82844444.44444445
DK,CZ,2005-05,7488888.888888888
DK,HK,2005-05,41388888.888888896
DK,HR,2005-05,1622222.222222222
DK,HU,2005-05,10555555.555555556
DK,IN,2005-05,38633333.333333336
DK,JP,2005-05,85855555.55555555
DK,LT,2005-05,7166666.666666667
DK,PL,2005-05,30977777.777777776
DK,RO,2005-05,2944444.4444444445
DK,RU,2005-05,24588888.888888888
DK,SE,2005-05,347677777.77777773
DK,UK,2005-05,223433333.3333333
DK,US,2005-05,398688888.8888889
DK,BG,2005-06,2288888.888888889
DK,BR,2005-06,39477777.77777778
DK,CA,2005-06,22288888.88888889
DK,CH,2005-06,88777777.77777778
DK,CN,2005-06,84755555.55555557
DK,CZ,2005-06,7811111.111111111
DK,HK,2005-06,42811111.11111111
DK,HR,2005-06,1644444.4444444445
DK,HU,2005-06,11711111.11111111
DK,IN,2005-06,37366666.666666664
DK,JP,2005-06,85311111.11111112
DK,LT,2005-06,7433333.333333334
DK,PL,2005-06,30588888.888888888
DK,RO,2005-06,2722222.222222222
DK,RU,2005-06,30077777.77777778
DK,SE,2005-06,363322222.22222227
DK,UK,2005-06,214533333.33333334
DK,US,2005-06,418811111.1111111
DK,BG,2005-07,2466666.666666667
DK,BR,2005-07,39966666.66666667
DK,CA,2005-07,22733333.333333336
DK,CH,2005-07,89766666.66666667
DK,CN,2005-07,86666666.66666667
DK,CZ,2005-07,8133333.333333333
DK,HK,2005-07,44233333.33333333
DK,HR,2005-07,1666666.6666666667
DK,HU,2005-07,12866666.666666668
DK,IN,2005-07,36100000.0
DK,JP,2005-07,84766666.66666667
DK,LT,2005-07,7700000.0
DK,PL,2005-07,30200000.0
DK,RO,2005-07,2500000.0
DK,RU,2005-07,35566666.66666667
DK,SE,2005-07,378966666.6666667
DK,UK,2005-07,205633333.3333333
DK,US,2005-07,438933333.3333333
DK,BG,2005-08,2433333.333333333
DK,BR,2005-08,39422222.222222224
DK,CA,2005-08,22422222.22222222
DK,CH,2005-08,85755555.55555555
DK,CN,2005-08,84800000.0
DK,CZ,2005-08,8788888.88888889
DK,HK,2005-08,42288888.88888888
DK,HR,2005-08,1888888.888888889
DK,HU,2005-08,12611111.111111112
DK,IN,2005-08,36622222.22222222
DK,JP,2005-08,86933333.33333334
DK,LT,2005-08,8277777.777777779
DK,PL,2005-08,30066666.666666668
DK,RO,2005-08,2400000.0
DK,RU,2005-08,31722222.222222224
DK,SE,2005-08,374188888.88888896
DK,UK,2005-08,210577777.7777778
DK,US,2005-08,444377777.77777773
DK,BG,2005-09,2400000.0
DK,BR,2005-09,38877777.77777778
DK,CA,2005-09,22111111.111111116
DK,CH,2005-09,81744444.44444443
DK,CN,2005-09,82933333.33333333
DK,CZ,2005-09,9444444.444444444
DK,HK,2005-09,40344444.44444444
DK,HR,2005-09,2111111.111111111
DK,HU,2005-09,12355555.555555554
DK,IN,2005-09,37144444.44444445
DK,JP,2005-09,89100000.00000001
DK,LT,2005-09,8855555.555555556
DK,PL,2005-09,29933333.333333332
DK,RO,2005-09,2300000.0
DK,RU,2005-09,27877777.777777776
DK,SE,2005-09,369411111.1111111
DK,UK,2005-09,215522222.2222222
DK,US,2005-09,449822222.22222227
DK,BG,2005-10,2366666.6666666665
DK,BR,2005-10,38333333.333333336
DK,CA,2005-10,21800000.0
DK,CH,2005-10,77733333.33333333
DK,CN,2005-10,81066666.66666666
DK,CZ,2005-10,10100000.0
DK,HK,2005-10,38400000.0
DK,HR,2005-10,2333333.3333333335
DK,HU,2005-10,12100000.0
DK,IN,2005-10,37666666.666666664
DK,JP,2005-10,91266666.66666667
DK,LT,2005-10,9433333.333333334
DK,PL,2005-10,29800000.0
DK,RO,2005-10,2199999.9999999995
DK,RU,2005-10,24033333.333333332
DK,SE,2005-10,364633333.3333334
DK,UK,2005-10,220466666.66666666
DK,US,2005-10,455266666.6666666
DK,BG,2005-11,3077777.7777777775
DK,BR,2005-11,37033333.33333333
DK,CA,2005-11,22155555.555555556
DK,CH,2005-11,78522222.22222222
DK,CN,2005-11,80300000.0
DK,CZ,2005-11,8666666.666666666
DK,HK,2005-11,39011111.11111111
DK,HR,2005-11,3033333.333333333
DK,HU,2005-11,15077777.777777778
DK,IN,2005-11,37722222.222222224
DK,JP,2005-11,88766666.66666667
DK,LT,2005-11,8600000.0
DK,PL,2005-11,29144444.444444444
DK,RO,2005-11,2077777.777777778
DK,RU,2005-11,22544444.44444444
DK,SE,2005-11,356666666.6666667
DK,UK,2005-11,223166666.66666666
DK,US,2005-11,455611111.1111111
DK,BG,2005-12,3788888.888888889
DK,BR,2005-12,35733333.333333336
DK,CA,2005-12,22511111.11111111
DK,CH,2005-12,79311111.11111112
DK,CN,2005-12,79533333.33333333
DK,CZ,2005-12,7233333.333333333
DK,HK,2005-12,39622222.222222224
DK,HR,2005-12,3733333.333333333
DK,HU,2005-12,18055555.555555556
DK,IN,2005-12,37777777.777777776
DK,JP,2005-12,86266666.66666667
DK,LT,2005-12,7766666.666666667
DK,PL,2005-12,28488888.88888889
DK,RO,2005-12,1955555.5555555555
DK,RU,2005-12,21055555.555555552
DK,SE,2005-12,348700000.00000006
DK,UK,2005-12,225866666.6666667
DK,US,2005-12,455955555.5555556
DK,BG,2006-01,4500000.0
DK,BR,2006-01,34433333.33333333
DK,CA,2006-01,22866666.666666664
DK,CH,2006-01,80100000.00000001
DK,CN,2006-01,78766666.66666667
DK,CZ,2006-01,5800000.0
DK,HK,2006-01,40233333.333333336
DK,HR,2006-01,4433333.333333334
DK,HU,2006-01,21033333.333333336
DK,IN,2006-01,37833333.333333336
DK,JP,2006-01,83766666.66666667
DK,LT,2006-01,6933333.333333334
DK,PL,2006-01,27833333.333333332
DK,RO,2006-01,1833333.3333333333
DK,RU,2006-01,19566666.666666668
DK,SE,2006-01,340733333.3333334
DK,UK,2006-01,228566666.6666667
DK,US,2006-01,456300000.0
DK,BG,2006-02,3922222.2222222225
DK,BR,2006-02,34699999.99999999
DK,CA,2006-02,26133333.33333333
DK,CH,2006-02,79155555.55555555
DK,CN,2006-02,96255555.55555555
DK,CZ,2006-02,7055555.555555554
DK,HK,2006-02,44366666.666666664
DK,HR,2006-02,3688888.8888888885
DK,HU,2006-02,21488888.88888889
DK,IN,2006-02,40688888.88888889
DK,JP,2006-02,85388888.8888889
DK,LT,2006-02,7888888.888888889
DK,PL,2006-02,30144444.444444444
DK,RO,2006-02,1955555.5555555555
DK,RU,2006-02,19922222.22222222
DK,SE,2006-02,351833333.3333333
DK,UK,2006-02,234777777.7777778
DK,US,2006-02,468944444.44444454
DK,BG,2006-03,3344444.4444444445
DK,BR,2006-03,34966666.66666667
DK,CA,2006-03,29400000.000000004
DK,CH,2006-03,78211111.11111112
DK,CN,2006-03,113744444.44444445
DK,CZ,2006-03,8311111.111111112
DK,HK,2006-03,48500000.0
DK,HR,2006-03,2944444.444444444
DK,HU,2006-03,21944444.444444448
DK,IN,2006-03,43544444.44444445
DK,JP,2006-03,87011111.1111111
DK,LT,2006-03,8844444.444444444
DK,PL,2006-03,32455555.555555556
DK,RO,2006-03,2077777.777777778
DK,RU,2006-03,20277777.77777778
DK,SE,2006-03,362933333.3333333
DK,UK,2006-03,240988888.8888889
DK,US,2006-03,481588888.8888889
DK,BG,2006-04,2766666.666666667
DK,BR,2006-04,35233333.333333336
DK,CA,2006-04,32666666.666666664
DK,CH,2006-04,77266666.66666667
DK,CN,2006-04,131233333.33333331
DK,CZ,2006-04,9566666.666666666
DK,HK,2006-04,52633333.333333336
DK,HR,2006-04,2199999.9999999995
DK,HU,2006-04,22400000.000000004
DK,IN,2006-04,46400000.0
DK,JP,2006-04,88633333.33333333
DK,LT,2006-04,9799999.999999998
DK,PL,2006-04,34766666.666666664
DK,RO,2006-04,2199999.9999999995
DK,RU,2006-04,20633333.333333332
DK,SE,2006-04,374033333.3333333
DK,UK,2006-04,247200000.00000003
DK,US,2006-04,494233333.3333334
DK,BG,2006-05,2733333.333333334
DK,BR,2006-05,39333333.333333336
DK,CA,2006-05,33077777.777777776
DK,CH,2006-05,80255555.55555557
DK,CN,2006-05,136411111.11111113
DK,CZ,2006-05,8877777.777777778
DK,HK,2006-05,52777777.777777776
DK,HR,2006-05,2266666.6666666665
DK,HU,2006-05,25700000.000000004
DK,IN,2006-05,47955555.55555555
DK,JP,2006-05,91811111.11111112
DK,LT,2006-05,9211111.11111111
DK,PL,2006-05,36833333.333333336
DK,RO,2006-05,2300000.0
DK,RU,2006-05,22844444.444444444
DK,SE,2006-05,382788888.88888884
DK,UK,2006-05,252866666.6666667
DK,US,2006-05,502666666.6666667
DK,BG,2006-06,2699999.9999999995
DK,BR,2006-06,43433333.333333336
DK,CA,2006-06,33488888.888888888
DK,CH,2006-06,83244444.44444443
DK,CN,2006-06,141588888.88888887
DK,CZ,2006-06,8188888.888888888
DK,HK,2006-06,52922222.22222222
DK,HR,2006-06,2333333.3333333335
DK,HU,2006-06,29000000.0
DK,IN,2006-06,49511111.11111111
DK,JP,2006-06,94988888.88888888
DK,LT,2006-06,8622222.222222222
DK,PL,2006-06,38900000.0
DK,RO,2006-06,2400000.0
DK,RU,2006-06,25055555.555555552
DK,SE,2006-06,391544444.4444445
DK,UK,2006-06,258533333.33333337
DK,US,2006-06,511099999.99999994
DK,BG,2006-07,2666666.6666666665
DK,BR,2006-07,47533333.33333333
DK,CA,2006-07,33900000.0
DK,CH,2006-07,86233333.33333333
DK,CN,2006-07,146766666.6666667
DK,CZ,2006-07,7500000.0
DK,HK,2006-07,53066666.666666664
DK,HR,2006-07,2400000.0
DK,HU,2006-07,32300000.000000004
DK,IN,2006-07,51066666.666666664
DK,JP,2006-07,98166666.66666667
DK,LT,2006-07,8033333.333333333
DK,PL,2006-07,40966666.66666667
DK,RO,2006-07,2500000.0
DK,RU,2006-07,27266666.666666664
DK,SE,2006-07,400300000.0
DK,UK,2006-07,264200000.0
DK,US,2006-07,519533333.3333333
DK,BG,2006-08,2611111.111111111
DK,BR,2006-08,48233333.33333333
DK,CA,2006-08,32955555.555555556
DK,CH,2006-08,139511111.1111111
DK,CN,2006-08,145433333.33333334
DK,CZ,2006-08,8933333.333333334
DK,HK,2006-08,49177777.777777776
DK,HR,2006-08,3400000.0
DK,HU,2006-08,30688888.88888889
DK,IN,2006-08,51333333.333333336
DK,JP,2006-08,97033333.33333334
DK,LT,2006-08,8144444.444444444
DK,PL,2006-08,40355555.55555556
DK,RO,2006-08,2844444.4444444445
DK,RU,2006-08,30544444.44444444
DK,SE,2006-08,398311111.1111111
DK,UK,2006-08,265233333.33333334
DK,US,2006-08,508722222.22222215
DK,BG,2006-09,2555555.555555556
DK,BR,2006-09,48933333.333333336
DK,CA,2006-09,32011111.111111112
DK,CH,2006-09,192788888.8888889
DK,CN,2006-09,144100000.0
DK,CZ,2006-09,10366666.666666668
DK,HK,2006-09,45288888.88888889
DK,HR,2006-09,4399999.999999999
DK,HU,2006-09,29077777.77777778
DK,IN,2006-09,51599999.99999999
DK,JP,2006-09,95899999.99999999
DK,LT,2006-09,8255555.555555556
DK,PL,2006-09,39744444.44444445
DK,RO,2006-09,3188888.8888888885
DK,RU,2006-09,33822222.222222224
DK,SE,2006-09,396322222.22222227
DK,UK,2006-09,266266666.66666666
DK,US,2006-09,497911111.1111111
DK,BG,2006-10,2500000.0
DK,BR,2006-10,49633333.333333336
DK,CA,2006-10,31066666.666666668
DK,CH,2006-10,246066666.6666667
DK,CN,2006-10,142766666.6666667
DK,CZ,2006-10,11799999.999999998
DK,HK,2006-10,41400000.0
DK,HR,2006-10,5399999.999999999
DK,HU,2006-10,27466666.666666668
DK,IN,2006-10,51866666.666666664
DK,JP,2006-10,94766666.66666667
DK,LT,2006-10,8366666.666666667
DK,PL,2006-10,39133333.333333336
DK,RO,2006-10,3533333.333333333
DK,RU,2006-10,37100000.0
DK,SE,2006-10,394333333.3333333
DK,UK,2006-10,267300000.0
DK,US,2006-10,487099999.99999994
DK,BG,2006-11,2411111.111111111
DK,BR,2006-11,47988888.88888889
DK,CA,2006-11,29044444.444444448
DK,CH,2006-11,193688888.8888889
DK,CN,2006-11,137188888.8888889
DK,CZ,2006-11,10655555.555555554
DK,HK,2006-11,39844444.44444444
DK,HR,2006-11,5177777.777777778
DK,HU,2006-11,27388888.888888888
DK,IN,2006-11,50633333.333333336
DK,JP,2006-11,93966666.66666669
DK,LT,2006-11,8844444.444444446
DK,PL,2006-11,36900000.0
DK,RO,2006-11,3266666.666666666
DK,RU,2006-11,33711111.11111111
DK,SE,2006-11,389400000.00000006
DK,UK,2006-11,259311111.11111107
DK,US,2006-11,474411111.1111111
DK,BG,2006-12,2322222.2222222225
DK,BR,2006-12,46344444.44444444
DK,CA,2006-12,27022222.222222224
DK,CH,2006-12,141311111.1111111
DK,CN,2006-12,131611111.11111112
DK,CZ,2006-12,9511111.111111112
DK,HK,2006-12,38288888.88888889
DK,HR,2006-12,4955555.555555555
DK,HU,2006-12,27311111.111111112
DK,IN,2006-12,49400000.0
DK,JP,2006-12,93166666.66666667
DK,LT,2006-12,9322222.22222222
DK,PL,2006-12,34666666.666666664
DK,RO,2006-12,3000000.0
DK,RU,2006-12,30322222.222222224
DK,SE,2006-12,384466666.6666666
DK,UK,2006-12,251322222.2222222
DK,US,2006-12,461722222.22222215
DK,BG,2007-01,2233333.3333333335
DK,BR,2007-01,44699999.99999999
DK,CA,2007-01,25000000.0
DK,CH,2007-01,88933333.33333334
DK,CN,2007-01,126033333.33333334
DK,CZ,2007-01,8366666.666666667
DK,HK,2007-01,36733333.333333336
DK,HR,2007-01,4733333.333333333
DK,HU,2007-01,27233333.333333336
DK,IN,2007-01,48166666.666666664
DK,JP,2007-01,92366666.66666667
DK,LT,2007-01,9799999.999999998
DK,PL,2007-01,32433333.33333333
DK,RO,2007-01,2733333.333333333
DK,RU,2007-01,26933333.333333332
DK,SE,2007-01,379533333.3333333
DK,UK,2007-01,243333333.33333334
DK,US,2007-01,449033333.3333333
DK,BG,2007-02,3000000.0
DK,BR,2007-02,44266666.66666666
DK,CA,2007-02,26000000.0
DK,CH,2007-02,98544444.44444443
DK,CN,2007-02,138088888.8888889
DK,CZ,2007-02,8555555.555555556
DK,HK,2007-02,40877777.77777778
DK,HR,2007-02,5088888.888888889
DK,HU,2007-02,21455555.55555556
DK,IN,2007-02,49366666.666666664
DK,JP,2007-02,92944444.44444446
DK,LT,2007-02,9977777.777777778
DK,PL,2007-02,34355555.55555555
DK,RO,2007-02,3244444.444444444
DK,RU,2007-02,27544444.44444444
DK,SE,2007-02,386933333.3333333
DK,UK,2007-02,253477777.77777776
DK,US,2007-02,454088888.8888889
DK,BG,2007-03,3766666.666666667
DK,BR,2007-03,43833333.333333336
DK,CA,2007-03,27000000.0
DK,CH,2007-03,108155555.55555557
DK,CN,2007-03,150144444.44444445
DK,CZ,2007-03,8744444.444444446
DK,HK,2007-03,45022222.22222222
DK,HR,2007-03,5444444.444444444
DK,HU,2007-03,15677777.77777778
DK,IN,2007-03,50566666.66666667
DK,JP,2007-03,93522222.22222222
DK,LT,2007-03,10155555.555555554
DK,PL,2007-03,36277777.777777776
DK,RO,2007-03,3755555.555555556
DK,RU,2007-03,28155555.555555556
DK,SE,2007-03,394333333.3333333
DK,UK,2007-03,263622222.2222222
DK,US,2007-03,459144444.4444444
DK,BG,2007-04,4533333.333333333
DK,BR,2007-04,43400000.0
DK,CA,2007-04,28000000.0
DK,CH,2007-04,117766666.66666667
DK,CN,2007-04,162200000.00000003
DK,CZ,2007-04,8933333.333333334
DK,HK,2007-04,49166666.666666664
DK,HR,2007-04,5800000.0
DK,HU,2007-04,9900000.0
DK,IN,2007-04,51766666.66666667
DK,JP,2007-04,94100000.00000001
DK,LT,2007-04,10333333.333333334
DK,PL,2007-04,38199999.99999999
DK,RO,2007-04,4266666.666666667
DK,RU,2007-04,28766666.666666664
