reporter,partner,TIME_PERIOD,OBS_VALUE
DK,BG,2005-01,1866666.6666666665
DK,BR,2005-01,13433333.333333332
DK,CA,2005-01,11733333.333333334
DK,CH,2005-01,69066666.66666666
DK,CN,2005-01,45466666.66666667
DK,CZ,2005-01,7133333.333333333
DK,HK,2005-01,34133333.333333336
DK,HR,2005-01,1200000.0
DK,HU,2005-01,7033333.333333334
DK,IN,2005-01,18500000.0
DK,JP,2005-01,54266666.66666667
DK,LT,2005-01,7033333.333333334
DK,PL,2005-01,22133333.333333336
DK,RO,2005-01,1966666.6666666667
DK,RU,2005-01,25133333.333333336
DK,SE,2005-01,236866666.6666667
DK,UK,2005-01,207266666.66666666
DK,US,2005-01,343000000.0
DK,BG,2005-02,2822222.2222222225
DK,BR,2005-02,13466666.666666666
DK,CA,2005-02,12166666.666666666
DK,CH,2005-02,67544444.44444443
DK,CN,2005-02,47233333.33333334
DK,CZ,2005-02,7444444.444444444
DK,HK,2005-02,33555555.55555556
DK,HR,2005-02,2155555.5555555555
DK,HU,2005-02,7477777.777777778
DK,IN,2005-02,19500000.0
DK,JP,2005-02,52655555.55555556
DK,LT,2005-02,7600000.000000001
DK,PL,2005-02,22599999.999999996
DK,RO,2005-02,2366666.6666666665
DK,RU,2005-02,25555555.555555556
DK,SE,2005-02,239233333.33333334
DK,UK,2005-02,209244444.44444445
DK,US,2005-02,350988888.8888889
DK,BG,2005-03,3777777.777777777
DK,BR,2005-03,13500000.0
DK,CA,2005-03,12600000.000000002
DK,CH,2005-03,66022222.222222224
DK,CN,2005-03,49000000.0
DK,CZ,2005-03,7755555.555555556
DK,HK,2005-03,32977777.77777778
DK,HR,2005-03,3111111.111111111
DK,HU,2005-03,7922222.222222223
DK,IN,2005-03,20500000.0
DK,JP,2005-03,51044444.44444445
DK,LT,2005-03,8166666.666666666
DK,PL,2005-03,23066666.666666668
DK,RO,2005-03,2766666.666666667
DK,RU,2005-03,25977777.777777776
DK,SE,2005-03,241600000.0
DK,UK,2005-03,211222222.2222222
DK,US,2005-03,358977777.7777778
DK,BG,2005-04,4733333.333333333
DK,BR,2005-04,13533333.333333334
DK,CA,2005-04,13033333.333333334
DK,CH,2005-04,64500000.0
DK,CN,2005-04,50766666.66666667
DK,CZ,2005-04,8066666.666666666
DK,HK,2005-04,32400000.0
DK,HR,2005-04,4066666.6666666665
DK,HU,2005-04,8366666.666666667
DK,IN,2005-04,21500000.0
DK,JP,2005-04,49433333.333333336
DK,LT,2005-04,8733333.333333332
DK,PL,2005-04,23533333.333333332
DK,RO,2005-04,3166666.6666666665
DK,RU,2005-04,26400000.000000004
DK,SE,2005-04,243966666.66666666
DK,UK,2005-04,213200000.00000003
DK,US,2005-04,366966666.6666667
DK,BG,2005-05,5833333.333333333
DK,BR,2005-05,14888888.888888888
DK,CA,2005-05,13811111.111111112
DK,CH,2005-05,63722222.222222224
DK,CN,2005-05,53877777.77777778
DK,CZ,2005-05,8211111.11111111
DK,HK,2005-05,32877777.77777778
DK,HR,2005-05,5811111.111111111
DK,HU,2005-05,10333333.333333334
DK,IN,2005-05,21800000.0
DK,JP,2005-05,49488888.88888889
DK,LT,2005-05,8633333.333333332
DK,PL,2005-05,23788888.888888888
DK,RO,2005-05,3199999.9999999995
DK,RU,2005-05,27177777.777777776
DK,SE,2005-05,245766666.66666666
DK,UK,2005-05,216766666.6666667
DK,US,2005-05,380566666.6666667
DK,BG,2005-06,6933333.333333334
DK,BR,2005-06,16244444.444444444
DK,CA,2005-06,14588888.888888888
DK,CH,2005-06,62944444.44444445
DK,CN,2005-06,56988888.88888889
DK,CZ,2005-06,8355555.555555556
DK,HK,2005-06,33355555.555555556
DK,HR,2005-06,7555555.555555554
DK,HU,2005-06,12299999.999999998
DK,IN,2005-06,22099999.999999996
DK,JP,2005-06,49544444.44444445
DK,LT,2005-06,8533333.333333334
DK,PL,2005-06,24044444.444444448
DK,RO,2005-06,3233333.333333334
DK,RU,2005-06,27955555.55555556
DK,SE,2005-06,247566666.6666667
DK,UK,2005-06,220333333.33333334
DK,US,2005-06,394166666.6666667
DK,BG,2005-07,8033333.333333333
DK,BR,2005-07,17599999.999999996
DK,CA,2005-07,15366666.666666668
DK,CH,2005-07,62166666.666666664
DK,CN,2005-07,60100000.0
DK,CZ,2005-07,8500000.0
DK,HK,2005-07,33833333.333333336
DK,HR,2005-07,9299999.999999998
DK,HU,2005-07,14266666.666666666
DK,IN,2005-07,22400000.000000004
DK,JP,2005-07,49600000.0
DK,LT,2005-07,8433333.333333334
DK,PL,2005-07,24300000.0
DK,RO,2005-07,3266666.666666667
DK,RU,2005-07,28733333.333333336
DK,SE,2005-07,249366666.6666667
DK,UK,2005-07,223900000.0
DK,US,2005-07,407766666.6666666
DK,BG,2005-08,6366666.666666667
DK,BR,2005-08,17244444.444444444
DK,CA,2005-08,15811111.111111112
DK,CH,2005-08,76755555.55555557
DK,CN,2005-08,59655555.55555556
DK,CZ,2005-08,8655555.555555554
DK,HK,2005-08,35066666.66666667
DK,HR,2005-08,7344444.444444444
DK,HU,2005-08,12844444.444444444
DK,IN,2005-08,23233333.333333336
DK,JP,2005-08,50388888.888888896
DK,LT,2005-08,9288888.88888889
DK,PL,2005-08,25300000.0
DK,RO,2005-08,2922222.2222222225
DK,RU,2005-08,28555555.555555556
DK,SE,2005-08,254299999.99999997
DK,UK,2005-08,236211111.1111111
DK,US,2005-08,417911111.1111111
DK,BG,2005-09,4700000.0
DK,BR,2005-09,16888888.888888888
DK,CA,2005-09,16255555.555555556
DK,CH,2005-09,91344444.44444445
DK,CN,2005-09,59211111.11111112
DK,CZ,2005-09,8811111.111111112
