reporter,partner,TIME_PERIOD,OBS_VALUE
EE,BG,2008-01,233333.3333333333
EE,BR,2008-01,33333.333333333336
EE,CA,2008-01,2933333.3333333335
EE,CH,2008-01,9566666.666666666
EE,CN,2008-01,466666.6666666666
EE,CZ,2008-01,700000.0000000001
EE,DK,2008-01,8133333.333333333
EE,HK,2008-01,133333.33333333334
EE,HR,2008-01,33333.333333333336
EE,HU,2008-01,566666.6666666666
EE,IN,2008-01,233333.3333333333
EE,JP,2008-01,399999.99999999994
EE,LT,2008-01,8000000.0
EE,LV,2008-01,15133333.333333332
EE,PL,2008-01,2633333.3333333335
EE,RO,2008-01,233333.3333333333
EE,RU,2008-01,24300000.0
EE,SE,2008-01,23300000.0
EE,UK,2008-01,18366666.666666668
EE,US,2008-01,8233333.333333332
EE,BG,2008-02,211111.11111111112
EE,BR,2008-02,66666.66666666667
EE,CA,2008-02,2477777.777777778
EE,CH,2008-02,9777777.777777776
EE,CN,2008-02,533333.3333333334
EE,CZ,2008-02,688888.888888889
EE,DK,2008-02,8622222.222222222
EE,HK,2008-02,155555.55555555556
EE,HR,2008-02,44444.444444444445
EE,HU,2008-02,577777.7777777779
EE,IN,2008-02,266666.6666666667
EE,JP,2008-02,444444.44444444444
EE,LT,2008-02,9088888.888888888
EE,LV,2008-02,15100000.0
EE,PL,2008-02,2699999.9999999995
EE,RO,2008-02,199999.99999999997
EE,RU,2008-02,25455555.55555556
EE,SE,2008-02,25988888.88888889
EE,UK,2008-02,18777777.77777778
EE,US,2008-02,10544444.444444444
EE,BG,2008-03,188888.88888888888
EE,BR,2008-03,100000.00000000001
EE,CA,2008-03,2022222.2222222222
EE,CH,2008-03,9988888.888888888
EE,CN,2008-03,600000.0
EE,CZ,2008-03,677777.7777777778
EE,DK,2008-03,9111111.11111111
EE,HK,2008-03,177777.77777777778
EE,HR,2008-03,55555.55555555556
EE,HU,2008-03,588888.8888888889
EE,IN,2008-03,300000.0
EE,JP,2008-03,488888.88888888893
EE,LT,2008-03,10177777.777777778
EE,LV,2008-03,15066666.666666668
EE,PL,2008-03,2766666.666666667
EE,RO,2008-03,166666.66666666666
EE,RU,2008-03,26611111.111111112
EE,SE,2008-03,28677777.777777776
EE,UK,2008-03,19188888.888888888
EE,US,2008-03,12855555.555555554
EE,BG,2008-04,166666.66666666666
EE,BR,2008-04,133333.33333333334
EE,CA,2008-04,1566666.6666666667
EE,CH,2008-04,10200000.000000002
EE,CN,2008-04,666666.6666666666
EE,CZ,2008-04,666666.6666666666
EE,DK,2008-04,9600000.0
EE,HK,2008-04,199999.99999999997
EE,HR,2008-04,66666.66666666667
EE,HU,2008-04,600000.0
EE,IN,2008-04,333333.3333333333
EE,JP,2008-04,533333.3333333334
EE,LT,2008-04,11266666.666666666
EE,LV,2008-04,15033333.333333334
EE,PL,2008-04,2833333.3333333335
EE,RO,2008-04,133333.33333333334
EE,RU,2008-04,27766666.666666664
EE,SE,2008-04,31366666.666666664
EE,UK,2008-04,19599999.999999996
EE,US,2008-04,15166666.666666666
EE,BG,2008-05,155555.55555555556
EE,BR,2008-05,133333.33333333334
EE,CA,2008-05,1455555.5555555557
EE,CH,2008-05,10122222.222222222
EE,CN,2008-05,655555.5555555555
EE,CZ,2008-05,700000.0000000001
EE,DK,2008-05,9577777.777777778
EE,HK,2008-05,288888.88888888893
EE,HR,2008-05,133333.33333333334
EE,HU,2008-05,655555.5555555555
EE,IN,2008-05,311111.1111111111
EE,JP,2008-05,600000.0
EE,LT,2008-05,11822222.22222222
EE,LV,2008-05,16144444.444444446
EE,PL,2008-05,2900000.0
EE,RO,2008-05,177777.77777777778
EE,RU,2008-05,28933333.333333332
EE,SE,2008-05,31922222.22222222
EE,UK,2008-05,18677777.777777776
EE,US,2008-05,15866666.666666668
EE,BG,2008-06,144444.44444444447
EE,BR,2008-06,133333.33333333334
EE,CA,2008-06,1344444.4444444443
EE,CH,2008-06,10044444.444444444
EE,CN,2008-06,644444.4444444445
EE,CZ,2008-06,733333.3333333333
EE,DK,2008-06,9555555.555555556
EE,HK,2008-06,377777.77777777775
EE,HR,2008-06,200000.00000000003
EE,HU,2008-06,711111.1111111111
EE,IN,2008-06,288888.88888888893
EE,JP,2008-06,666666.6666666666
EE,LT,2008-06,12377777.777777778
EE,LV,2008-06,17255555.555555556
EE,PL,2008-06,2966666.666666667
EE,RO,2008-06,222222.22222222225
EE,RU,2008-06,30099999.999999996
EE,SE,2008-06,32477777.777777776
EE,UK,2008-06,17755555.555555556
EE,US,2008-06,16566666.666666666
EE,BG,2008-07,133333.33333333334
EE,BR,2008-07,133333.33333333334
EE,CA,2008-07,1233333.3333333335
EE,CH,2008-07,9966666.666666666
EE,CN,2008-07,633333.3333333333
EE,CZ,2008-07,766666.6666666666
EE,DK,2008-07,9533333.333333334
EE,HK,2008-07,466666.6666666666
EE,HR,2008-07,266666.6666666667
EE,HU,2008-07,766666.6666666666
EE,IN,2008-07,266666.6666666667
EE,JP,2008-07,733333.3333333334
EE,LT,2008-07,12933333.333333332
EE,LV,2008-07,18366666.666666668
EE,PL,2008-07,3033333.333333333
EE,RO,2008-07,266666.6666666667
EE,RU,2008-07,31266666.666666664
EE,SE,2008-07,33033333.333333332
EE,UK,2008-07,16833333.333333332
EE,US,2008-07,17266666.666666664
EE,BG,2008-08,99999.99999999999
EE,BR,2008-08,99999.99999999999
EE,CA,2008-08,1177777.7777777778
EE,CH,2008-08,11100000.0
EE,CN,2008-08,644444.4444444445
EE,CZ,2008-08,699999.9999999999
EE,DK,2008-08,9544444.444444444
EE,HK,2008-08,422222.22222222225
EE,HR,2008-08,211111.11111111112
EE,HU,2008-08,777777.7777777776
EE,IN,2008-08,233333.33333333337
EE,JP,2008-08,711111.1111111111
EE,LT,2008-08,12166666.666666666
EE,LV,2008-08,18688888.88888889
EE,PL,2008-08,2955555.5555555555
EE,RO,2008-08,222222.22222222225
EE,RU,2008-08,37511111.11111111
EE,SE,2008-08,30288888.888888888
EE,UK,2008-08,16333333.333333332
EE,US,2008-08,15411111.111111112
EE,BG,2008-09,66666.66666666667
EE,BR,2008-09,66666.66666666667
EE,CA,2008-09,1122222.2222222222
EE,CH,2008-09,12233333.333333334
EE,CN,2008-09,655555.5555555555
EE,CZ,2008-09,633333.3333333333
EE,DK,2008-09,9555555.555555556
EE,HK,2008-09,377777.77777777775
EE,HR,2008-09,155555.5555555556
EE,HU,2008-09,788888.8888888889
EE,IN,2008-09,199999.99999999997
EE,JP,2008-09,688888.888888889
EE,LT,2008-09,11399999.999999998
EE,LV,2008-09,19011111.11111111
EE,PL,2008-09,2877777.777777778
EE,RO,2008-09,177777.7777777778
EE,RU,2008-09,43755555.55555555
EE,SE,2008-09,27544444.444444448
EE,UK,2008-09,15833333.333333334
EE,US,2008-09,13555555.555555556
EE,BG,2008-10,33333.333333333336
EE,BR,2008-10,33333.333333333336
EE,CA,2008-10,1066666.6666666667
EE,CH,2008-10,13366666.666666668
EE,CN,2008-10,666666.6666666666
EE,CZ,2008-10,566666.6666666666
EE,DK,2008-10,9566666.666666666
EE,HK,2008-10,333333.3333333333
EE,HR,2008-10,99999.99999999999
EE,HU,2008-10,799999.9999999999
EE,IN,2008-10,166666.66666666666
EE,JP,2008-10,666666.6666666666
EE,LT,2008-10,10633333.333333332
EE,LV,2008-10,19333333.333333332
EE,PL,2008-10,2800000.0000000005
EE,RO,2008-10,133333.33333333334
EE,RU,2008-10,50000000.0
EE,SE,2008-10,24800000.0
EE,UK,2008-10,15333333.333333334
EE,US,2008-10,11700000.000000002
EE,BG,2008-11,44444.444444444445
EE,BR,2008-11,33333.333333333336
EE,CA,2008-11,1899999.9999999998
EE,CH,2008-11,12533333.333333334
EE,CN,2008-11,611111.111111111
EE,CZ,2008-11,577777.7777777779
EE,DK,2008-11,8966666.666666666
EE,HK,2008-11,277777.7777777778
EE,HR,2008-11,88888.88888888889
EE,HU,2008-11,744444.4444444445
EE,IN,2008-11,166666.66666666666
EE,JP,2008-11,611111.111111111
EE,LT,2008-11,9344444.444444444
EE,LV,2008-11,17777777.77777778
EE,PL,2008-11,2533333.3333333335
EE,RO,2008-11,122222.22222222223
EE,RU,2008-11,40855555.55555555
EE,SE,2008-11,22500000.0
EE,UK,2008-11,13577777.777777778
EE,US,2008-11,10311111.111111112
EE,BG,2008-12,55555.55555555556
EE,BR,2008-12,33333.333333333336
EE,CA,2008-12,2733333.333333333
EE,CH,2008-12,11700000.000000002
EE,CN,2008-12,555555.5555555556
EE,CZ,2008-12,588888.8888888889
EE,DK,2008-12,8366666.666666667
EE,HK,2008-12,222222.22222222225
EE,HR,2008-12,77777.77777777778
EE,HU,2008-12,688888.8888888888
EE,IN,2008-12,166666.66666666666
EE,JP,2008-12,555555.5555555556
EE,LT,2008-12,8055555.555555555
EE,LV,2008-12,16222222.222222222
EE,PL,2008-12,2266666.6666666665
EE,RO,2008-12,111111.11111111111
EE,RU,2008-12,31711111.11111111
EE,SE,2008-12,20200000.0
EE,UK,2008-12,11822222.222222222
EE,US,2008-12,8922222.222222222
