reporter,partner,TIME_PERIOD,OBS_VALUE
EE,BG,2008-01,566666.6666666666
EE,BR,2008-01,133333.33333333334
EE,CA,2008-01,500000.0
EE,CH,2008-01,1833333.3333333333
EE,CN,2008-01,1700000.0
EE,CZ,2008-01,1266666.6666666665
EE,DK,2008-01,4533333.333333333
EE,HK,2008-01,399999.99999999994
EE,HR,2008-01,300000.0
EE,HU,2008-01,666666.6666666666
EE,IN,2008-01,333333.3333333333
EE,JP,2008-01,399999.99999999994
EE,LT,2008-01,9333333.333333334
EE,LV,2008-01,13333333.333333334
EE,PL,2008-01,3966666.666666667
EE,RO,2008-01,233333.3333333333
EE,RU,2008-01,10000000.0
EE,SE,2008-01,17133333.333333332
EE,UK,2008-01,10500000.0
EE,US,2008-01,5966666.666666666
EE,BG,2008-02,611111.111111111
EE,BR,2008-02,133333.33333333334
EE,CA,2008-02,533333.3333333334
EE,CH,2008-02,1666666.6666666667
EE,CN,2008-02,1922222.2222222222
EE,CZ,2008-02,1322222.2222222222
EE,DK,2008-02,5488888.888888888
EE,HK,2008-02,399999.99999999994
EE,HR,2008-02,266666.6666666667
EE,HU,2008-02,644444.4444444445
EE,IN,2008-02,333333.3333333333
EE,JP,2008-02,399999.99999999994
EE,LT,2008-02,9611111.11111111
EE,LV,2008-02,14066666.666666668
EE,PL,2008-02,3911111.1111111115
EE,RO,2008-02,255555.55555555553
EE,RU,2008-02,10744444.444444446
EE,SE,2008-02,17511111.11111111
EE,UK,2008-02,10444444.444444444
EE,US,2008-02,6022222.222222222
EE,BG,2008-03,655555.5555555555
EE,BR,2008-03,133333.33333333334
EE,CA,2008-03,566666.6666666666
EE,CH,2008-03,1500000.0
EE,CN,2008-03,2144444.4444444445
EE,CZ,2008-03,1377777.7777777775
EE,DK,2008-03,6444444.444444444
EE,HK,2008-03,399999.99999999994
EE,HR,2008-03,233333.3333333333
EE,HU,2008-03,622222.2222222222
EE,IN,2008-03,333333.3333333333
EE,JP,2008-03,399999.99999999994
EE,LT,2008-03,9888888.88888889
