reporter,partner,TIME_PERIOD,OBS_VALUE
ES,UK,2008-01,1230666666.6666667
ES,UK,2008-02,1404000000.0
ES,UK,2008-03,1577333333.3333333
ES,UK,2008-04,1750666666.6666667
ES,UK,2008-05,1873666666.6666667
ES,UK,2008-06,1996666666.6666667
ES,UK,2008-07,2119666666.6666665
ES,UK,2008-08,1813777777.7777777
ES,UK,2008-09,1507888888.8888888
ES,UK,2008-10,1202000000.0
ES,UK,2008-11,1102333333.3333333
ES,UK,2008-12,1002666666.6666666
ES,UK,2009-01,903000000.0
ES,UK,2009-02,1042333333.3333333
ES,UK,2009-03,1181666666.6666667
ES,UK,2009-04,1321000000.0
ES,UK,2009-05,1419777777.7777777
ES,UK,2009-06,1518555555.5555556
ES,UK,2009-07,1617333333.3333333
ES,UK,2009-08,1392000000.0
ES,UK,2009-09,1166666666.6666667
ES,UK,2009-10,941333333.3333334
ES,UK,2009-11,901222222.2222222
ES,UK,2009-12,861111111.1111112
ES,UK,2010-01,821000000.0
ES,UK,2010-02,946333333.3333334
ES,UK,2010-03,1071666666.6666667
ES,UK,2010-04,1197000000.0
ES,UK,2010-05,1327222222.222222
ES,UK,2010-06,1457444444.4444444
ES,UK,2010-07,1587666666.6666667
ES,UK,2010-08,1362888888.8888888
ES,UK,2010-09,1138111111.1111112
ES,UK,2010-10,913333333.3333334
ES,UK,2010-11,896000000.0
ES,UK,2010-12,878666666.6666666
ES,UK,2011-01,861333333.3333334
ES,UK,2011-02,1010666666.6666666
ES,UK,2011-03,1160000000.0
ES,UK,2011-04,1309333333.3333333
ES,UK,2011-05,1428444444.4444444
ES,UK,2011-06,1547555555.5555556
ES,UK,2011-07,1666666666.6666667
ES,UK,2011-08,1456666666.6666667
ES,UK,2011-09,1246666666.6666667
ES,UK,2011-10,1036666666.6666667
ES,UK,2011-11,995444444.4444444
ES,UK,2011-12,954222222.2222222
ES,UK,2012-01,913000000.0
ES,UK,2012-02,1078222222.222222
ES,UK,2012-03,1243444444.4444447
ES,UK,2012-04,1408666666.6666667
ES,UK,2012-05,1529777777.7777777
ES,UK,2012-06,1650888888.8888888
ES,UK,2012-07,1772000000.0
ES,UK,2012-08,1511333333.3333333
ES,UK,2012-09,1250666666.6666667
ES,UK,2012-10,990000000.0
ES,UK,2012-11,929666666.6666666
ES,UK,2012-12,869333333.3333334
ES,BE,2013-01,170000000.0
ES,DE,2013-01,761000000.0
ES,FR,2013-01,816333333.3333334
ES,IT,2013-01,219000000.0
ES,NL,2013-01,262666666.6666667
ES,PT,2013-01,194333333.33333334
