reporter,partner,TIME_PERIOD,OBS_VALUE
ES,UK,2008-01,469666666.6666667
ES,UK,2008-02,469111111.1111111
ES,UK,2008-03,468555555.5555556
ES,UK,2008-04,468000000.0
ES,UK,2008-05,480777777.7777778
ES,UK,2008-06,493555555.5555556
ES,UK,2008-07,506333333.3333333
ES,UK,2008-08,520333333.3333334
ES,UK,2008-09,534333333.3333334
ES,UK,2008-10,548333333.3333334
ES,UK,2008-11,517444444.4444445
ES,UK,2008-12,486555555.5555556
ES,UK,2009-01,455666666.6666667
ES,UK,2009-02,453666666.6666667
ES,UK,2009-03,451666666.6666667
ES,UK,2009-04,449666666.6666667
ES,UK,2009-05,451111111.1111111
ES,UK,2009-06,452555555.5555556
ES,UK,2009-07,454000000.0
ES,UK,2009-08,484333333.3333333
ES,UK,2009-09,514666666.6666666
ES,UK,2009-10,545000000.0
ES,UK,2009-11,504000000.0
ES,UK,2009-12,463000000.0
ES,UK,2010-01,422000000.0
ES,UK,2010-02,425222222.2222222
ES,UK,2010-03,428444444.4444444
ES,UK,2010-04,431666666.6666667
ES,UK,2010-05,426444444.4444444
ES,UK,2010-06,421222222.2222222
ES,UK,2010-07,416000000.0
ES,UK,2010-08,435222222.2222222
ES,UK,2010-09,454444444.4444444
ES,UK,2010-10,473666666.6666667
ES,UK,2010-11,454000000.0
ES,UK,2010-12,434333333.3333333
ES,UK,2011-01,414666666.6666667
ES,UK,2011-02,400777777.7777778
ES,UK,2011-03,386888888.8888889
ES,UK,2011-04,373000000.0
ES,UK,2011-05,381888888.8888889
ES,UK,2011-06,390777777.7777778
ES,UK,2011-07,399666666.6666667
ES,UK,2011-08,416111111.1111111
ES,UK,2011-09,432555555.5555556
ES,UK,2011-10,449000000.0
ES,UK,2011-11,430333333.3333333
ES,UK,2011-12,411666666.6666667
ES,UK,2012-01,393000000.0
ES,UK,2012-02,380555555.5555556
ES,UK,2012-03,368111111.1111111
ES,UK,2012-04,355666666.6666667
ES,UK,2012-05,379333333.3333333
ES,UK,2012-06,403000000.0
ES,UK,2012-07,426666666.6666667
ES,UK,2012-08,426555555.5555556
ES,UK,2012-09,426444444.4444444
ES,UK,2012-10,426333333.3333333
ES,UK,2012-11,404111111.1111111
ES,UK,2012-12,381888888.8888889
ES,UK,2013-01,359666666.6666667
ES,UK,2013-02,364222222.2222222
ES,UK,2013-03,368777777.7777778
ES,UK,2013-04,373333333.3333333
ES,UK,2013-05,380222222.2222222
ES,UK,2013-06,387111111.1111111
ES,UK,2013-07,394000000.0
ES,UK,2013-08,428111111.1111111
ES,UK,2013-09,462222222.2222222
ES,UK,2013-10,496333333.3333333
ES,UK,2013-11,458111111.1111111
ES,UK,2013-12,419888888.8888889
ES,UK,2014-01,381666666.6666667
ES,UK,2014-02,396444444.4444444
ES,UK,2014-03,411222222.2222222
ES,UK,2014-04,426000000.0
ES,UK,2014-05,415333333.3333333
ES,UK,2014-06,404666666.6666667
ES,UK,2014-07,394000000.0
ES,UK,2014-08,428000000.0
ES,UK,2014-09,462000000.0
ES,UK,2014-10,496000000.0
ES,UK,2014-11,480444444.4444444
ES,UK,2014-12,464888888.8888889
ES,UK,2015-01,449333333.3333333
ES,UK,2015-02,464111111.1111111
ES,UK,2015-03,478888888.8888889
ES,UK,2015-04,493666666.6666667
ES,UK,2015-05,481777777.7777778
ES,UK,2015-06,469888888.8888889
ES,UK,2015-07,458000000.0
ES,UK,2015-08,508111111.1111111
ES,UK,2015-09,558222222.2222223
ES,UK,2015-10,608333333.3333334
ES,UK,2015-11,585000000.0
ES,UK,2015-12,561666666.6666666
ES,UK,2016-01,538333333.3333334
ES,UK,2016-02,535777777.77777773
ES,UK,2016-03,533222222.22222227
ES,UK,2016-04,530666666.6666666
ES,UK,2016-05,548777777.7777777
ES,UK,2016-06,566888888.888889
ES,UK,2016-07,585000000.0
ES,UK,2016-08,594333333.3333334
ES,UK,2016-09,603666666.6666666
ES,UK,2016-10,613000000.0
ES,UK,2016-11,591777777.7777777
ES,UK,2016-12,570555555.5555556
ES,UK,2017-01,549333333.3333334
ES,UK,2017-02,547222222.2222223
ES,UK,2017-03,545111111.111111
ES,UK,2017-04,543000000.0
ES,UK,2017-05,536000000.0
ES,UK,2017-06,529000000.0
ES,UK,2017-07,522000000.0
ES,UK,2017-08,555444444.4444444
ES,UK,2017-09,588888888.888889
ES,UK,2017-10,622333333.3333334
ES,UK,2017-11,627444444.4444444
ES,UK,2017-12,632555555.5555556
ES,UK,2018-01,637666666.6666666
ES,UK,2018-02,621333333.3333334
ES,UK,2018-03,605000000.0
ES,UK,2018-04,588666666.6666666
ES,UK,2018-05,589111111.111111
ES,UK,2018-06,589555555.5555556
ES,UK,2018-07,590000000.0
ES,UK,2018-08,622000000.0
ES,UK,2018-09,654000000.0
ES,UK,2018-10,686000000.0
ES,UK,2018-11,685777777.7777778
ES,UK,2018-12,685555555.5555556
ES,UK,2019-01,685333333.3333334
ES,UK,2019-02,686111111.1111112
ES,UK,2019-03,686888888.8888888
ES,UK,2019-04,687666666.6666666
ES,UK,2019-05,691555555.5555556
ES,UK,2019-06,695444444.4444444
ES,UK,2019-07,699333333.3333334
ES,UK,2019-08,724777777.7777778
ES,UK,2019-09,750222222.2222222
ES,UK,2019-10,775666666.6666666
ES,UK,2019-11,722000000.0
ES,UK,2019-12,668333333.3333334
ES,UK,2020-01,614666666.6666666
ES,UK,2020-02,563000000.0
ES,UK,2020-03,511333333.3333333
ES,UK,2020-04,459666666.6666667
ES,UK,2020-05,456555555.5555556
ES,UK,2020-06,453444444.4444444
ES,UK,2020-07,450333333.3333333
ES,UK,2020-08,533000000.0
ES,UK,2020-09,615666666.6666666
ES,UK,2020-10,698333333.3333334
ES,UK,2020-11,634444444.4444444
ES,UK,2020-12,570555555.5555556
ES,UK,2021-01,506666666.6666667
ES,UK,2021-02,516111111.1111111
ES,UK,2021-03,525555555.5555555
ES,UK,2021-04,535000000.0
ES,UK,2021-05,551666666.6666666
ES,UK,2021-06,568333333.3333334
ES,UK,2021-07,585000000.0
ES,UK,2021-08,576333333.3333334
ES,UK,2021-09,567666666.6666666
ES,UK,2021-10,559000000.0
ES,UK,2021-11,570888888.888889
ES,UK,2021-12,582777777.7777777
ES,AT,2022-01,31333333.333333332
ES,BE,2022-01,116000000.0
ES,BG,2022-01,11666666.666666666
ES,BR,2022-01,53333333.333333336
ES,CA,2022-01,25000000.0
ES,CH,2022-01,281000000.0
ES,CN,2022-01,172000000.0
ES,CY,2022-01,11333333.333333334
ES,CZ,2022-01,21333333.333333332
ES,DE,2022-01,525666666.6666666
ES,DK,2022-01,71666666.66666667
ES,EE,2022-01,3333333.3333333335
ES,FI,2022-01,9666666.666666666
ES,FR,2022-01,719000000.0
ES,GR,2022-01,36333333.333333336
ES,HK,2022-01,25333333.333333332
ES,HR,2022-01,13666666.666666666
ES,HU,2022-01,9000000.0
ES,IE,2022-01,314333333.3333333
ES,IN,2022-01,52333333.333333336
ES,IT,2022-01,258666666.6666667
ES,JP,2022-01,23333333.333333332
ES,LT,2022-01,8666666.666666666
ES,LU,2022-01,111333333.33333333
ES,MT,2022-01,25666666.666666668
ES,NL,2022-01,256333333.3333333
ES,PL,2022-01,58000000.0
ES,PT,2022-01,185000000.0
ES,RO,2022-01,25000000.0
ES,RU,2022-01,14666666.666666666
ES,SE,2022-01,58666666.666666664
ES,SI,2022-01,3000000.0
ES,SK,2022-01,7333333.333333333
ES,UK,2022-01,594666666.6666666
ES,US,2022-01,420000000.0
ES,AT,2022-02,35888888.888888896
ES,BE,2022-02,117000000.0
ES,BG,2022-02,13111111.111111112
ES,BR,2022-02,52333333.333333336
ES,CA,2022-02,24333333.333333332
ES,CH,2022-02,321444444.4444445
ES,CN,2022-02,169444444.44444442
ES,CY,2022-02,11111111.111111112
ES,CZ,2022-02,21111111.111111112
ES,DE,2022-02,554666666.6666666
ES,DK,2022-02,70555555.55555555
ES,EE,2022-02,3000000.0
ES,FI,2022-02,12111111.111111112
ES,FR,2022-02,767444444.4444444
ES,GR,2022-02,45444444.44444445
ES,HK,2022-02,36222222.222222224
ES,HR,2022-02,17333333.333333332
ES,HU,2022-02,12222222.222222222
ES,IE,2022-02,313777777.7777778
ES,IN,2022-02,53444444.44444445
ES,IT,2022-02,306222222.2222222
ES,JP,2022-02,28555555.555555556
ES,LT,2022-02,10888888.888888888
ES,LU,2022-02,116333333.33333333
ES,MT,2022-02,32111111.11111111
ES,NL,2022-02,270111111.11111116
ES,PL,2022-02,53000000.0
ES,PT,2022-02,218888888.8888889
ES,RO,2022-02,25333333.333333332
ES,RU,2022-02,11333333.333333334
ES,SE,2022-02,64555555.55555556
ES,SI,2022-02,3222222.222222222
ES,SK,2022-02,6888888.888888889
ES,UK,2022-02,615333333.3333334
ES,US,2022-02,475555555.5555556
ES,AT,2022-03,40444444.44444444
ES,BE,2022-03,118000000.0
ES,BG,2022-03,14555555.555555556
ES,BR,2022-03,51333333.333333336
ES,CA,2022-03,23666666.666666668
ES,CH,2022-03,361888888.8888889
ES,CN,2022-03,166888888.8888889
ES,CY,2022-03,10888888.888888888
ES,CZ,2022-03,20888888.888888888
ES,DE,2022-03,583666666.6666666
ES,DK,2022-03,69444444.44444445
ES,EE,2022-03,2666666.6666666665
ES,FI,2022-03,14555555.555555556
ES,FR,2022-03,815888888.8888888
ES,GR,2022-03,54555555.55555555
ES,HK,2022-03,47111111.111111104
ES,HR,2022-03,21000000.0
ES,HU,2022-03,15444444.444444442
ES,IE,2022-03,313222222.2222222
ES,IN,2022-03,54555555.55555555
ES,IT,2022-03,353777777.7777778
ES,JP,2022-03,33777777.777777776
ES,LT,2022-03,13111111.111111112
