reporter,partner,TIME_PERIOD,OBS_VALUE
FI,AT,2006-01,5666666.666666667
FI,BE,2006-01,16000000.0
FI,BG,2006-01,333333.3333333333
FI,BR,2006-01,666666.6666666666
FI,CA,2006-01,10333333.333333334
FI,CH,2006-01,17666666.666666668
FI,CN,2006-01,32333333.333333336
FI,CY,2006-01,666666.6666666666
FI,CZ,2006-01,2000000.0
FI,DE,2006-01,84333333.33333333
FI,DK,2006-01,13666666.666666666
FI,EE,2006-01,19333333.333333332
FI,ES,2006-01,14333333.333333334
FI,FR,2006-01,26000000.0
FI,GR,2006-01,1000000.0
FI,HK,2006-01,2000000.0
FI,HR,2006-01,0.0
FI,HU,2006-01,1666666.6666666667
FI,IE,2006-01,5666666.666666667
FI,IN,2006-01,1666666.6666666667
FI,IT,2006-01,11333333.333333334
FI,JP,2006-01,11333333.333333334
FI,LT,2006-01,2000000.0
FI,LU,2006-01,1000000.0
FI,LV,2006-01,2666666.6666666665
FI,MT,2006-01,0.0
FI,NL,2006-01,29333333.333333332
FI,PL,2006-01,3333333.3333333335
FI,PT,2006-01,1000000.0
FI,RO,2006-01,333333.3333333333
FI,RU,2006-01,62000000.0
FI,SE,2006-01,175000000.0
FI,SI,2006-01,333333.3333333333
FI,SK,2006-01,333333.3333333333
FI,UK,2006-01,53333333.333333336
FI,US,2006-01,36000000.0
FI,AT,2006-02,6333333.333333333
FI,BE,2006-02,16111111.11111111
FI,BG,2006-02,222222.22222222225
FI,BR,2006-02,777777.7777777778
FI,CA,2006-02,10444444.444444444
FI,CH,2006-02,18777777.77777778
FI,CN,2006-02,37111111.111111104
FI,CY,2006-02,555555.5555555556
FI,CZ,2006-02,2222222.2222222225
FI,DE,2006-02,81555555.55555555
FI,DK,2006-02,13888888.888888888
FI,EE,2006-02,20777777.77777778
FI,ES,2006-02,14888888.888888888
FI,FR,2006-02,24555555.555555556
FI,GR,2006-02,1111111.1111111112
FI,HK,2006-02,2111111.111111111
FI,HR,2006-02,111111.11111111111
FI,HU,2006-02,1888888.888888889
FI,IE,2006-02,5444444.444444444
FI,IN,2006-02,1777777.7777777778
FI,IT,2006-02,11222222.222222222
FI,JP,2006-02,12777777.777777778
FI,LT,2006-02,2000000.0
FI,LU,2006-02,1222222.222222222
FI,LV,2006-02,3111111.111111111
FI,MT,2006-02,111111.11111111111
FI,NL,2006-02,29444444.444444444
FI,PL,2006-02,4111111.1111111115
FI,PT,2006-02,1000000.0
FI,RO,2006-02,333333.3333333333
FI,RU,2006-02,60666666.666666664
FI,SE,2006-02,174555555.55555555
FI,SI,2006-02,333333.3333333333
FI,SK,2006-02,333333.3333333333
FI,UK,2006-02,54555555.55555555
FI,US,2006-02,38555555.55555556
FI,AT,2006-03,7000000.0
FI,BE,2006-03,16222222.222222222
FI,BG,2006-03,111111.11111111112
FI,BR,2006-03,888888.8888888889
FI,CA,2006-03,10555555.555555556
FI,CH,2006-03,19888888.888888888
FI,CN,2006-03,41888888.888888896
FI,CY,2006-03,444444.4444444445
FI,CZ,2006-03,2444444.444444444
FI,DE,2006-03,78777777.77777779
FI,DK,2006-03,14111111.111111112
FI,EE,2006-03,22222222.222222224
FI,ES,2006-03,15444444.444444444
FI,FR,2006-03,23111111.111111112
FI,GR,2006-03,1222222.222222222
FI,HK,2006-03,2222222.2222222225
FI,HR,2006-03,222222.22222222222
FI,HU,2006-03,2111111.111111111
FI,IE,2006-03,5222222.222222222
FI,IN,2006-03,1888888.888888889
FI,IT,2006-03,11111111.111111112
FI,JP,2006-03,14222222.222222222
FI,LT,2006-03,2000000.0
FI,LU,2006-03,1444444.4444444445
FI,LV,2006-03,3555555.5555555555
FI,MT,2006-03,222222.22222222222
FI,NL,2006-03,29555555.555555556
FI,PL,2006-03,4888888.888888889
FI,PT,2006-03,1000000.0
FI,RO,2006-03,333333.3333333333
FI,RU,2006-03,59333333.333333336
FI,SE,2006-03,174111111.1111111
FI,SI,2006-03,333333.3333333333
FI,SK,2006-03,333333.3333333333
FI,UK,2006-03,55777777.777777776
FI,US,2006-03,41111111.111111104
FI,AT,2006-04,7666666.666666667
FI,BE,2006-04,16333333.333333332
FI,BG,2006-04,0.0
FI,BR,2006-04,1000000.0
FI,CA,2006-04,10666666.666666666
FI,CH,2006-04,21000000.0
FI,CN,2006-04,46666666.666666664
FI,CY,2006-04,333333.3333333333
FI,CZ,2006-04,2666666.6666666665
FI,DE,2006-04,76000000.0
FI,DK,2006-04,14333333.333333334
FI,EE,2006-04,23666666.666666668
FI,ES,2006-04,16000000.0
FI,FR,2006-04,21666666.666666668
FI,GR,2006-04,1333333.3333333333
FI,HK,2006-04,2333333.3333333335
FI,HR,2006-04,333333.3333333333
FI,HU,2006-04,2333333.3333333335
FI,IE,2006-04,5000000.0
FI,IN,2006-04,2000000.0
FI,IT,2006-04,11000000.0
FI,JP,2006-04,15666666.666666666
FI,LT,2006-04,2000000.0
FI,LU,2006-04,1666666.6666666667
FI,LV,2006-04,4000000.0
FI,MT,2006-04,333333.3333333333
FI,NL,2006-04,29666666.666666668
FI,PL,2006-04,5666666.666666667
FI,PT,2006-04,1000000.0
FI,RO,2006-04,333333.3333333333
FI,RU,2006-04,58000000.0
FI,SE,2006-04,173666666.66666666
FI,SI,2006-04,333333.3333333333
FI,SK,2006-04,333333.3333333333
FI,UK,2006-04,57000000.0
FI,US,2006-04,43666666.666666664
FI,AT,2006-05,8000000.0
FI,BE,2006-05,16000000.0
FI,BG,2006-05,111111.11111111111
FI,BR,2006-05,1000000.0
FI,CA,2006-05,11222222.222222222
FI,CH,2006-05,20666666.666666668
