reporter,partner,TIME_PERIOD,OBS_VALUE
FI,AT,2006-01,12000000.0
FI,BE,2006-01,21000000.0
FI,BG,2006-01,333333.3333333333
FI,BR,2006-01,3000000.0
FI,CA,2006-01,14000000.0
FI,CH,2006-01,19000000.0
FI,CN,2006-01,25666666.666666668
FI,CY,2006-01,1000000.0
FI,CZ,2006-01,6333333.333333333
FI,DE,2006-01,117000000.0
FI,DK,2006-01,44666666.666666664
FI,EE,2006-01,30000000.0
FI,ES,2006-01,43000000.0
FI,FR,2006-01,27666666.666666668
FI,GR,2006-01,2000000.0
FI,HK,2006-01,1666666.6666666667
FI,HR,2006-01,0.0
FI,HU,2006-01,29333333.333333332
FI,IE,2006-01,9000000.0
FI,IN,2006-01,10000000.0
FI,IT,2006-01,30666666.666666668
FI,JP,2006-01,18666666.666666668
FI,LT,2006-01,2333333.3333333335
FI,LU,2006-01,3000000.0
FI,LV,2006-01,4000000.0
FI,MT,2006-01,666666.6666666666
FI,NL,2006-01,41333333.333333336
FI,PL,2006-01,6000000.0
FI,PT,2006-01,5666666.666666667
FI,RO,2006-01,666666.6666666666
FI,RU,2006-01,74000000.0
FI,SE,2006-01,148000000.0
FI,SI,2006-01,1000000.0
FI,SK,2006-01,2000000.0
FI,UK,2006-01,109333333.33333333
FI,US,2006-01,145000000.0
FI,AT,2006-02,12444444.444444444
FI,BE,2006-02,20888888.888888888
FI,BG,2006-02,2000000.0
FI,BR,2006-02,2777777.777777778
FI,CA,2006-02,14555555.555555556
FI,CH,2006-02,20444444.444444448
FI,CN,2006-02,28444444.444444444
FI,CY,2006-02,4333333.333333333
FI,CZ,2006-02,6666666.666666667
FI,DE,2006-02,121444444.44444445
FI,DK,2006-02,44000000.0
FI,EE,2006-02,39555555.55555556
FI,ES,2006-02,36222222.222222224
FI,FR,2006-02,30555555.555555556
FI,GR,2006-02,6111111.111111112
FI,HK,2006-02,1777777.7777777778
FI,HR,2006-02,111111.11111111111
FI,HU,2006-02,23222222.222222224
FI,IE,2006-02,9777777.777777776
FI,IN,2006-02,10333333.333333334
FI,IT,2006-02,33000000.0
FI,JP,2006-02,17444444.444444448
FI,LT,2006-02,4333333.333333333
FI,LU,2006-02,2777777.777777778
FI,LV,2006-02,4111111.1111111115
FI,MT,2006-02,777777.7777777778
FI,NL,2006-02,47111111.11111111
FI,PL,2006-02,6888888.888888889
FI,PT,2006-02,5666666.666666667
FI,RO,2006-02,777777.7777777778
FI,RU,2006-02,74444444.44444445
FI,SE,2006-02,153111111.1111111
FI,SI,2006-02,888888.8888888889
FI,SK,2006-02,2000000.0
FI,UK,2006-02,114222222.22222222
FI,US,2006-02,150000000.0
FI,AT,2006-03,12888888.888888888
FI,BE,2006-03,20777777.77777778
FI,BG,2006-03,3666666.6666666665
FI,BR,2006-03,2555555.555555556
FI,CA,2006-03,15111111.111111112
FI,CH,2006-03,21888888.888888888
FI,CN,2006-03,31222222.222222224
FI,CY,2006-03,7666666.666666667
FI,CZ,2006-03,7000000.0
FI,DE,2006-03,125888888.8888889
FI,DK,2006-03,43333333.333333336
FI,EE,2006-03,49111111.11111111
FI,ES,2006-03,29444444.444444448
FI,FR,2006-03,33444444.444444444
FI,GR,2006-03,10222222.222222224
FI,HK,2006-03,1888888.888888889
FI,HR,2006-03,222222.22222222222
FI,HU,2006-03,17111111.111111112
FI,IE,2006-03,10555555.555555556
FI,IN,2006-03,10666666.666666666
FI,IT,2006-03,35333333.333333336
FI,JP,2006-03,16222222.222222222
FI,LT,2006-03,6333333.333333333
FI,LU,2006-03,2555555.555555556
FI,LV,2006-03,4222222.222222222
FI,MT,2006-03,888888.8888888889
FI,NL,2006-03,52888888.88888889
FI,PL,2006-03,7777777.777777778
FI,PT,2006-03,5666666.666666667
FI,RO,2006-03,888888.8888888889
FI,RU,2006-03,74888888.88888888
FI,SE,2006-03,158222222.22222224
FI,SI,2006-03,777777.7777777778
FI,SK,2006-03,2000000.0
FI,UK,2006-03,119111111.1111111
FI,US,2006-03,155000000.0
FI,AT,2006-04,13333333.333333334
FI,BE,2006-04,20666666.666666668
FI,BG,2006-04,5333333.333333333
FI,BR,2006-04,2333333.3333333335
FI,CA,2006-04,15666666.666666666
FI,CH,2006-04,23333333.333333332
FI,CN,2006-04,34000000.0
FI,CY,2006-04,11000000.0
FI,CZ,2006-04,7333333.333333333
FI,DE,2006-04,130333333.33333334
FI,DK,2006-04,42666666.666666664
FI,EE,2006-04,58666666.666666664
FI,ES,2006-04,22666666.666666668
FI,FR,2006-04,36333333.333333336
FI,GR,2006-04,14333333.333333334
FI,HK,2006-04,2000000.0
FI,HR,2006-04,333333.3333333333
FI,HU,2006-04,11000000.0
FI,IE,2006-04,11333333.333333334
FI,IN,2006-04,11000000.0
FI,IT,2006-04,37666666.666666664
FI,JP,2006-04,15000000.0
FI,LT,2006-04,8333333.333333334
FI,LU,2006-04,2333333.3333333335
FI,LV,2006-04,4333333.333333333
