reporter,partner,TIME_PERIOD,OBS_VALUE
FR,AT,2008-01,38000000.0
FR,BE,2008-01,934333333.3333334
FR,BG,2008-01,13333333.333333334
FR,BR,2008-01,130333333.33333334
FR,CA,2008-01,133333333.33333334
FR,CH,2008-01,770333333.3333334
FR,CN,2008-01,236333333.33333334
FR,CY,2008-01,8333333.333333334
FR,CZ,2008-01,56666666.666666664
FR,DE,2008-01,1170333333.3333333
FR,DK,2008-01,75000000.0
FR,EE,2008-01,3000000.0
FR,ES,2008-01,494333333.3333333
FR,FI,2008-01,82666666.66666667
FR,GR,2008-01,51000000.0
FR,HK,2008-01,65333333.33333333
FR,HR,2008-01,7666666.666666667
FR,HU,2008-01,27666666.666666668
FR,IE,2008-01,122000000.0
FR,IN,2008-01,68333333.33333333
FR,IT,2008-01,641000000.0
FR,JP,2008-01,310000000.0
FR,LT,2008-01,5000000.0
FR,LU,2008-01,209000000.0
FR,LV,2008-01,6000000.0
FR,MT,2008-01,9000000.0
FR,NL,2008-01,558333333.3333334
FR,PL,2008-01,101333333.33333333
FR,PT,2008-01,102666666.66666667
FR,RO,2008-01,60000000.0
FR,RU,2008-01,115333333.33333333
FR,SE,2008-01,140666666.66666666
FR,SI,2008-01,7333333.333333333
FR,SK,2008-01,19333333.333333332
FR,UK,2008-01,1658000000.0
FR,US,2008-01,1455333333.3333333
FR,AT,2008-02,61000000.0
FR,BE,2008-02,960777777.7777778
FR,BG,2008-02,13555555.555555556
FR,BR,2008-02,139000000.0
FR,CA,2008-02,163000000.0
FR,CH,2008-02,826777777.7777778
FR,CN,2008-02,250333333.33333334
FR,CY,2008-02,8444444.444444444
FR,CZ,2008-02,60333333.333333336
FR,DE,2008-02,1196333333.3333333
FR,DK,2008-02,81555555.55555555
FR,EE,2008-02,3555555.5555555555
FR,ES,2008-02,496333333.3333333
FR,FI,2008-02,89222222.22222222
FR,GR,2008-02,48666666.666666664
FR,HK,2008-02,63000000.0
FR,HR,2008-02,7888888.888888889
FR,HU,2008-02,27555555.555555556
FR,IE,2008-02,145777777.77777776
FR,IN,2008-02,69777777.77777779
FR,IT,2008-02,661888888.888889
FR,JP,2008-02,317777777.7777778
FR,LT,2008-02,5333333.333333333
FR,LU,2008-02,228555555.55555555
FR,LV,2008-02,6222222.222222222
