reporter,partner,TIME_PERIOD,OBS_VALUE
FR,AT,2008-01,74333333.33333333
FR,BE,2008-01,631000000.0
FR,BG,2008-01,20333333.333333332
FR,BR,2008-01,71666666.66666667
FR,CA,2008-01,128000000.0
FR,CH,2008-01,502000000.0
FR,CN,2008-01,196666666.66666666
FR,CY,2008-01,18000000.0
FR,CZ,2008-01,43000000.0
FR,DE,2008-01,1448666666.6666667
FR,DK,2008-01,59666666.666666664
FR,EE,2008-01,2000000.0
FR,ES,2008-01,553666666.6666666
FR,FI,2008-01,96333333.33333333
FR,GR,2008-01,27000000.0
FR,HK,2008-01,92333333.33333333
FR,HR,2008-01,31000000.0
FR,HU,2008-01,44000000.0
FR,IE,2008-01,269000000.0
FR,IN,2008-01,77333333.33333333
FR,IT,2008-01,557000000.0
FR,JP,2008-01,152000000.0
FR,LT,2008-01,27333333.333333332
FR,LU,2008-01,321333333.3333333
FR,LV,2008-01,4666666.666666667
FR,MT,2008-01,13666666.666666666
FR,NL,2008-01,485333333.3333333
FR,PL,2008-01,110333333.33333333
FR,PT,2008-01,90000000.0
FR,RO,2008-01,56333333.333333336
FR,RU,2008-01,123666666.66666667
FR,SE,2008-01,199000000.0
FR,SI,2008-01,17000000.0
FR,SK,2008-01,26666666.666666668
FR,UK,2008-01,1111333333.3333333
FR,US,2008-01,1038333333.3333333
FR,AT,2008-02,80666666.66666667
FR,BE,2008-02,634777777.7777777
FR,BG,2008-02,21555555.555555556
FR,BR,2008-02,68666666.66666667
FR,CA,2008-02,130888888.88888888
FR,CH,2008-02,533888888.8888889
FR,CN,2008-02,206111111.1111111
FR,CY,2008-02,17666666.666666668
FR,CZ,2008-02,46111111.11111111
FR,DE,2008-02,1442555555.5555556
FR,DK,2008-02,59333333.333333336
FR,EE,2008-02,2000000.0
FR,ES,2008-02,596444444.4444444
FR,FI,2008-02,93777777.77777778
FR,GR,2008-02,55333333.333333336
FR,HK,2008-02,94333333.33333333
FR,HR,2008-02,30777777.777777776
FR,HU,2008-02,44555555.55555555
FR,IE,2008-02,274333333.3333333
FR,IN,2008-02,77222222.22222221
FR,IT,2008-02,621333333.3333334
FR,JP,2008-02,138444444.44444442
FR,LT,2008-02,26666666.666666668
FR,LU,2008-02,310333333.3333333
FR,LV,2008-02,4666666.666666667
FR,MT,2008-02,13222222.222222222
FR,NL,2008-02,499666666.6666667
FR,PL,2008-02,110444444.44444445
FR,PT,2008-02,104777777.77777778
FR,RO,2008-02,57666666.666666664
FR,RU,2008-02,135666666.66666666
FR,SE,2008-02,197000000.0
FR,SI,2008-02,16222222.222222222
FR,SK,2008-02,24444444.444444444
FR,UK,2008-02,1128111111.1111112
FR,US,2008-02,1032666666.6666667
FR,AT,2008-03,87000000.0
FR,BE,2008-03,638555555.5555556
FR,BG,2008-03,22777777.777777776
FR,BR,2008-03,65666666.66666667
FR,CA,2008-03,133777777.77777778
FR,CH,2008-03,565777777.7777777
FR,CN,2008-03,215555555.55555555
FR,CY,2008-03,17333333.333333332
FR,CZ,2008-03,49222222.222222224
FR,DE,2008-03,1436444444.4444444
FR,DK,2008-03,59000000.0
FR,EE,2008-03,2000000.0
FR,ES,2008-03,639222222.2222223
FR,FI,2008-03,91222222.22222222
FR,GR,2008-03,83666666.66666667
FR,HK,2008-03,96333333.33333333
FR,HR,2008-03,30555555.555555556
FR,HU,2008-03,45111111.11111111
FR,IE,2008-03,279666666.6666667
FR,IN,2008-03,77111111.11111112
FR,IT,2008-03,685666666.6666666
FR,JP,2008-03,124888888.8888889
FR,LT,2008-03,26000000.0
FR,LU,2008-03,299333333.3333333
FR,LV,2008-03,4666666.666666667
FR,MT,2008-03,12777777.777777778
FR,NL,2008-03,514000000.0
FR,PL,2008-03,110555555.55555555
FR,PT,2008-03,119555555.55555555
FR,RO,2008-03,59000000.0
FR,RU,2008-03,147666666.66666666
FR,SE,2008-03,195000000.0
FR,SI,2008-03,15444444.444444444
FR,SK,2008-03,22222222.222222224
FR,UK,2008-03,1144888888.8888888
FR,US,2008-03,1027000000.0
FR,AT,2008-04,93333333.33333333
FR,BE,2008-04,642333333.3333334
FR,BG,2008-04,24000000.0
FR,BR,2008-04,62666666.666666664
FR,CA,2008-04,136666666.66666666
FR,CH,2008-04,597666666.6666666
FR,CN,2008-04,225000000.0
FR,CY,2008-04,17000000.0
FR,CZ,2008-04,52333333.333333336
FR,DE,2008-04,1430333333.3333333
FR,DK,2008-04,58666666.666666664
FR,EE,2008-04,2000000.0
FR,ES,2008-04,682000000.0
FR,FI,2008-04,88666666.66666667
FR,GR,2008-04,112000000.0
FR,HK,2008-04,98333333.33333333
FR,HR,2008-04,30333333.333333332
FR,HU,2008-04,45666666.666666664
FR,IE,2008-04,285000000.0
FR,IN,2008-04,77000000.0
FR,IT,2008-04,750000000.0
FR,JP,2008-04,111333333.33333333
FR,LT,2008-04,25333333.333333332
FR,LU,2008-04,288333333.3333333
FR,LV,2008-04,4666666.666666667
FR,MT,2008-04,12333333.333333334
FR,NL,2008-04,528333333.3333334
FR,PL,2008-04,110666666.66666667
FR,PT,2008-04,134333333.33333334
FR,RO,2008-04,60333333.333333336
FR,RU,2008-04,159666666.66666666
FR,SE,2008-04,193000000.0
FR,SI,2008-04,14666666.666666666
FR,SK,2008-04,20000000.0
FR,UK,2008-04,1161666666.6666667
FR,US,2008-04,1021333333.3333334
FR,AT,2008-05,96666666.66666667
