reporter,partner,TIME_PERIOD,OBS_VALUE
GR,BG,2008-01,14333333.333333334
GR,BR,2008-01,3666666.6666666665
GR,CA,2008-01,10000000.0
GR,CH,2008-01,129000000.0
GR,CN,2008-01,9666666.666666666
GR,CZ,2008-01,2333333.3333333335
GR,DK,2008-01,33333333.333333336
GR,HK,2008-01,46666666.666666664
GR,HR,2008-01,333333.3333333333
GR,HU,2008-01,1000000.0
GR,IN,2008-01,4333333.333333333
GR,JP,2008-01,9000000.0
GR,PL,2008-01,6666666.666666667
GR,RO,2008-01,13333333.333333334
GR,RU,2008-01,6666666.666666667
GR,SE,2008-01,8333333.333333334
GR,UK,2008-01,258333333.3333333
GR,US,2008-01,627666666.6666666
GR,BG,2008-02,17333333.333333332
GR,BR,2008-02,4777777.777777778
GR,CA,2008-02,13888888.888888888
GR,CH,2008-02,138666666.66666666
GR,CN,2008-02,9777777.777777776
GR,CZ,2008-02,6888888.888888888
GR,DK,2008-02,38333333.333333336
GR,HK,2008-02,45666666.666666664
GR,HR,2008-02,888888.888888889
GR,HU,2008-02,2111111.111111111
GR,IN,2008-02,4444444.444444445
GR,JP,2008-02,12555555.555555556
GR,PL,2008-02,9777777.777777778
GR,RO,2008-02,17444444.444444448
GR,RU,2008-02,16666666.666666668
GR,SE,2008-02,16333333.333333332
GR,UK,2008-02,322000000.0
GR,US,2008-02,660000000.0
GR,BG,2008-03,20333333.333333332
GR,BR,2008-03,5888888.888888889
GR,CA,2008-03,17777777.777777776
GR,CH,2008-03,148333333.33333334
GR,CN,2008-03,9888888.88888889
GR,CZ,2008-03,11444444.444444442
GR,DK,2008-03,43333333.333333336
GR,HK,2008-03,44666666.666666664
GR,HR,2008-03,1444444.4444444447
GR,HU,2008-03,3222222.222222223
GR,IN,2008-03,4555555.555555555
GR,JP,2008-03,16111111.11111111
GR,PL,2008-03,12888888.888888892
GR,RO,2008-03,21555555.555555556
GR,RU,2008-03,26666666.666666668
GR,SE,2008-03,24333333.333333332
GR,UK,2008-03,385666666.6666667
GR,US,2008-03,692333333.3333334
GR,BG,2008-04,23333333.333333332
GR,BR,2008-04,7000000.0
GR,CA,2008-04,21666666.666666668
GR,CH,2008-04,158000000.0
GR,CN,2008-04,10000000.0
GR,CZ,2008-04,16000000.0
GR,DK,2008-04,48333333.333333336
GR,HK,2008-04,43666666.666666664
GR,HR,2008-04,2000000.0
GR,HU,2008-04,4333333.333333333
GR,IN,2008-04,4666666.666666667
GR,JP,2008-04,19666666.666666668
GR,PL,2008-04,16000000.0
GR,RO,2008-04,25666666.666666668
GR,RU,2008-04,36666666.666666664
GR,SE,2008-04,32333333.333333336
GR,UK,2008-04,449333333.3333333
GR,US,2008-04,724666666.6666666
GR,BG,2008-05,22222222.222222224
GR,BR,2008-05,7000000.0
GR,CA,2008-05,24888888.888888888
GR,CH,2008-05,173444444.44444445
GR,CN,2008-05,11555555.555555556
GR,CZ,2008-05,28000000.0
GR,DK,2008-05,56555555.55555555
GR,HK,2008-05,41555555.55555556
GR,HR,2008-05,2222222.2222222225
GR,HU,2008-05,10111111.11111111
GR,IN,2008-05,6000000.0
GR,JP,2008-05,18777777.77777778
GR,PL,2008-05,26444444.444444444
GR,RO,2008-05,30555555.555555556
GR,RU,2008-05,54888888.88888889
GR,SE,2008-05,38888888.888888896
GR,UK,2008-05,533777777.77777773
GR,US,2008-05,752333333.3333334
GR,BG,2008-06,21111111.111111112
GR,BR,2008-06,7000000.0
GR,CA,2008-06,28111111.111111112
GR,CH,2008-06,188888888.8888889
GR,CN,2008-06,13111111.111111112
GR,CZ,2008-06,40000000.0
GR,DK,2008-06,64777777.77777778
GR,HK,2008-06,39444444.44444444
GR,HR,2008-06,2444444.444444444
GR,HU,2008-06,15888888.888888888
GR,IN,2008-06,7333333.333333333
GR,JP,2008-06,17888888.888888888
GR,PL,2008-06,36888888.88888889
GR,RO,2008-06,35444444.44444444
GR,RU,2008-06,73111111.1111111
GR,SE,2008-06,45444444.44444445
GR,UK,2008-06,618222222.2222223
GR,US,2008-06,780000000.0
GR,BG,2008-07,20000000.0
GR,BR,2008-07,7000000.0
GR,CA,2008-07,31333333.333333332
GR,CH,2008-07,204333333.33333334
GR,CN,2008-07,14666666.666666666
GR,CZ,2008-07,52000000.0
GR,DK,2008-07,73000000.0
GR,HK,2008-07,37333333.333333336
GR,HR,2008-07,2666666.6666666665
GR,HU,2008-07,21666666.666666668
GR,IN,2008-07,8666666.666666666
GR,JP,2008-07,17000000.0
GR,PL,2008-07,47333333.333333336
GR,RO,2008-07,40333333.333333336
GR,RU,2008-07,91333333.33333333
GR,SE,2008-07,52000000.0
GR,UK,2008-07,702666666.6666666
GR,US,2008-07,807666666.6666666
GR,BG,2008-08,18111111.111111112
GR,BR,2008-08,8000000.0
GR,CA,2008-08,24666666.666666668
GR,CH,2008-08,173777777.7777778
GR,CN,2008-08,14555555.555555556
GR,CZ,2008-08,36888888.88888889
GR,DK,2008-08,59333333.333333336
GR,HK,2008-08,35888888.888888896
GR,HR,2008-08,2111111.111111111
GR,HU,2008-08,14888888.888888892
GR,IN,2008-08,9555555.555555556
GR,JP,2008-08,17000000.0
GR,PL,2008-08,34666666.666666664
GR,RO,2008-08,33333333.333333336
GR,RU,2008-08,66555555.55555556
GR,SE,2008-08,40222222.222222224
GR,UK,2008-08,592888888.888889
GR,US,2008-08,751000000.0
GR,BG,2008-09,16222222.222222222
GR,BR,2008-09,9000000.0
GR,CA,2008-09,18000000.0
GR,CH,2008-09,143222222.2222222
GR,CN,2008-09,14444444.444444444
GR,CZ,2008-09,21777777.777777776
GR,DK,2008-09,45666666.666666664
GR,HK,2008-09,34444444.44444444
GR,HR,2008-09,1555555.5555555553
GR,HU,2008-09,8111111.111111113
GR,IN,2008-09,10444444.444444444
GR,JP,2008-09,17000000.0
GR,PL,2008-09,22000000.0
GR,RO,2008-09,26333333.333333332
GR,RU,2008-09,41777777.777777776
GR,SE,2008-09,28444444.444444444
GR,UK,2008-09,483111111.11111116
GR,US,2008-09,694333333.3333334
GR,BG,2008-10,14333333.333333334
GR,BR,2008-10,10000000.0
GR,CA,2008-10,11333333.333333334
GR,CH,2008-10,112666666.66666667
GR,CN,2008-10,14333333.333333334
GR,CZ,2008-10,6666666.666666667
GR,DK,2008-10,32000000.0
GR,HK,2008-10,33000000.0
GR,HR,2008-10,1000000.0
GR,HU,2008-10,1333333.3333333333
GR,IN,2008-10,11333333.333333334
GR,JP,2008-10,17000000.0
GR,PL,2008-10,9333333.333333334
GR,RO,2008-10,19333333.333333332
GR,RU,2008-10,17000000.0
GR,SE,2008-10,16666666.666666668
GR,UK,2008-10,373333333.3333333
GR,US,2008-10,637666666.6666666
GR,BG,2008-11,13111111.111111112
GR,BR,2008-11,7777777.777777778
GR,CA,2008-11,9888888.88888889
GR,CH,2008-11,106888888.8888889
GR,CN,2008-11,14777777.777777778
GR,CZ,2008-11,5000000.0
GR,DK,2008-11,27777777.777777776
GR,HK,2008-11,28333333.333333332
GR,HR,2008-11,1000000.0
GR,HU,2008-11,1444444.4444444445
GR,IN,2008-11,9555555.555555556
GR,JP,2008-11,15444444.444444444
GR,PL,2008-11,7666666.666666667
