reporter,partner,TIME_PERIOD,OBS_VALUE
GR,BG,2008-01,24000000.0
GR,BR,2008-01,2333333.3333333335
GR,CA,2008-01,4666666.666666667
GR,CH,2008-01,27000000.0
GR,CN,2008-01,25000000.0
GR,CZ,2008-01,5333333.333333333
GR,DK,2008-01,13666666.666666666
GR,HK,2008-01,6333333.333333333
GR,HR,2008-01,1333333.3333333333
GR,HU,2008-01,5333333.333333333
GR,IN,2008-01,5000000.0
GR,JP,2008-01,7000000.0
GR,PL,2008-01,6000000.0
GR,RO,2008-01,14000000.0
GR,RU,2008-01,28000000.0
GR,SE,2008-01,7666666.666666667
GR,UK,2008-01,226000000.0
GR,US,2008-01,233333333.33333334
GR,BG,2008-02,23333333.333333332
GR,BR,2008-02,2444444.444444444
GR,CA,2008-02,4555555.555555555
GR,CH,2008-02,27444444.444444444
GR,CN,2008-02,28333333.333333332
GR,CZ,2008-02,6222222.222222222
GR,DK,2008-02,13777777.777777778
GR,HK,2008-02,7888888.888888889
GR,HR,2008-02,1333333.3333333333
GR,HU,2008-02,5666666.666666667
GR,IN,2008-02,4777777.777777778
GR,JP,2008-02,8111111.111111111
GR,PL,2008-02,5888888.888888889
GR,RO,2008-02,14222222.222222222
GR,RU,2008-02,28000000.0
GR,SE,2008-02,8000000.0
GR,UK,2008-02,209777777.7777778
GR,US,2008-02,256777777.77777776
GR,BG,2008-03,22666666.666666668
GR,BR,2008-03,2555555.555555556
GR,CA,2008-03,4444444.444444445
GR,CH,2008-03,27888888.888888888
GR,CN,2008-03,31666666.666666668
GR,CZ,2008-03,7111111.111111111
GR,DK,2008-03,13888888.888888888
GR,HK,2008-03,9444444.444444444
GR,HR,2008-03,1333333.3333333333
GR,HU,2008-03,6000000.0
GR,IN,2008-03,4555555.555555555
GR,JP,2008-03,9222222.222222224
GR,PL,2008-03,5777777.777777778
GR,RO,2008-03,14444444.444444444
GR,RU,2008-03,28000000.0
GR,SE,2008-03,8333333.333333334
GR,UK,2008-03,193555555.55555555
GR,US,2008-03,280222222.2222222
GR,BG,2008-04,22000000.0
GR,BR,2008-04,2666666.6666666665
GR,CA,2008-04,4333333.333333333
GR,CH,2008-04,28333333.333333332
GR,CN,2008-04,35000000.0
GR,CZ,2008-04,8000000.0
GR,DK,2008-04,14000000.0
GR,HK,2008-04,11000000.0
GR,HR,2008-04,1333333.3333333333
GR,HU,2008-04,6333333.333333333
GR,IN,2008-04,4333333.333333333
GR,JP,2008-04,10333333.333333334
GR,PL,2008-04,5666666.666666667
GR,RO,2008-04,14666666.666666666
GR,RU,2008-04,28000000.0
GR,SE,2008-04,8666666.666666666
GR,UK,2008-04,177333333.33333334
GR,US,2008-04,303666666.6666667
GR,BG,2008-05,22111111.111111112
GR,BR,2008-05,3222222.222222222
GR,CA,2008-05,4666666.666666667
GR,CH,2008-05,29555555.555555556
GR,CN,2008-05,35333333.333333336
GR,CZ,2008-05,7333333.333333333
GR,DK,2008-05,14333333.333333334
GR,HK,2008-05,11666666.666666666
GR,HR,2008-05,1555555.5555555555
GR,HU,2008-05,5777777.777777778
GR,IN,2008-05,4222222.222222222
GR,JP,2008-05,9111111.11111111
GR,PL,2008-05,6444444.444444444
GR,RO,2008-05,14888888.888888888
GR,RU,2008-05,30222222.222222224
GR,SE,2008-05,9000000.0
GR,UK,2008-05,177777777.7777778
GR,US,2008-05,294888888.88888884
GR,BG,2008-06,22222222.222222224
GR,BR,2008-06,3777777.777777778
GR,CA,2008-06,5000000.0
GR,CH,2008-06,30777777.777777776
GR,CN,2008-06,35666666.666666664
GR,CZ,2008-06,6666666.666666667
GR,DK,2008-06,14666666.666666666
GR,HK,2008-06,12333333.333333334
GR,HR,2008-06,1777777.7777777778
GR,HU,2008-06,5222222.222222222
GR,IN,2008-06,4111111.1111111115
GR,JP,2008-06,7888888.888888889
GR,PL,2008-06,7222222.222222222
GR,RO,2008-06,15111111.111111112
GR,RU,2008-06,32444444.444444444
GR,SE,2008-06,9333333.333333334
GR,UK,2008-06,178222222.2222222
GR,US,2008-06,286111111.11111116
GR,BG,2008-07,22333333.333333332
GR,BR,2008-07,4333333.333333333
GR,CA,2008-07,5333333.333333333
GR,CH,2008-07,32000000.0
GR,CN,2008-07,36000000.0
GR,CZ,2008-07,6000000.0
GR,DK,2008-07,15000000.0
GR,HK,2008-07,13000000.0
GR,HR,2008-07,2000000.0
GR,HU,2008-07,4666666.666666667
GR,IN,2008-07,4000000.0
GR,JP,2008-07,6666666.666666667
GR,PL,2008-07,8000000.0
GR,RO,2008-07,15333333.333333334
GR,RU,2008-07,34666666.666666664
GR,SE,2008-07,9666666.666666666
GR,UK,2008-07,178666666.66666666
GR,US,2008-07,277333333.3333333
GR,BG,2008-08,23333333.333333332
GR,BR,2008-08,3777777.777777778
GR,CA,2008-08,4888888.888888888
GR,CH,2008-08,31888888.888888888
GR,CN,2008-08,37444444.44444444
GR,CZ,2008-08,6444444.444444444
GR,DK,2008-08,14555555.555555556
GR,HK,2008-08,12000000.0
GR,HR,2008-08,1555555.5555555555
GR,HU,2008-08,4555555.555555555
GR,IN,2008-08,4666666.666666667
GR,JP,2008-08,8444444.444444444
GR,PL,2008-08,7333333.333333333
GR,RO,2008-08,15333333.333333334
GR,RU,2008-08,31333333.333333332
GR,SE,2008-08,10111111.11111111
GR,UK,2008-08,184111111.1111111
GR,US,2008-08,261777777.77777776
GR,BG,2008-09,24333333.333333332
GR,BR,2008-09,3222222.222222222
GR,CA,2008-09,4444444.444444445
GR,CH,2008-09,31777777.777777776
GR,CN,2008-09,38888888.888888896
GR,CZ,2008-09,6888888.888888889
GR,DK,2008-09,14111111.111111112
GR,HK,2008-09,11000000.0
GR,HR,2008-09,1111111.1111111112
GR,HU,2008-09,4444444.444444445
GR,IN,2008-09,5333333.333333333
GR,JP,2008-09,10222222.222222222
GR,PL,2008-09,6666666.666666667
GR,RO,2008-09,15333333.333333334
GR,RU,2008-09,28000000.0
GR,SE,2008-09,10555555.555555556
GR,UK,2008-09,189555555.55555555
GR,US,2008-09,246222222.2222222
GR,BG,2008-10,25333333.333333332
GR,BR,2008-10,2666666.6666666665
GR,CA,2008-10,4000000.0
GR,CH,2008-10,31666666.666666668
GR,CN,2008-10,40333333.333333336
GR,CZ,2008-10,7333333.333333333
GR,DK,2008-10,13666666.666666666
GR,HK,2008-10,10000000.0
GR,HR,2008-10,666666.6666666666
GR,HU,2008-10,4333333.333333333
GR,IN,2008-10,6000000.0
GR,JP,2008-10,12000000.0
GR,PL,2008-10,6000000.0
GR,RO,2008-10,15333333.333333334
GR,RU,2008-10,24666666.666666668
GR,SE,2008-10,11000000.0
GR,UK,2008-10,195000000.0
GR,US,2008-10,230666666.66666666
GR,BG,2008-11,23333333.333333332
GR,BR,2008-11,2777777.777777778
GR,CA,2008-11,3777777.777777778
GR,CH,2008-11,28777777.777777776
GR,CN,2008-11,36333333.333333336
GR,CZ,2008-11,6444444.444444444
GR,DK,2008-11,12222222.222222222
GR,HK,2008-11,8666666.666666666
GR,HR,2008-11,777777.7777777778
