reporter,partner,TIME_PERIOD,OBS_VALUE
HR,AT,2011-01,21000000.0
HR,BE,2011-01,3666666.6666666665
HR,BG,2011-01,666666.6666666666
HR,BR,2011-01,0.0
HR,CA,2011-01,666666.6666666666
HR,CH,2011-01,11666666.666666666
HR,CN,2011-01,333333.3333333333
HR,CY,2011-01,666666.6666666666
HR,CZ,2011-01,2000000.0
HR,DE,2011-01,27000000.0
HR,DK,2011-01,333333.3333333333
HR,EE,2011-01,0.0
HR,ES,2011-01,1000000.0
HR,FI,2011-01,1000000.0
HR,FR,2011-01,4000000.0
HR,GR,2011-01,0.0
HR,HK,2011-01,0.0
HR,HR,2011-01,0.0
HR,HU,2011-01,2666666.6666666665
HR,IE,2011-01,1000000.0
HR,IN,2011-01,333333.3333333333
HR,IT,2011-01,26333333.333333332
HR,JP,2011-01,333333.3333333333
HR,LT,2011-01,0.0
HR,LU,2011-01,333333.3333333333
HR,LV,2011-01,0.0
HR,MT,2011-01,333333.3333333333
HR,NL,2011-01,3666666.6666666665
HR,PL,2011-01,1666666.6666666667
HR,PT,2011-01,333333.3333333333
HR,RO,2011-01,666666.6666666666
HR,RU,2011-01,2666666.6666666665
HR,SE,2011-01,4333333.333333333
HR,SI,2011-01,16666666.666666668
HR,SK,2011-01,1333333.3333333333
HR,UK,2011-01,8000000.0
HR,US,2011-01,4333333.333333333
HR,AT,2011-02,36777777.777777776
HR,BE,2011-02,4777777.777777778
HR,BG,2011-02,777777.7777777778
HR,BR,2011-02,222222.22222222222
HR,CA,2011-02,1111111.111111111
HR,CH,2011-02,15777777.777777778
HR,CN,2011-02,666666.6666666666
HR,CY,2011-02,777777.7777777778
HR,CZ,2011-02,3777777.777777777
HR,DE,2011-02,56555555.55555557
HR,DK,2011-02,777777.7777777776
HR,EE,2011-02,111111.11111111111
HR,ES,2011-02,2444444.444444444
HR,FI,2011-02,1333333.3333333333
HR,FR,2011-02,6888888.888888888
HR,GR,2011-02,444444.44444444444
HR,HK,2011-02,0.0
HR,HR,2011-02,0.0
HR,HU,2011-02,4666666.666666667
HR,IE,2011-02,2000000.0
HR,IN,2011-02,333333.3333333333
HR,IT,2011-02,39333333.333333336
HR,JP,2011-02,777777.7777777776
HR,LT,2011-02,0.0
HR,LU,2011-02,333333.3333333333
HR,LV,2011-02,111111.11111111111
HR,MT,2011-02,222222.22222222225
HR,NL,2011-02,5888888.888888889
HR,PL,2011-02,4444444.444444445
HR,PT,2011-02,555555.5555555555
HR,RO,2011-02,1000000.0
HR,RU,2011-02,7444444.444444446
HR,SE,2011-02,6888888.888888889
HR,SI,2011-02,23000000.0
HR,SK,2011-02,3222222.222222223
HR,UK,2011-02,13666666.666666666
HR,US,2011-02,6222222.222222222
HR,AT,2011-03,52555555.55555557
HR,BE,2011-03,5888888.888888889
HR,BG,2011-03,888888.8888888889
HR,BR,2011-03,444444.44444444444
HR,CA,2011-03,1555555.5555555553
HR,CH,2011-03,19888888.888888888
HR,CN,2011-03,1000000.0
HR,CY,2011-03,888888.8888888889
HR,CZ,2011-03,5555555.555555554
HR,DE,2011-03,86111111.11111113
HR,DK,2011-03,1222222.222222222
HR,EE,2011-03,222222.22222222222
HR,ES,2011-03,3888888.888888889
HR,FI,2011-03,1666666.6666666667
HR,FR,2011-03,9777777.777777776
HR,GR,2011-03,888888.8888888889
HR,HK,2011-03,0.0
HR,HR,2011-03,0.0
HR,HU,2011-03,6666666.666666667
HR,IE,2011-03,3000000.0
HR,IN,2011-03,333333.3333333333
HR,IT,2011-03,52333333.333333336
HR,JP,2011-03,1222222.222222222
HR,LT,2011-03,0.0
HR,LU,2011-03,333333.3333333333
HR,LV,2011-03,222222.22222222222
HR,MT,2011-03,111111.11111111112
HR,NL,2011-03,8111111.111111113
HR,PL,2011-03,7222222.222222222
HR,PT,2011-03,777777.7777777776
HR,RO,2011-03,1333333.3333333333
HR,RU,2011-03,12222222.222222224
HR,SE,2011-03,9444444.444444444
HR,SI,2011-03,29333333.333333332
HR,SK,2011-03,5111111.111111112
HR,UK,2011-03,19333333.333333332
HR,US,2011-03,8111111.111111113
HR,AT,2011-04,68333333.33333333
HR,BE,2011-04,7000000.0
HR,BG,2011-04,1000000.0
HR,BR,2011-04,666666.6666666666
HR,CA,2011-04,2000000.0
HR,CH,2011-04,24000000.0
HR,CN,2011-04,1333333.3333333333
HR,CY,2011-04,1000000.0
HR,CZ,2011-04,7333333.333333333
HR,DE,2011-04,115666666.66666667
HR,DK,2011-04,1666666.6666666667
HR,EE,2011-04,333333.3333333333
HR,ES,2011-04,5333333.333333333
HR,FI,2011-04,2000000.0
HR,FR,2011-04,12666666.666666666
HR,GR,2011-04,1333333.3333333333
HR,HK,2011-04,0.0
HR,HR,2011-04,0.0
HR,HU,2011-04,8666666.666666666
HR,IE,2011-04,4000000.0
HR,IN,2011-04,333333.3333333333
HR,IT,2011-04,65333333.33333333
HR,JP,2011-04,1666666.6666666667
HR,LT,2011-04,0.0
HR,LU,2011-04,333333.3333333333
HR,LV,2011-04,333333.3333333333
HR,MT,2011-04,0.0
HR,NL,2011-04,10333333.333333334
HR,PL,2011-04,10000000.0
HR,PT,2011-04,1000000.0
HR,RO,2011-04,1666666.6666666667
HR,RU,2011-04,17000000.0
HR,SE,2011-04,12000000.0
HR,SI,2011-04,35666666.666666664
