reporter,partner,TIME_PERIOD,OBS_VALUE
HR,AT,2011-01,16333333.333333332
HR,BE,2011-01,2666666.6666666665
HR,BG,2011-01,1000000.0
HR,BR,2011-01,333333.3333333333
HR,CA,2011-01,666666.6666666666
HR,CH,2011-01,5333333.333333333
HR,CN,2011-01,3333333.3333333335
HR,CY,2011-01,333333.3333333333
HR,CZ,2011-01,3333333.3333333335
HR,DE,2011-01,20000000.0
HR,DK,2011-01,2000000.0
HR,EE,2011-01,0.0
HR,ES,2011-01,2666666.6666666665
HR,FI,2011-01,1000000.0
HR,FR,2011-01,7666666.666666667
HR,GR,2011-01,333333.3333333333
HR,HK,2011-01,333333.3333333333
HR,HR,2011-01,0.0
HR,HU,2011-01,5333333.333333333
HR,IE,2011-01,3000000.0
HR,IN,2011-01,666666.6666666666
HR,IT,2011-01,15333333.333333334
HR,JP,2011-01,333333.3333333333
HR,LT,2011-01,0.0
HR,LU,2011-01,333333.3333333333
HR,LV,2011-01,0.0
HR,MT,2011-01,333333.3333333333
HR,NL,2011-01,5666666.666666667
HR,PL,2011-01,1000000.0
HR,PT,2011-01,333333.3333333333
HR,RO,2011-01,666666.6666666666
HR,RU,2011-01,5000000.0
HR,SE,2011-01,3333333.3333333335
HR,SI,2011-01,12333333.333333334
HR,SK,2011-01,1666666.6666666667
HR,UK,2011-01,9000000.0
HR,US,2011-01,9666666.666666666
HR,AT,2011-02,15666666.666666666
HR,BE,2011-02,2666666.6666666665
HR,BG,2011-02,1000000.0
HR,BR,2011-02,333333.3333333333
HR,CA,2011-02,666666.6666666666
HR,CH,2011-02,5333333.333333333
HR,CN,2011-02,3333333.3333333335
HR,CY,2011-02,444444.44444444444
HR,CZ,2011-02,3111111.111111111
HR,DE,2011-02,20888888.888888888
HR,DK,2011-02,1888888.888888889
HR,EE,2011-02,111111.11111111111
HR,ES,2011-02,2444444.444444444
HR,FI,2011-02,888888.8888888889
HR,FR,2011-02,8111111.111111111
HR,GR,2011-02,333333.3333333333
HR,HK,2011-02,222222.22222222225
HR,HR,2011-02,0.0
HR,HU,2011-02,4555555.555555555
HR,IE,2011-02,3444444.4444444445
HR,IN,2011-02,666666.6666666666
HR,IT,2011-02,14888888.888888888
HR,JP,2011-02,333333.3333333333
HR,LT,2011-02,0.0
HR,LU,2011-02,555555.5555555555
HR,LV,2011-02,0.0
HR,MT,2011-02,444444.44444444444
HR,NL,2011-02,5555555.555555556
HR,PL,2011-02,1333333.3333333333
HR,PT,2011-02,333333.3333333333
HR,RO,2011-02,666666.6666666666
HR,RU,2011-02,4555555.555555555
HR,SE,2011-02,3555555.5555555555
HR,SI,2011-02,12444444.444444444
HR,SK,2011-02,1444444.4444444445
HR,UK,2011-02,9111111.11111111
HR,US,2011-02,9222222.222222224
HR,AT,2011-03,15000000.0
HR,BE,2011-03,2666666.6666666665
HR,BG,2011-03,1000000.0
HR,BR,2011-03,333333.3333333333
HR,CA,2011-03,666666.6666666666
HR,CH,2011-03,5333333.333333333
HR,CN,2011-03,3333333.3333333335
HR,CY,2011-03,555555.5555555555
HR,CZ,2011-03,2888888.888888889
HR,DE,2011-03,21777777.777777776
HR,DK,2011-03,1777777.7777777778
HR,EE,2011-03,222222.22222222222
HR,ES,2011-03,2222222.2222222225
HR,FI,2011-03,777777.7777777778
HR,FR,2011-03,8555555.555555556
HR,GR,2011-03,333333.3333333333
HR,HK,2011-03,111111.11111111112
HR,HR,2011-03,0.0
HR,HU,2011-03,3777777.777777777
HR,IE,2011-03,3888888.888888889
HR,IN,2011-03,666666.6666666666
HR,IT,2011-03,14444444.444444444
HR,JP,2011-03,333333.3333333333
HR,LT,2011-03,0.0
HR,LU,2011-03,777777.7777777776
HR,LV,2011-03,0.0
HR,MT,2011-03,555555.5555555555
HR,NL,2011-03,5444444.444444444
HR,PL,2011-03,1666666.6666666667
HR,PT,2011-03,333333.3333333333
HR,RO,2011-03,666666.6666666666
HR,RU,2011-03,4111111.1111111115
HR,SE,2011-03,3777777.777777778
HR,SI,2011-03,12555555.555555556
HR,SK,2011-03,1222222.2222222222
HR,UK,2011-03,9222222.222222224
HR,US,2011-03,8777777.777777776
HR,AT,2011-04,14333333.333333334
HR,BE,2011-04,2666666.6666666665
HR,BG,2011-04,1000000.0
HR,BR,2011-04,333333.3333333333
HR,CA,2011-04,666666.6666666666
HR,CH,2011-04,5333333.333333333
HR,CN,2011-04,3333333.3333333335
HR,CY,2011-04,666666.6666666666
HR,CZ,2011-04,2666666.6666666665
HR,DE,2011-04,22666666.666666668
HR,DK,2011-04,1666666.6666666667
HR,EE,2011-04,333333.3333333333
HR,ES,2011-04,2000000.0
HR,FI,2011-04,666666.6666666666
HR,FR,2011-04,9000000.0
HR,GR,2011-04,333333.3333333333
HR,HK,2011-04,0.0
HR,HR,2011-04,0.0
HR,HU,2011-04,3000000.0
HR,IE,2011-04,4333333.333333333
HR,IN,2011-04,666666.6666666666
HR,IT,2011-04,14000000.0
HR,JP,2011-04,333333.3333333333
HR,LT,2011-04,0.0
HR,LU,2011-04,1000000.0
HR,LV,2011-04,0.0
HR,MT,2011-04,666666.6666666666
HR,NL,2011-04,5333333.333333333
HR,PL,2011-04,2000000.0
HR,PT,2011-04,333333.3333333333
HR,RO,2011-04,666666.6666666666
HR,RU,2011-04,3666666.6666666665
HR,SE,2011-04,4000000.0
HR,SI,2011-04,12666666.666666666
HR,SK,2011-04,1000000.0
HR,UK,2011-04,9333333.333333334
HR,US,2011-04,8333333.333333334
HR,AT,2011-05,14333333.333333334
HR,BE,2011-05,2666666.6666666665
HR,BG,2011-05,1000000.0
HR,BR,2011-05,444444.44444444444
HR,CA,2011-05,777777.7777777778
HR,CH,2011-05,6000000.0
HR,CN,2011-05,3222222.222222222
HR,CY,2011-05,666666.6666666666
HR,CZ,2011-05,2777777.777777778
HR,DE,2011-05,23222222.222222224
HR,DK,2011-05,1777777.7777777778
HR,EE,2011-05,222222.22222222225
HR,ES,2011-05,2333333.3333333335
HR,FI,2011-05,666666.6666666666
HR,FR,2011-05,8777777.777777776
HR,GR,2011-05,333333.3333333333
HR,HK,2011-05,0.0
HR,HR,2011-05,0.0
HR,HU,2011-05,3777777.777777778
HR,IE,2011-05,4000000.0
HR,IN,2011-05,666666.6666666666
HR,IT,2011-05,13555555.555555556
HR,JP,2011-05,444444.44444444444
HR,LT,2011-05,111111.11111111111
HR,LU,2011-05,888888.8888888889
HR,LV,2011-05,0.0
HR,MT,2011-05,555555.5555555556
HR,NL,2011-05,5555555.555555556
HR,PL,2011-05,2000000.0
HR,PT,2011-05,555555.5555555555
HR,RO,2011-05,777777.7777777778
HR,RU,2011-05,3555555.5555555555
HR,SE,2011-05,3777777.777777778
HR,SI,2011-05,12777777.777777778
HR,SK,2011-05,1111111.1111111112
HR,UK,2011-05,9666666.666666666
HR,US,2011-05,8111111.111111111
HR,AT,2011-06,14333333.333333334
HR,BE,2011-06,2666666.6666666665
HR,BG,2011-06,1000000.0
HR,BR,2011-06,555555.5555555555
HR,CA,2011-06,888888.8888888889
HR,CH,2011-06,6666666.666666667
HR,CN,2011-06,3111111.111111111
HR,CY,2011-06,666666.6666666666
