reporter,partner,TIME_PERIOD,OBS_VALUE
IE,AT,2008-01,28666666.666666668
IE,BE,2008-01,99333333.33333333
IE,BG,2008-01,3333333.3333333335
IE,BR,2008-01,19000000.0
IE,CA,2008-01,64000000.0
IE,CH,2008-01,115000000.0
IE,CN,2008-01,111333333.33333333
IE,CY,2008-01,1000000.0
IE,CZ,2008-01,28000000.0
IE,DE,2008-01,453000000.0
IE,DK,2008-01,51000000.0
IE,EE,2008-01,3000000.0
IE,ES,2008-01,155666666.66666666
IE,FI,2008-01,37333333.333333336
IE,FR,2008-01,321000000.0
IE,GR,2008-01,16666666.666666668
IE,HK,2008-01,11000000.0
IE,HR,2008-01,3666666.6666666665
IE,HU,2008-01,23333333.333333332
IE,IN,2008-01,33666666.666666664
IE,IT,2008-01,330000000.0
IE,JP,2008-01,77000000.0
IE,LT,2008-01,5666666.666666667
IE,LU,2008-01,84666666.66666667
IE,LV,2008-01,4333333.333333333
IE,MT,2008-01,666666.6666666666
IE,NL,2008-01,198666666.66666666
IE,PL,2008-01,59333333.333333336
IE,PT,2008-01,34333333.333333336
IE,RO,2008-01,10000000.0
IE,RU,2008-01,82333333.33333333
IE,SE,2008-01,115666666.66666667
IE,SI,2008-01,3333333.3333333335
IE,SK,2008-01,9666666.666666666
IE,UK,2008-01,1100000000.0
IE,US,2008-01,330000000.0
IE,AT,2008-02,28888888.888888888
IE,BE,2008-02,100888888.8888889
IE,BG,2008-02,3333333.3333333335
IE,BR,2008-02,16444444.444444446
IE,CA,2008-02,55111111.11111111
IE,CH,2008-02,119666666.66666667
IE,CN,2008-02,114000000.0
IE,CY,2008-02,1000000.0
IE,CZ,2008-02,28555555.555555556
IE,DE,2008-02,470111111.1111111
IE,DK,2008-02,52555555.55555555
IE,EE,2008-02,3222222.222222222
IE,ES,2008-02,158777777.77777776
IE,FI,2008-02,38777777.777777776
IE,FR,2008-02,328222222.2222222
IE,GR,2008-02,16111111.11111111
IE,HK,2008-02,12222222.222222222
IE,HR,2008-02,3666666.6666666665
IE,HU,2008-02,23111111.111111112
IE,IN,2008-02,32666666.666666664
IE,IT,2008-02,330666666.6666667
IE,JP,2008-02,74000000.0
IE,LT,2008-02,5777777.777777778
IE,LU,2008-02,80000000.0
IE,LV,2008-02,4555555.555555555
IE,MT,2008-02,666666.6666666666
IE,NL,2008-02,201666666.66666666
IE,PL,2008-02,61888888.88888889
IE,PT,2008-02,35888888.888888896
IE,RO,2008-02,10000000.0
IE,RU,2008-02,82666666.66666667
IE,SE,2008-02,115444444.44444445
IE,SI,2008-02,3444444.4444444445
IE,SK,2008-02,9444444.444444444
IE,UK,2008-02,1141555555.5555553
IE,US,2008-02,338555555.5555555
IE,AT,2008-03,29111111.111111112
IE,BE,2008-03,102444444.44444445
IE,BG,2008-03,3333333.3333333335
