reporter,partner,TIME_PERIOD,OBS_VALUE
IE,AT,2008-01,42000000.0
IE,BE,2008-01,114000000.0
IE,BG,2008-01,5666666.666666667
IE,BR,2008-01,11000000.0
IE,CA,2008-01,23666666.666666668
IE,CH,2008-01,86666666.66666667
IE,CN,2008-01,31666666.666666668
IE,CY,2008-01,9666666.666666666
IE,CZ,2008-01,16333333.333333332
IE,DE,2008-01,248666666.66666666
IE,DK,2008-01,24666666.666666668
IE,EE,2008-01,1333333.3333333333
IE,ES,2008-01,144000000.0
IE,FI,2008-01,14000000.0
IE,FR,2008-01,273333333.3333333
IE,GR,2008-01,5666666.666666667
IE,HK,2008-01,11666666.666666666
IE,HR,2008-01,1333333.3333333333
IE,HU,2008-01,9333333.333333334
IE,IN,2008-01,7666666.666666667
IE,IT,2008-01,175333333.33333334
IE,JP,2008-01,42666666.666666664
IE,LT,2008-01,1333333.3333333333
IE,LU,2008-01,309000000.0
IE,LV,2008-01,1333333.3333333333
IE,MT,2008-01,10333333.333333334
IE,NL,2008-01,558333333.3333334
IE,PL,2008-01,23666666.666666668
IE,PT,2008-01,26000000.0
IE,RO,2008-01,3000000.0
IE,RU,2008-01,21666666.666666668
IE,SE,2008-01,42666666.666666664
IE,SI,2008-01,2000000.0
IE,SK,2008-01,11666666.666666666
IE,UK,2008-01,1001666666.6666666
IE,US,2008-01,1821666666.6666667
IE,AT,2008-02,40000000.0
IE,BE,2008-02,123888888.8888889
IE,BG,2008-02,5222222.222222222
IE,BR,2008-02,8666666.666666666
IE,CA,2008-02,24000000.0
IE,CH,2008-02,97444444.44444445
IE,CN,2008-02,33111111.11111111
IE,CY,2008-02,10777777.777777778
IE,CZ,2008-02,14444444.444444444
IE,DE,2008-02,264666666.6666667
IE,DK,2008-02,27111111.111111112
IE,EE,2008-02,1222222.222222222
IE,ES,2008-02,158222222.22222224
IE,FI,2008-02,14111111.111111112
IE,FR,2008-02,290777777.7777778
IE,GR,2008-02,10777777.777777778
IE,HK,2008-02,10555555.555555556
IE,HR,2008-02,3000000.0
IE,HU,2008-02,9555555.555555556
IE,IN,2008-02,8000000.0
IE,IT,2008-02,189444444.44444445
IE,JP,2008-02,43000000.0
IE,LT,2008-02,1555555.5555555555
IE,LU,2008-02,323222222.2222222
IE,LV,2008-02,1444444.4444444445
IE,MT,2008-02,10666666.666666666
IE,NL,2008-02,563555555.5555556
IE,PL,2008-02,24666666.666666668
IE,PT,2008-02,38222222.222222224
IE,RO,2008-02,3222222.222222222
IE,RU,2008-02,24222222.222222224
IE,SE,2008-02,41333333.333333336
IE,SI,2008-02,2444444.444444444
IE,SK,2008-02,8777777.777777778
IE,UK,2008-02,1016333333.3333334
IE,US,2008-02,1746888888.8888888
IE,AT,2008-03,38000000.0
IE,BE,2008-03,133777777.77777778
IE,BG,2008-03,4777777.777777778
IE,BR,2008-03,6333333.333333333
IE,CA,2008-03,24333333.333333332
IE,CH,2008-03,108222222.22222222
IE,CN,2008-03,34555555.55555556
IE,CY,2008-03,11888888.888888888
IE,CZ,2008-03,12555555.555555556
IE,DE,2008-03,280666666.6666667
IE,DK,2008-03,29555555.555555556
IE,EE,2008-03,1111111.1111111112
IE,ES,2008-03,172444444.44444445
IE,FI,2008-03,14222222.222222222
IE,FR,2008-03,308222222.2222222
IE,GR,2008-03,15888888.888888892
IE,HK,2008-03,9444444.444444444
IE,HR,2008-03,4666666.666666667
IE,HU,2008-03,9777777.777777776
IE,IN,2008-03,8333333.333333334
IE,IT,2008-03,203555555.55555555
IE,JP,2008-03,43333333.333333336
IE,LT,2008-03,1777777.7777777778
IE,LU,2008-03,337444444.4444445
IE,LV,2008-03,1555555.5555555555
IE,MT,2008-03,11000000.0
IE,NL,2008-03,568777777.7777777
IE,PL,2008-03,25666666.666666668
IE,PT,2008-03,50444444.44444443
IE,RO,2008-03,3444444.4444444445
IE,RU,2008-03,26777777.777777776
IE,SE,2008-03,40000000.0
IE,SI,2008-03,2888888.888888889
IE,SK,2008-03,5888888.888888889
IE,UK,2008-03,1031000000.0
IE,US,2008-03,1672111111.1111112
IE,AT,2008-04,36000000.0
IE,BE,2008-04,143666666.66666666
IE,BG,2008-04,4333333.333333333
IE,BR,2008-04,4000000.0
IE,CA,2008-04,24666666.666666668
IE,CH,2008-04,119000000.0
IE,CN,2008-04,36000000.0
IE,CY,2008-04,13000000.0
IE,CZ,2008-04,10666666.666666666
IE,DE,2008-04,296666666.6666667
IE,DK,2008-04,32000000.0
IE,EE,2008-04,1000000.0
IE,ES,2008-04,186666666.66666666
IE,FI,2008-04,14333333.333333334
IE,FR,2008-04,325666666.6666667
IE,GR,2008-04,21000000.0
IE,HK,2008-04,8333333.333333334
IE,HR,2008-04,6333333.333333333
IE,HU,2008-04,10000000.0
IE,IN,2008-04,8666666.666666666
IE,IT,2008-04,217666666.66666666
IE,JP,2008-04,43666666.666666664
IE,LT,2008-04,2000000.0
IE,LU,2008-04,351666666.6666667
IE,LV,2008-04,1666666.6666666667
IE,MT,2008-04,11333333.333333334
IE,NL,2008-04,574000000.0
IE,PL,2008-04,26666666.666666668
IE,PT,2008-04,62666666.666666664
IE,RO,2008-04,3666666.6666666665
IE,RU,2008-04,29333333.333333332
IE,SE,2008-04,38666666.666666664
IE,SI,2008-04,3333333.3333333335
IE,SK,2008-04,3000000.0
IE,UK,2008-04,1045666666.6666667
IE,US,2008-04,1597333333.3333333
IE,AT,2008-05,32444444.444444444
IE,BE,2008-05,131888888.88888888
IE,BG,2008-05,6444444.444444444
IE,BR,2008-05,4444444.444444445
IE,CA,2008-05,21666666.666666668
IE,CH,2008-05,118555555.55555555
IE,CN,2008-05,33777777.777777776
IE,CY,2008-05,13222222.222222222
IE,CZ,2008-05,10777777.777777778
IE,DE,2008-05,278777777.7777778
IE,DK,2008-05,28333333.333333332
IE,EE,2008-05,1444444.4444444445
IE,ES,2008-05,203000000.0
IE,FI,2008-05,13000000.0
IE,FR,2008-05,324111111.11111116
IE,GR,2008-05,21222222.22222222
IE,HK,2008-05,8666666.666666666
IE,HR,2008-05,7333333.333333333
IE,HU,2008-05,9555555.555555556
IE,IN,2008-05,9777777.777777776
IE,IT,2008-05,216222222.2222222
IE,JP,2008-05,41777777.777777776
IE,LT,2008-05,1666666.6666666667
IE,LU,2008-05,353444444.4444444
IE,LV,2008-05,1333333.3333333333
IE,MT,2008-05,11444444.444444444
IE,NL,2008-05,570333333.3333334
IE,PL,2008-05,28222222.222222224
IE,PT,2008-05,68111111.11111112
IE,RO,2008-05,3111111.111111111
IE,RU,2008-05,24777777.777777776
IE,SE,2008-05,34666666.666666664
IE,SI,2008-05,3000000.0
IE,SK,2008-05,2888888.888888889
IE,UK,2008-05,1022666666.6666666
IE,US,2008-05,1675555555.5555556
IE,AT,2008-06,28888888.888888888
IE,BE,2008-06,120111111.1111111
IE,BG,2008-06,8555555.555555556
IE,BR,2008-06,4888888.888888888
IE,CA,2008-06,18666666.666666668
IE,CH,2008-06,118111111.1111111
IE,CN,2008-06,31555555.555555556
IE,CY,2008-06,13444444.444444444
IE,CZ,2008-06,10888888.888888888
IE,DE,2008-06,260888888.88888887
IE,DK,2008-06,24666666.666666668
IE,EE,2008-06,1888888.8888888885
IE,ES,2008-06,219333333.33333334
IE,FI,2008-06,11666666.666666666
IE,FR,2008-06,322555555.5555555
IE,GR,2008-06,21444444.444444444
IE,HK,2008-06,9000000.0
IE,HR,2008-06,8333333.333333334
IE,HU,2008-06,9111111.11111111
IE,IN,2008-06,10888888.888888888
IE,IT,2008-06,214777777.7777778
IE,JP,2008-06,39888888.888888896
IE,LT,2008-06,1333333.3333333333
IE,LU,2008-06,355222222.2222222
IE,LV,2008-06,1000000.0
IE,MT,2008-06,11555555.555555556
IE,NL,2008-06,566666666.6666666
IE,PL,2008-06,29777777.777777776
IE,PT,2008-06,73555555.55555555
IE,RO,2008-06,2555555.5555555555
IE,RU,2008-06,20222222.222222224
IE,SE,2008-06,30666666.666666668
IE,SI,2008-06,2666666.6666666665
IE,SK,2008-06,2777777.777777778
IE,UK,2008-06,999666666.6666666
IE,US,2008-06,1753777777.7777777
IE,AT,2008-07,25333333.333333332
IE,BE,2008-07,108333333.33333333
IE,BG,2008-07,10666666.666666666
IE,BR,2008-07,5333333.333333333
IE,CA,2008-07,15666666.666666666
IE,CH,2008-07,117666666.66666667
IE,CN,2008-07,29333333.333333332
IE,CY,2008-07,13666666.666666666
IE,CZ,2008-07,11000000.0
IE,DE,2008-07,243000000.0
IE,DK,2008-07,21000000.0
IE,EE,2008-07,2333333.3333333335
IE,ES,2008-07,235666666.66666666
IE,FI,2008-07,10333333.333333334
IE,FR,2008-07,321000000.0
