reporter,partner,TIME_PERIOD,OBS_VALUE
IS,BE,2013-01,3133333.3333333335
IS,CA,2013-01,3866666.6666666665
IS,CH,2013-01,15666666.666666666
IS,DE,2013-01,7833333.333333333
IS,DK,2013-01,17333333.333333332
IS,ES,2013-01,1266666.6666666665
IS,FR,2013-01,3233333.333333333
IS,IE,2013-01,433333.3333333334
IS,IT,2013-01,1233333.3333333335
IS,NL,2013-01,4800000.0
IS,SE,2013-01,10200000.000000002
IS,UK,2013-01,16800000.0
IS,US,2013-01,15733333.333333334
IS,BE,2013-02,3544444.4444444445
IS,CA,2013-02,5277777.777777778
IS,CH,2013-02,16455555.555555556
IS,DE,2013-02,10155555.555555554
IS,DK,2013-02,19688888.88888889
IS,ES,2013-02,1677777.7777777778
IS,FR,2013-02,4955555.555555556
IS,IE,2013-02,477777.7777777778
IS,IT,2013-02,1700000.0000000002
IS,NL,2013-02,5566666.666666666
IS,SE,2013-02,11822222.222222222
IS,UK,2013-02,17433333.333333332
IS,US,2013-02,23400000.000000004
IS,BE,2013-03,3955555.5555555555
IS,CA,2013-03,6688888.888888889
IS,CH,2013-03,17244444.444444444
IS,DE,2013-03,12477777.777777776
IS,DK,2013-03,22044444.444444448
IS,ES,2013-03,2088888.888888889
IS,FR,2013-03,6677777.777777777
IS,IE,2013-03,522222.22222222225
IS,IT,2013-03,2166666.6666666665
IS,NL,2013-03,6333333.333333333
IS,SE,2013-03,13444444.444444444
IS,UK,2013-03,18066666.666666668
IS,US,2013-03,31066666.666666668
IS,BE,2013-04,4366666.666666666
IS,CA,2013-04,8100000.0
IS,CH,2013-04,18033333.333333336
IS,DE,2013-04,14799999.999999998
IS,DK,2013-04,24400000.000000004
IS,ES,2013-04,2500000.0
IS,FR,2013-04,8400000.0
IS,IE,2013-04,566666.6666666666
IS,IT,2013-04,2633333.3333333335
IS,NL,2013-04,7100000.000000001
IS,SE,2013-04,15066666.666666668
IS,UK,2013-04,18700000.0
IS,US,2013-04,38733333.333333336
IS,BE,2013-05,4844444.444444444
IS,CA,2013-05,8733333.333333332
IS,CH,2013-05,19100000.0
IS,DE,2013-05,17900000.0
IS,DK,2013-05,27099999.999999996
IS,ES,2013-05,3500000.0
IS,FR,2013-05,10366666.666666666
IS,IE,2013-05,588888.8888888889
IS,IT,2013-05,3655555.5555555555
IS,NL,2013-05,7822222.222222223
IS,SE,2013-05,15688888.88888889
IS,UK,2013-05,19888888.888888888
IS,US,2013-05,41844444.44444444
IS,BE,2013-06,5322222.222222222
IS,CA,2013-06,9366666.666666668
IS,CH,2013-06,20166666.666666668
IS,DE,2013-06,21000000.0
IS,DK,2013-06,29800000.0
IS,ES,2013-06,4500000.0
IS,FR,2013-06,12333333.333333334
IS,IE,2013-06,611111.111111111
IS,IT,2013-06,4677777.777777778
IS,NL,2013-06,8544444.444444444
IS,SE,2013-06,16311111.11111111
IS,UK,2013-06,21077777.77777778
IS,US,2013-06,44955555.55555555
IS,BE,2013-07,5800000.0
IS,CA,2013-07,10000000.0
IS,CH,2013-07,21233333.333333336
IS,DE,2013-07,24099999.999999996
IS,DK,2013-07,32500000.0
IS,ES,2013-07,5500000.0
IS,FR,2013-07,14299999.999999998
IS,IE,2013-07,633333.3333333333
IS,IT,2013-07,5700000.0
IS,NL,2013-07,9266666.666666668
IS,SE,2013-07,16933333.333333332
IS,UK,2013-07,22266666.666666664
IS,US,2013-07,48066666.666666664
IS,BE,2013-08,4922222.222222222
IS,CA,2013-08,8922222.222222222
IS,CH,2013-08,19355555.55555556
IS,DE,2013-08,19077777.77777778
IS,DK,2013-08,27833333.333333332
IS,ES,2013-08,4233333.333333333
IS,FR,2013-08,11155555.555555556
IS,IE,2013-08,700000.0000000001
IS,IT,2013-08,4200000.0
IS,NL,2013-08,8088888.888888889
IS,SE,2013-08,15622222.222222222
IS,UK,2013-08,22233333.333333336
IS,US,2013-08,44722222.222222224
IS,BE,2013-09,4044444.4444444445
IS,CA,2013-09,7844444.444444445
IS,CH,2013-09,17477777.777777776
IS,DE,2013-09,14055555.555555558
IS,DK,2013-09,23166666.666666668
IS,ES,2013-09,2966666.6666666665
IS,FR,2013-09,8011111.111111111
IS,IE,2013-09,766666.6666666666
IS,IT,2013-09,2699999.9999999995
IS,NL,2013-09,6911111.111111111
IS,SE,2013-09,14311111.11111111
IS,UK,2013-09,22200000.0
IS,US,2013-09,41377777.777777776
IS,BE,2013-10,3166666.6666666665
IS,CA,2013-10,6766666.666666667
IS,CH,2013-10,15600000.0
IS,DE,2013-10,9033333.333333334
IS,DK,2013-10,18500000.0
