reporter,partner,TIME_PERIOD,OBS_VALUE
IS,BE,2013-01,2366666.6666666665
IS,CA,2013-01,1666666.6666666667
IS,CH,2013-01,1300000.0
IS,DE,2013-01,7500000.0
IS,DK,2013-01,21300000.0
IS,ES,2013-01,4666666.666666667
IS,FR,2013-01,2833333.3333333335
IS,IE,2013-01,3833333.3333333335
IS,IT,2013-01,1400000.0000000002
IS,NL,2013-01,9700000.000000002
IS,SE,2013-01,4899999.999999999
IS,UK,2013-01,22300000.0
IS,US,2013-01,28166666.666666668
IS,BE,2013-02,2622222.222222222
IS,CA,2013-02,1822222.2222222222
IS,CH,2013-02,1688888.888888889
IS,DE,2013-02,7544444.444444444
IS,DK,2013-02,23333333.333333332
IS,ES,2013-02,5488888.888888888
IS,FR,2013-02,3022222.222222222
IS,IE,2013-02,4144444.444444445
IS,IT,2013-02,1533333.3333333335
IS,NL,2013-02,10177777.77777778
IS,SE,2013-02,5577777.777777778
IS,UK,2013-02,23411111.111111112
IS,US,2013-02,29677777.777777776
IS,BE,2013-03,2877777.777777778
IS,CA,2013-03,1977777.7777777778
IS,CH,2013-03,2077777.777777778
IS,DE,2013-03,7588888.888888889
IS,DK,2013-03,25366666.666666664
IS,ES,2013-03,6311111.111111111
IS,FR,2013-03,3211111.111111111
IS,IE,2013-03,4455555.555555556
IS,IT,2013-03,1666666.6666666667
IS,NL,2013-03,10655555.555555554
IS,SE,2013-03,6255555.555555556
IS,UK,2013-03,24522222.222222224
IS,US,2013-03,31188888.888888888
IS,BE,2013-04,3133333.3333333335
IS,CA,2013-04,2133333.3333333335
IS,CH,2013-04,2466666.666666667
IS,DE,2013-04,7633333.333333333
IS,DK,2013-04,27400000.000000004
IS,ES,2013-04,7133333.333333333
IS,FR,2013-04,3400000.0
IS,IE,2013-04,4766666.666666667
IS,IT,2013-04,1800000.0
IS,NL,2013-04,11133333.333333332
IS,SE,2013-04,6933333.333333334
IS,UK,2013-04,25633333.333333336
IS,US,2013-04,32699999.999999996
IS,BE,2013-05,3188888.8888888885
IS,CA,2013-05,2222222.2222222225
IS,CH,2013-05,2000000.0
IS,DE,2013-05,8011111.111111111
IS,DK,2013-05,28566666.666666668
IS,ES,2013-05,8666666.666666666
IS,FR,2013-05,3644444.4444444445
IS,IE,2013-05,4455555.555555556
IS,IT,2013-05,1900000.0000000002
IS,NL,2013-05,11666666.666666666
IS,SE,2013-05,6544444.444444444
IS,UK,2013-05,25333333.333333332
IS,US,2013-05,32400000.0
IS,BE,2013-06,3244444.444444445
IS,CA,2013-06,2311111.1111111115
IS,CH,2013-06,1533333.3333333333
IS,DE,2013-06,8388888.88888889
IS,DK,2013-06,29733333.333333336
IS,ES,2013-06,10200000.000000002
IS,FR,2013-06,3888888.888888889
IS,IE,2013-06,4144444.444444445
IS,IT,2013-06,2000000.0
IS,NL,2013-06,12200000.000000002
IS,SE,2013-06,6155555.555555556
IS,UK,2013-06,25033333.333333336
IS,US,2013-06,32100000.0
IS,BE,2013-07,3300000.0000000005
IS,CA,2013-07,2400000.0
IS,CH,2013-07,1066666.6666666667
IS,DE,2013-07,8766666.666666668
IS,DK,2013-07,30900000.000000004
IS,ES,2013-07,11733333.333333334
IS,FR,2013-07,4133333.333333334
IS,IE,2013-07,3833333.3333333335
IS,IT,2013-07,2100000.0
IS,NL,2013-07,12733333.333333334
IS,SE,2013-07,5766666.666666667
IS,UK,2013-07,24733333.333333336
IS,US,2013-07,31800000.0
IS,BE,2013-08,3166666.6666666665
IS,CA,2013-08,2388888.888888889
IS,CH,2013-08,2722222.222222223
IS,DE,2013-08,8633333.333333334
IS,DK,2013-08,28611111.111111112
IS,ES,2013-08,9744444.444444446
IS,FR,2013-08,3800000.0000000005
IS,IE,2013-08,4111111.1111111115
IS,IT,2013-08,1888888.888888889
IS,NL,2013-08,13766666.666666668
IS,SE,2013-08,5955555.555555556
IS,UK,2013-08,25911111.111111112
IS,US,2013-08,34822222.222222224
IS,BE,2013-09,3033333.333333333
IS,CA,2013-09,2377777.777777778
IS,CH,2013-09,4377777.777777779
IS,DE,2013-09,8500000.0
IS,DK,2013-09,26322222.222222224
IS,ES,2013-09,7755555.555555556
IS,FR,2013-09,3466666.666666667
IS,IE,2013-09,4388888.888888888
IS,IT,2013-09,1677777.7777777778
IS,NL,2013-09,14799999.999999998
IS,SE,2013-09,6144444.444444445
IS,UK,2013-09,27088888.888888888
IS,US,2013-09,37844444.44444444
IS,BE,2013-10,2900000.0
IS,CA,2013-10,2366666.6666666665
