reporter,partner,TIME_PERIOD,OBS_VALUE
IT,AT,2008-01,142666666.66666666
IT,BE,2008-01,179666666.66666666
IT,BG,2008-01,13333333.333333334
IT,BR,2008-01,75666666.66666667
IT,CA,2008-01,44000000.0
IT,CH,2008-01,446000000.0
IT,CN,2008-01,40666666.666666664
IT,CY,2008-01,4666666.666666667
IT,CZ,2008-01,46666666.666666664
IT,DE,2008-01,620666666.6666666
IT,DK,2008-01,34000000.0
IT,EE,2008-01,3666666.6666666665
IT,ES,2008-01,238333333.33333334
IT,FI,2008-01,21333333.333333332
IT,FR,2008-01,811666666.6666666
IT,GR,2008-01,52666666.666666664
IT,HK,2008-01,17666666.666666668
IT,HR,2008-01,16333333.333333332
IT,HU,2008-01,47666666.666666664
IT,IE,2008-01,67000000.0
IT,IN,2008-01,39333333.333333336
IT,JP,2008-01,99000000.0
IT,LT,2008-01,6000000.0
IT,LU,2008-01,62000000.0
IT,LV,2008-01,5666666.666666667
IT,MT,2008-01,9000000.0
IT,NL,2008-01,175333333.33333334
IT,PL,2008-01,90333333.33333333
IT,PT,2008-01,32333333.333333336
IT,RO,2008-01,80666666.66666667
IT,RU,2008-01,63333333.333333336
IT,SE,2008-01,45666666.666666664
IT,SI,2008-01,34000000.0
IT,SK,2008-01,22333333.333333332
IT,UK,2008-01,503666666.6666667
IT,US,2008-01,416000000.0
IT,AT,2008-02,170888888.8888889
IT,BE,2008-02,180333333.33333334
IT,BG,2008-02,15888888.888888888
IT,BR,2008-02,108777777.77777778
IT,CA,2008-02,55777777.777777776
IT,CH,2008-02,505000000.0
IT,CN,2008-02,42333333.333333336
IT,CY,2008-02,5000000.0
IT,CZ,2008-02,50222222.222222224
IT,DE,2008-02,693555555.5555556
IT,DK,2008-02,36555555.55555556
IT,EE,2008-02,3444444.4444444445
IT,ES,2008-02,250333333.33333334
IT,FI,2008-02,26333333.333333332
IT,FR,2008-02,775444444.4444444
IT,GR,2008-02,55000000.0
IT,HK,2008-02,26000000.0
IT,HR,2008-02,19777777.77777778
IT,HU,2008-02,53888888.88888889
IT,IE,2008-02,81111111.11111112
IT,IN,2008-02,44555555.55555555
IT,JP,2008-02,91111111.1111111
IT,LT,2008-02,7000000.0
IT,LU,2008-02,67444444.44444445
IT,LV,2008-02,4555555.555555555
IT,MT,2008-02,9000000.0
IT,NL,2008-02,202888888.8888889
IT,PL,2008-02,94666666.66666667
IT,PT,2008-02,31888888.888888888
IT,RO,2008-02,79555555.55555555
IT,RU,2008-02,71777777.77777779
IT,SE,2008-02,53444444.44444445
IT,SI,2008-02,31444444.444444444
IT,SK,2008-02,25888888.888888888
IT,UK,2008-02,554444444.4444444
IT,US,2008-02,474666666.6666667
IT,AT,2008-03,199111111.1111111
IT,BE,2008-03,181000000.0
IT,BG,2008-03,18444444.444444448
IT,BR,2008-03,141888888.8888889
IT,CA,2008-03,67555555.55555555
IT,CH,2008-03,564000000.0
IT,CN,2008-03,44000000.0
IT,CY,2008-03,5333333.333333333
IT,CZ,2008-03,53777777.777777776
IT,DE,2008-03,766444444.4444444
IT,DK,2008-03,39111111.111111104
IT,EE,2008-03,3222222.222222222
IT,ES,2008-03,262333333.3333333
IT,FI,2008-03,31333333.333333332
IT,FR,2008-03,739222222.2222222
IT,GR,2008-03,57333333.333333336
IT,HK,2008-03,34333333.333333336
IT,HR,2008-03,23222222.222222224
IT,HU,2008-03,60111111.11111111
IT,IE,2008-03,95222222.22222222
IT,IN,2008-03,49777777.777777776
IT,JP,2008-03,83222222.22222221
IT,LT,2008-03,8000000.0
IT,LU,2008-03,72888888.88888888
IT,LV,2008-03,3444444.444444444
IT,MT,2008-03,9000000.0
IT,NL,2008-03,230444444.44444445
IT,PL,2008-03,99000000.0
IT,PT,2008-03,31444444.444444444
IT,RO,2008-03,78444444.44444445
IT,RU,2008-03,80222222.22222221
IT,SE,2008-03,61222222.222222224
IT,SI,2008-03,28888888.888888888
IT,SK,2008-03,29444444.444444444
IT,UK,2008-03,605222222.2222223
IT,US,2008-03,533333333.3333334
IT,AT,2008-04,227333333.33333334
IT,BE,2008-04,181666666.66666666
IT,BG,2008-04,21000000.0
IT,BR,2008-04,175000000.0
IT,CA,2008-04,79333333.33333333
IT,CH,2008-04,623000000.0
IT,CN,2008-04,45666666.666666664
IT,CY,2008-04,5666666.666666667
IT,CZ,2008-04,57333333.333333336
IT,DE,2008-04,839333333.3333334
IT,DK,2008-04,41666666.666666664
IT,EE,2008-04,3000000.0
IT,ES,2008-04,274333333.3333333
IT,FI,2008-04,36333333.333333336
IT,FR,2008-04,703000000.0
IT,GR,2008-04,59666666.666666664
IT,HK,2008-04,42666666.666666664
IT,HR,2008-04,26666666.666666668
IT,HU,2008-04,66333333.33333333
IT,IE,2008-04,109333333.33333333
IT,IN,2008-04,55000000.0
IT,JP,2008-04,75333333.33333333
IT,LT,2008-04,9000000.0
IT,LU,2008-04,78333333.33333333
IT,LV,2008-04,2333333.3333333335
IT,MT,2008-04,9000000.0
IT,NL,2008-04,258000000.0
IT,PL,2008-04,103333333.33333333
IT,PT,2008-04,31000000.0
IT,RO,2008-04,77333333.33333333
IT,RU,2008-04,88666666.66666667
IT,SE,2008-04,69000000.0
IT,SI,2008-04,26333333.333333332
IT,SK,2008-04,33000000.0
IT,UK,2008-04,656000000.0
IT,US,2008-04,592000000.0
IT,AT,2008-05,224555555.55555555
IT,BE,2008-05,196000000.0
IT,BG,2008-05,19222222.22222222
IT,BR,2008-05,152000000.0
IT,CA,2008-05,84666666.66666667
IT,CH,2008-05,614222222.2222223
IT,CN,2008-05,44555555.55555555
IT,CY,2008-05,6222222.222222222
IT,CZ,2008-05,62444444.44444445
IT,DE,2008-05,912000000.0
IT,DK,2008-05,48000000.0
IT,EE,2008-05,3666666.6666666665
IT,ES,2008-05,278333333.3333333
IT,FI,2008-05,33444444.444444444
IT,FR,2008-05,724666666.6666666
IT,GR,2008-05,63444444.44444445
IT,HK,2008-05,35000000.0
IT,HR,2008-05,24333333.333333332
IT,HU,2008-05,72444444.44444445
IT,IE,2008-05,122111111.1111111
IT,IN,2008-05,48000000.0
IT,JP,2008-05,74222222.22222221
IT,LT,2008-05,9333333.333333334
IT,LU,2008-05,73333333.33333333
IT,LV,2008-05,2333333.3333333335
IT,MT,2008-05,10888888.888888888
IT,NL,2008-05,296666666.6666667
IT,PL,2008-05,123888888.8888889
IT,PT,2008-05,30444444.444444444
IT,RO,2008-05,78555555.55555555
IT,RU,2008-05,97666666.66666667
IT,SE,2008-05,68111111.11111112
IT,SI,2008-05,28444444.444444444
IT,SK,2008-05,33000000.0
IT,UK,2008-05,679444444.4444444
IT,US,2008-05,596444444.4444444
IT,AT,2008-06,221777777.7777778
IT,BE,2008-06,210333333.33333334
IT,BG,2008-06,17444444.444444448
IT,BR,2008-06,129000000.0
IT,CA,2008-06,90000000.0
IT,CH,2008-06,605444444.4444444
IT,CN,2008-06,43444444.44444445
IT,CY,2008-06,6777777.777777778
IT,CZ,2008-06,67555555.55555555
IT,DE,2008-06,984666666.6666666
IT,DK,2008-06,54333333.333333336
