reporter,partner,TIME_PERIOD,OBS_VALUE
IT,AT,2008-01,202666666.66666666
IT,BE,2008-01,168333333.33333334
IT,BG,2008-01,25333333.333333332
IT,BR,2008-01,72333333.33333333
IT,CA,2008-01,32666666.666666664
IT,CH,2008-01,393333333.3333333
IT,CN,2008-01,74666666.66666667
IT,CY,2008-01,5000000.0
IT,CZ,2008-01,49666666.666666664
IT,DE,2008-01,609333333.3333334
IT,DK,2008-01,55333333.333333336
IT,EE,2008-01,2666666.6666666665
IT,ES,2008-01,241666666.66666666
IT,FI,2008-01,56000000.0
IT,FR,2008-01,610000000.0
IT,GR,2008-01,105000000.0
IT,HK,2008-01,34666666.666666664
IT,HR,2008-01,35333333.333333336
IT,HU,2008-01,48666666.666666664
IT,IE,2008-01,181666666.66666666
IT,IN,2008-01,36000000.0
IT,JP,2008-01,335333333.3333333
IT,LT,2008-01,10000000.0
IT,LU,2008-01,273666666.6666667
IT,LV,2008-01,6000000.0
IT,MT,2008-01,8333333.333333334
IT,NL,2008-01,239000000.0
IT,PL,2008-01,75666666.66666667
IT,PT,2008-01,38000000.0
IT,RO,2008-01,143000000.0
IT,RU,2008-01,45333333.333333336
IT,SE,2008-01,36000000.0
IT,SI,2008-01,54000000.0
IT,SK,2008-01,21666666.666666668
IT,UK,2008-01,426333333.3333333
IT,US,2008-01,680666666.6666666
IT,AT,2008-02,216777777.7777778
IT,BE,2008-02,157555555.55555558
IT,BG,2008-02,24777777.777777776
IT,BR,2008-02,59888888.88888889
IT,CA,2008-02,34444444.44444444
IT,CH,2008-02,379000000.0
IT,CN,2008-02,87666666.66666667
IT,CY,2008-02,6111111.111111111
IT,CZ,2008-02,51666666.666666664
IT,DE,2008-02,649888888.888889
IT,DK,2008-02,56444444.44444445
IT,EE,2008-02,2888888.888888889
IT,ES,2008-02,249333333.33333334
IT,FI,2008-02,56333333.333333336
IT,FR,2008-02,751444444.4444444
IT,GR,2008-02,124444444.44444445
IT,HK,2008-02,36111111.111111104
IT,HR,2008-02,39777777.777777776
IT,HU,2008-02,52000000.0
IT,IE,2008-02,252777777.7777778
IT,IN,2008-02,33111111.11111111
IT,JP,2008-02,256555555.55555555
IT,LT,2008-02,10111111.11111111
IT,LU,2008-02,276555555.5555555
IT,LV,2008-02,6222222.222222222
IT,MT,2008-02,13888888.888888892
IT,NL,2008-02,230555555.55555555
IT,PL,2008-02,82777777.77777779
IT,PT,2008-02,36222222.222222224
IT,RO,2008-02,149555555.55555558
IT,RU,2008-02,47666666.666666664
IT,SE,2008-02,48666666.666666664
IT,SI,2008-02,58666666.666666664
IT,SK,2008-02,22666666.666666668
IT,UK,2008-02,448222222.2222222
IT,US,2008-02,632000000.0
IT,AT,2008-03,230888888.8888889
IT,BE,2008-03,146777777.77777776
IT,BG,2008-03,24222222.222222224
IT,BR,2008-03,47444444.44444443
IT,CA,2008-03,36222222.222222224
IT,CH,2008-03,364666666.6666667
IT,CN,2008-03,100666666.66666667
IT,CY,2008-03,7222222.222222222
IT,CZ,2008-03,53666666.666666664
IT,DE,2008-03,690444444.4444444
IT,DK,2008-03,57555555.55555555
