reporter,partner,TIME_PERIOD,OBS_VALUE
LT,AT,2004-01,1200000.0
LT,BE,2004-01,2466666.666666667
LT,BG,2004-01,33333.333333333336
LT,BR,2004-01,0.0
LT,CA,2004-01,266666.6666666667
LT,CH,2004-01,1266666.6666666665
LT,CN,2004-01,166666.66666666666
LT,CY,2004-01,266666.6666666667
LT,CZ,2004-01,1533333.3333333333
LT,DE,2004-01,17433333.333333332
LT,DK,2004-01,5633333.333333333
LT,EE,2004-01,2166666.6666666665
LT,ES,2004-01,1966666.6666666667
LT,FI,2004-01,2366666.6666666665
LT,FR,2004-01,5200000.0
LT,GR,2004-01,700000.0000000001
LT,HK,2004-01,199999.99999999997
LT,HR,2004-01,33333.333333333336
LT,HU,2004-01,366666.6666666667
LT,IE,2004-01,533333.3333333334
LT,IN,2004-01,33333.333333333336
LT,IT,2004-01,2133333.3333333335
LT,JP,2004-01,199999.99999999997
LT,LU,2004-01,99999.99999999999
LT,LV,2004-01,12466666.666666666
LT,MT,2004-01,399999.99999999994
LT,NL,2004-01,5733333.333333333
LT,PL,2004-01,2833333.3333333335
LT,PT,2004-01,199999.99999999997
LT,RO,2004-01,0.0
LT,RU,2004-01,38733333.333333336
LT,SE,2004-01,6300000.0
LT,SI,2004-01,66666.66666666667
LT,SK,2004-01,199999.99999999997
LT,UK,2004-01,7500000.0
LT,US,2004-01,6000000.0
LT,AT,2004-02,2355555.5555555555
LT,BE,2004-02,2466666.666666667
LT,BG,2004-02,44444.444444444445
LT,BR,2004-02,0.0
LT,CA,2004-02,311111.1111111111
LT,CH,2004-02,1277777.7777777778
LT,CN,2004-02,199999.99999999997
LT,CY,2004-02,611111.111111111
LT,CZ,2004-02,1388888.8888888885
LT,DE,2004-02,18544444.444444444
LT,DK,2004-02,6444444.444444444
LT,EE,2004-02,2466666.6666666665
LT,ES,2004-02,1755555.5555555555
LT,FI,2004-02,2666666.6666666665
LT,FR,2004-02,5933333.333333334
LT,GR,2004-02,577777.7777777779
LT,HK,2004-02,166666.66666666666
LT,HR,2004-02,33333.333333333336
LT,HU,2004-02,355555.55555555556
LT,IE,2004-02,511111.1111111112
LT,IN,2004-02,44444.444444444445
LT,IT,2004-02,2544444.444444445
LT,JP,2004-02,255555.5555555556
LT,LU,2004-02,277777.77777777775
LT,LV,2004-02,12055555.555555556
LT,MT,2004-02,266666.6666666667
LT,NL,2004-02,5788888.888888889
LT,PL,2004-02,3244444.444444444
LT,PT,2004-02,188888.88888888888
LT,RO,2004-02,11111.111111111111
LT,RU,2004-02,41222222.222222224
LT,SE,2004-02,5877777.777777777
LT,SI,2004-02,66666.66666666667
LT,SK,2004-02,211111.11111111112
LT,UK,2004-02,8400000.0
LT,US,2004-02,6222222.222222222
LT,AT,2004-03,3511111.111111111
LT,BE,2004-03,2466666.666666667
LT,BG,2004-03,55555.55555555556
LT,BR,2004-03,0.0
LT,CA,2004-03,355555.55555555556
LT,CH,2004-03,1288888.888888889
LT,CN,2004-03,233333.33333333337
LT,CY,2004-03,955555.5555555554
LT,CZ,2004-03,1244444.4444444443
LT,DE,2004-03,19655555.555555556
LT,DK,2004-03,7255555.555555556
LT,EE,2004-03,2766666.666666666
LT,ES,2004-03,1544444.4444444445
LT,FI,2004-03,2966666.666666667
LT,FR,2004-03,6666666.666666667
LT,GR,2004-03,455555.55555555556
LT,HK,2004-03,133333.33333333334
LT,HR,2004-03,33333.333333333336
LT,HU,2004-03,344444.4444444445
LT,IE,2004-03,488888.8888888889
LT,IN,2004-03,55555.55555555556
LT,IT,2004-03,2955555.5555555555
LT,JP,2004-03,311111.1111111111
LT,LU,2004-03,455555.55555555556
LT,LV,2004-03,11644444.444444446
LT,MT,2004-03,133333.33333333334
LT,NL,2004-03,5844444.444444444
LT,PL,2004-03,3655555.5555555555
LT,PT,2004-03,177777.77777777778
LT,RO,2004-03,22222.222222222223
LT,RU,2004-03,43711111.11111111
LT,SE,2004-03,5455555.555555556
LT,SI,2004-03,66666.66666666667
LT,SK,2004-03,222222.22222222222
LT,UK,2004-03,9300000.0
LT,US,2004-03,6444444.444444444
LT,AT,2004-04,4666666.666666667
LT,BE,2004-04,2466666.666666667
LT,BG,2004-04,66666.66666666667
LT,BR,2004-04,0.0
LT,CA,2004-04,399999.99999999994
LT,CH,2004-04,1300000.0
LT,CN,2004-04,266666.6666666667
LT,CY,2004-04,1300000.0
LT,CZ,2004-04,1099999.9999999998
LT,DE,2004-04,20766666.666666664
LT,DK,2004-04,8066666.666666666
LT,EE,2004-04,3066666.6666666665
LT,ES,2004-04,1333333.3333333333
LT,FI,2004-04,3266666.666666667
