reporter,partner,TIME_PERIOD,OBS_VALUE
LT,AT,2004-01,766666.6666666666
LT,BE,2004-01,1333333.3333333333
LT,BG,2004-01,66666.66666666667
LT,BR,2004-01,0.0
LT,CA,2004-01,133333.33333333334
LT,CH,2004-01,4866666.666666666
LT,CN,2004-01,533333.3333333334
LT,CY,2004-01,33333.333333333336
LT,CZ,2004-01,733333.3333333334
LT,DE,2004-01,11100000.0
LT,DK,2004-01,3533333.333333333
LT,EE,2004-01,2100000.0
LT,ES,2004-01,600000.0
LT,FI,2004-01,2033333.3333333333
LT,FR,2004-01,2000000.0
LT,GR,2004-01,133333.33333333334
LT,HK,2004-01,133333.33333333334
LT,HR,2004-01,99999.99999999999
LT,HU,2004-01,99999.99999999999
LT,IE,2004-01,466666.6666666666
LT,IN,2004-01,33333.333333333336
LT,IT,2004-01,1433333.3333333333
LT,JP,2004-01,233333.3333333333
LT,LU,2004-01,300000.0
LT,LV,2004-01,6300000.0
LT,MT,2004-01,33333.333333333336
LT,NL,2004-01,3133333.3333333335
LT,PL,2004-01,4833333.333333333
LT,PT,2004-01,199999.99999999997
LT,RO,2004-01,33333.333333333336
LT,RU,2004-01,14766666.666666666
LT,SE,2004-01,4533333.333333333
LT,SI,2004-01,99999.99999999999
LT,SK,2004-01,66666.66666666667
LT,UK,2004-01,5166666.666666667
LT,US,2004-01,5366666.666666667
LT,AT,2004-02,833333.3333333334
LT,BE,2004-02,1400000.0000000002
LT,BG,2004-02,66666.66666666667
LT,BR,2004-02,11111.111111111111
LT,CA,2004-02,122222.22222222223
LT,CH,2004-02,4966666.666666667
LT,CN,2004-02,644444.4444444445
LT,CY,2004-02,44444.444444444445
LT,CZ,2004-02,799999.9999999999
LT,DE,2004-02,12122222.222222222
LT,DK,2004-02,3944444.4444444445
LT,EE,2004-02,2433333.333333333
LT,ES,2004-02,744444.4444444445
LT,FI,2004-02,2177777.7777777775
LT,FR,2004-02,2266666.6666666665
LT,GR,2004-02,155555.55555555556
