reporter,partner,TIME_PERIOD,OBS_VALUE
LV,BG,2000-01,0.0
LV,CY,2000-01,1000000.0
LV,CZ,2000-01,0.0
LV,DK,2000-01,3666666.6666666665
LV,EE,2000-01,2666666.6666666665
LV,GR,2000-01,333333.3333333333
LV,HU,2000-01,0.0
LV,LT,2000-01,2000000.0
LV,LV,2000-01,0.0
LV,MT,2000-01,333333.3333333333
LV,PL,2000-01,333333.3333333333
LV,RO,2000-01,0.0
LV,SE,2000-01,4666666.666666667
LV,SI,2000-01,0.0
LV,SK,2000-01,0.0
LV,UK,2000-01,5666666.666666667
LV,BG,2000-02,0.0
LV,CY,2000-02,1222222.222222222
LV,CZ,2000-02,0.0
LV,DK,2000-02,3666666.6666666665
LV,EE,2000-02,3000000.0
LV,GR,2000-02,333333.3333333333
LV,HU,2000-02,0.0
LV,LT,2000-02,2333333.3333333335
LV,LV,2000-02,0.0
LV,MT,2000-02,333333.3333333333
LV,PL,2000-02,444444.44444444444
LV,RO,2000-02,0.0
LV,SE,2000-02,4444444.444444445
LV,SI,2000-02,0.0
LV,SK,2000-02,0.0
LV,UK,2000-02,6333333.333333333
LV,BG,2000-03,0.0
LV,CY,2000-03,1444444.4444444445
LV,CZ,2000-03,0.0
LV,DK,2000-03,3666666.6666666665
LV,EE,2000-03,3333333.3333333335
LV,GR,2000-03,333333.3333333333
LV,HU,2000-03,0.0
LV,LT,2000-03,2666666.6666666665
LV,LV,2000-03,0.0
LV,MT,2000-03,333333.3333333333
LV,PL,2000-03,555555.5555555555
LV,RO,2000-03,0.0
LV,SE,2000-03,4222222.222222222
LV,SI,2000-03,0.0
LV,SK,2000-03,0.0
LV,UK,2000-03,7000000.0
LV,BG,2000-04,0.0
LV,CY,2000-04,1666666.6666666667
LV,CZ,2000-04,0.0
LV,DK,2000-04,3666666.6666666665
LV,EE,2000-04,3666666.6666666665
LV,GR,2000-04,333333.3333333333
LV,HU,2000-04,0.0
LV,LT,2000-04,3000000.0
LV,LV,2000-04,0.0
LV,MT,2000-04,333333.3333333333
LV,PL,2000-04,666666.6666666666
LV,RO,2000-04,0.0
LV,SE,2000-04,4000000.0
LV,SI,2000-04,0.0
LV,SK,2000-04,0.0
LV,UK,2000-04,7666666.666666667
LV,BG,2000-05,0.0
LV,CY,2000-05,1888888.888888889
LV,CZ,2000-05,0.0
LV,DK,2000-05,3333333.3333333335
LV,EE,2000-05,3222222.222222222
LV,GR,2000-05,333333.3333333333
LV,HU,2000-05,0.0
LV,LT,2000-05,2888888.888888889
LV,LV,2000-05,0.0
LV,MT,2000-05,222222.22222222225
LV,PL,2000-05,555555.5555555556
LV,RO,2000-05,0.0
LV,SE,2000-05,3666666.6666666665
LV,SI,2000-05,0.0
LV,SK,2000-05,0.0
LV,UK,2000-05,7333333.333333333
LV,BG,2000-06,0.0
LV,CY,2000-06,2111111.111111111
LV,CZ,2000-06,0.0
LV,DK,2000-06,3000000.0
LV,EE,2000-06,2777777.777777778
LV,GR,2000-06,333333.3333333333
LV,HU,2000-06,0.0
LV,LT,2000-06,2777777.777777778
LV,LV,2000-06,0.0
LV,MT,2000-06,111111.11111111112
LV,PL,2000-06,444444.4444444445
LV,RO,2000-06,0.0
LV,SE,2000-06,3333333.3333333335
LV,SI,2000-06,0.0
LV,SK,2000-06,0.0
LV,UK,2000-06,7000000.0
LV,BG,2000-07,0.0
LV,CY,2000-07,2333333.3333333335
LV,CZ,2000-07,0.0
LV,DK,2000-07,2666666.6666666665
LV,EE,2000-07,2333333.3333333335
LV,GR,2000-07,333333.3333333333
LV,HU,2000-07,0.0
LV,LT,2000-07,2666666.6666666665
LV,LV,2000-07,0.0
LV,MT,2000-07,0.0
LV,PL,2000-07,333333.3333333333
LV,RO,2000-07,0.0
LV,SE,2000-07,3000000.0
LV,SI,2000-07,0.0
LV,SK,2000-07,0.0
LV,UK,2000-07,6666666.666666667
LV,BG,2000-08,0.0
LV,CY,2000-08,2222222.2222222225
LV,CZ,2000-08,0.0
LV,DK,2000-08,3222222.222222222
