reporter,partner,TIME_PERIOD,OBS_VALUE
LV,BG,2000-01,0.0
LV,CY,2000-01,0.0
LV,CZ,2000-01,333333.3333333333
LV,DK,2000-01,2000000.0
LV,EE,2000-01,2333333.3333333335
LV,GR,2000-01,0.0
LV,HU,2000-01,0.0
LV,LT,2000-01,4333333.333333333
LV,LV,2000-01,0.0
LV,MT,2000-01,0.0
LV,PL,2000-01,333333.3333333333
LV,RO,2000-01,0.0
LV,SE,2000-01,1333333.3333333333
LV,SI,2000-01,0.0
LV,SK,2000-01,0.0
LV,UK,2000-01,2666666.6666666665
LV,BG,2000-02,0.0
LV,CY,2000-02,0.0
LV,CZ,2000-02,333333.3333333333
LV,DK,2000-02,1888888.888888889
LV,EE,2000-02,2222222.2222222225
LV,GR,2000-02,0.0
LV,HU,2000-02,0.0
LV,LT,2000-02,5666666.666666667
LV,LV,2000-02,0.0
LV,MT,2000-02,0.0
LV,PL,2000-02,555555.5555555555
LV,RO,2000-02,0.0
LV,SE,2000-02,1444444.4444444445
LV,SI,2000-02,0.0
LV,SK,2000-02,0.0
LV,UK,2000-02,2555555.555555556
LV,BG,2000-03,0.0
LV,CY,2000-03,0.0
LV,CZ,2000-03,333333.3333333333
LV,DK,2000-03,1777777.7777777778
LV,EE,2000-03,2111111.111111111
LV,GR,2000-03,0.0
LV,HU,2000-03,0.0
LV,LT,2000-03,7000000.0
LV,LV,2000-03,0.0
LV,MT,2000-03,0.0
LV,PL,2000-03,777777.7777777776
LV,RO,2000-03,0.0
LV,SE,2000-03,1555555.5555555555
LV,SI,2000-03,0.0
LV,SK,2000-03,0.0
LV,UK,2000-03,2444444.444444444
LV,BG,2000-04,0.0
LV,CY,2000-04,0.0
LV,CZ,2000-04,333333.3333333333
LV,DK,2000-04,1666666.6666666667
LV,EE,2000-04,2000000.0
LV,GR,2000-04,0.0
LV,HU,2000-04,0.0
LV,LT,2000-04,8333333.333333334
LV,LV,2000-04,0.0
LV,MT,2000-04,0.0
LV,PL,2000-04,1000000.0
LV,RO,2000-04,0.0
LV,SE,2000-04,1666666.6666666667
LV,SI,2000-04,0.0
LV,SK,2000-04,0.0
LV,UK,2000-04,2333333.3333333335
LV,BG,2000-05,0.0
LV,CY,2000-05,0.0
LV,CZ,2000-05,444444.44444444444
LV,DK,2000-05,1666666.6666666667
LV,EE,2000-05,2222222.2222222225
LV,GR,2000-05,0.0
LV,HU,2000-05,111111.11111111111
LV,LT,2000-05,9000000.0
LV,LV,2000-05,0.0
LV,MT,2000-05,0.0
LV,PL,2000-05,888888.8888888889
LV,RO,2000-05,0.0
LV,SE,2000-05,1777777.7777777778
LV,SI,2000-05,0.0
LV,SK,2000-05,0.0
LV,UK,2000-05,2333333.3333333335
LV,BG,2000-06,0.0
LV,CY,2000-06,0.0
LV,CZ,2000-06,555555.5555555555
LV,DK,2000-06,1666666.6666666667
LV,EE,2000-06,2444444.444444444
LV,GR,2000-06,0.0
LV,HU,2000-06,222222.22222222222
LV,LT,2000-06,9666666.666666666
LV,LV,2000-06,0.0
LV,MT,2000-06,0.0
LV,PL,2000-06,777777.7777777778
LV,RO,2000-06,0.0
LV,SE,2000-06,1888888.888888889
LV,SI,2000-06,0.0
LV,SK,2000-06,0.0
LV,UK,2000-06,2333333.3333333335
LV,BG,2000-07,0.0
LV,CY,2000-07,0.0
LV,CZ,2000-07,666666.6666666666
LV,DK,2000-07,1666666.6666666667
LV,EE,2000-07,2666666.6666666665
LV,GR,2000-07,0.0
LV,HU,2000-07,333333.3333333333
LV,LT,2000-07,10333333.333333334
LV,LV,2000-07,0.0
LV,MT,2000-07,0.0
LV,PL,2000-07,666666.6666666666
LV,RO,2000-07,0.0
LV,SE,2000-07,2000000.0
LV,SI,2000-07,0.0
LV,SK,2000-07,0.0
LV,UK,2000-07,2333333.3333333335
LV,BG,2000-08,0.0
LV,CY,2000-08,0.0
LV,CZ,2000-08,666666.6666666666
LV,DK,2000-08,1777777.7777777778
LV,EE,2000-08,2666666.6666666665
LV,GR,2000-08,0.0
LV,HU,2000-08,222222.22222222225
LV,LT,2000-08,9555555.555555556
LV,LV,2000-08,0.0
LV,MT,2000-08,111111.11111111111
LV,PL,2000-08,666666.6666666666
LV,RO,2000-08,0.0
LV,SE,2000-08,1888888.888888889
LV,SI,2000-08,0.0
LV,SK,2000-08,0.0
LV,UK,2000-08,2555555.555555556
LV,BG,2000-09,0.0
LV,CY,2000-09,0.0
LV,CZ,2000-09,666666.6666666666
LV,DK,2000-09,1888888.888888889
LV,EE,2000-09,2666666.6666666665
LV,GR,2000-09,0.0
LV,HU,2000-09,111111.11111111112
LV,LT,2000-09,8777777.777777776
LV,LV,2000-09,0.0
LV,MT,2000-09,222222.22222222222
LV,PL,2000-09,666666.6666666666
LV,RO,2000-09,0.0
LV,SE,2000-09,1777777.7777777778
LV,SI,2000-09,0.0
LV,SK,2000-09,0.0
LV,UK,2000-09,2777777.777777778
LV,BG,2000-10,0.0
LV,CY,2000-10,0.0
LV,CZ,2000-10,666666.6666666666
LV,DK,2000-10,2000000.0
LV,EE,2000-10,2666666.6666666665
LV,GR,2000-10,0.0
LV,HU,2000-10,0.0
LV,LT,2000-10,8000000.0
LV,LV,2000-10,0.0
LV,MT,2000-10,333333.3333333333
LV,PL,2000-10,666666.6666666666
LV,RO,2000-10,0.0
LV,SE,2000-10,1666666.6666666667
LV,SI,2000-10,0.0
LV,SK,2000-10,0.0
LV,UK,2000-10,3000000.0
LV,BG,2000-11,0.0
LV,CY,2000-11,0.0
LV,CZ,2000-11,666666.6666666666
LV,DK,2000-11,1888888.888888889
LV,EE,2000-11,2444444.444444444
LV,GR,2000-11,0.0
LV,HU,2000-11,0.0
LV,LT,2000-11,6888888.888888889
LV,LV,2000-11,0.0
LV,MT,2000-11,333333.3333333333
LV,PL,2000-11,666666.6666666666
LV,RO,2000-11,0.0
LV,SE,2000-11,1666666.6666666667
LV,SI,2000-11,0.0
LV,SK,2000-11,0.0
LV,UK,2000-11,2888888.888888889
LV,BG,2000-12,0.0
LV,CY,2000-12,0.0
LV,CZ,2000-12,666666.6666666666
LV,DK,2000-12,1777777.7777777778
LV,EE,2000-12,2222222.2222222225
LV,GR,2000-12,0.0
LV,HU,2000-12,0.0
LV,LT,2000-12,5777777.777777778
LV,LV,2000-12,0.0
LV,MT,2000-12,333333.3333333333
LV,PL,2000-12,666666.6666666666
LV,RO,2000-12,0.0
LV,SE,2000-12,1666666.6666666667
LV,SI,2000-12,0.0
LV,SK,2000-12,0.0
LV,UK,2000-12,2777777.777777778
LV,BG,2001-01,0.0
LV,CY,2001-01,0.0
LV,CZ,2001-01,666666.6666666666
LV,DK,2001-01,1666666.6666666667
LV,EE,2001-01,2000000.0
LV,GR,2001-01,0.0
LV,HU,2001-01,0.0
LV,LT,2001-01,4666666.666666667
LV,LV,2001-01,0.0
LV,MT,2001-01,333333.3333333333
LV,PL,2001-01,666666.6666666666
LV,RO,2001-01,0.0
LV,SE,2001-01,1666666.6666666667
LV,SI,2001-01,0.0
LV,SK,2001-01,0.0
LV,UK,2001-01,2666666.6666666665
LV,BG,2001-02,0.0
LV,CY,2001-02,0.0
LV,CZ,2001-02,666666.6666666666
LV,DK,2001-02,1555555.5555555555
LV,EE,2001-02,2222222.2222222225
LV,GR,2001-02,0.0
LV,HU,2001-02,0.0
LV,LT,2001-02,5333333.333333333
LV,LV,2001-02,0.0
LV,MT,2001-02,333333.3333333333
LV,PL,2001-02,777777.7777777778
LV,RO,2001-02,0.0
LV,SE,2001-02,1777777.7777777778
LV,SI,2001-02,0.0
LV,SK,2001-02,0.0
LV,UK,2001-02,2666666.6666666665
LV,BG,2001-03,0.0
LV,CY,2001-03,0.0
LV,CZ,2001-03,666666.6666666666
LV,DK,2001-03,1444444.4444444445
LV,EE,2001-03,2444444.444444444
LV,GR,2001-03,0.0
LV,HU,2001-03,0.0
LV,LT,2001-03,6000000.0
LV,LV,2001-03,0.0
LV,MT,2001-03,333333.3333333333
LV,PL,2001-03,888888.8888888889
LV,RO,2001-03,0.0
LV,SE,2001-03,1888888.888888889
LV,SI,2001-03,0.0
LV,SK,2001-03,0.0
LV,UK,2001-03,2666666.6666666665
LV,BG,2001-04,0.0
LV,CY,2001-04,0.0
LV,CZ,2001-04,666666.6666666666
LV,DK,2001-04,1333333.3333333333
LV,EE,2001-04,2666666.6666666665
LV,GR,2001-04,0.0
LV,HU,2001-04,0.0
LV,LT,2001-04,6666666.666666667
LV,LV,2001-04,0.0
LV,MT,2001-04,333333.3333333333
LV,PL,2001-04,1000000.0
LV,RO,2001-04,0.0
LV,SE,2001-04,2000000.0
LV,SI,2001-04,0.0
LV,SK,2001-04,0.0
LV,UK,2001-04,2666666.6666666665
LV,BG,2001-05,0.0
LV,CY,2001-05,0.0
LV,CZ,2001-05,666666.6666666666
LV,DK,2001-05,1222222.222222222
LV,EE,2001-05,2777777.777777778
LV,GR,2001-05,0.0
LV,HU,2001-05,0.0
LV,LT,2001-05,7111111.111111111
LV,LV,2001-05,0.0
LV,MT,2001-05,222222.22222222225
LV,PL,2001-05,1000000.0
LV,RO,2001-05,0.0
LV,SE,2001-05,1888888.888888889
LV,SI,2001-05,0.0
LV,SK,2001-05,0.0
LV,UK,2001-05,2888888.888888889
LV,BG,2001-06,0.0
LV,CY,2001-06,0.0
LV,CZ,2001-06,666666.6666666666
LV,DK,2001-06,1111111.1111111112
LV,EE,2001-06,2888888.888888889
LV,GR,2001-06,0.0
LV,HU,2001-06,0.0
LV,LT,2001-06,7555555.555555556
LV,LV,2001-06,0.0
LV,MT,2001-06,111111.11111111112
LV,PL,2001-06,1000000.0
LV,RO,2001-06,0.0
LV,SE,2001-06,1777777.7777777778
LV,SI,2001-06,0.0
LV,SK,2001-06,0.0
LV,UK,2001-06,3111111.111111111
LV,BG,2001-07,0.0
LV,CY,2001-07,0.0
LV,CZ,2001-07,666666.6666666666
LV,DK,2001-07,1000000.0
LV,EE,2001-07,3000000.0
LV,GR,2001-07,0.0
LV,HU,2001-07,0.0
LV,LT,2001-07,8000000.0
LV,LV,2001-07,0.0
LV,MT,2001-07,0.0
LV,PL,2001-07,1000000.0
LV,RO,2001-07,0.0
LV,SE,2001-07,1666666.6666666667
LV,SI,2001-07,0.0
LV,SK,2001-07,0.0
LV,UK,2001-07,3333333.3333333335
LV,BG,2001-08,111111.11111111111
LV,CY,2001-08,0.0
LV,CZ,2001-08,666666.6666666666
LV,DK,2001-08,1000000.0
LV,EE,2001-08,3000000.0
LV,GR,2001-08,111111.11111111111
LV,HU,2001-08,0.0
LV,LT,2001-08,7444444.444444444
LV,LV,2001-08,0.0
LV,MT,2001-08,0.0
LV,PL,2001-08,1000000.0
LV,RO,2001-08,0.0
LV,SE,2001-08,1888888.888888889
LV,SI,2001-08,0.0
LV,SK,2001-08,0.0
LV,UK,2001-08,3222222.222222222
LV,BG,2001-09,222222.22222222222
LV,CY,2001-09,0.0
LV,CZ,2001-09,666666.6666666666
LV,DK,2001-09,1000000.0
LV,EE,2001-09,3000000.0
LV,GR,2001-09,222222.22222222222
LV,HU,2001-09,0.0
LV,LT,2001-09,6888888.888888889
LV,LV,2001-09,0.0
LV,MT,2001-09,0.0
LV,PL,2001-09,1000000.0
LV,RO,2001-09,0.0
LV,SE,2001-09,2111111.111111111
LV,SI,2001-09,0.0
LV,SK,2001-09,0.0
