reporter,partner,TIME_PERIOD,OBS_VALUE
MT,AT,2017-01,20099999.999999996
MT,BE,2017-01,10333333.333333334
MT,BG,2017-01,1266666.6666666665
MT,BR,2017-01,2833333.3333333335
MT,CA,2017-01,14100000.0
MT,CH,2017-01,32100000.0
MT,CN,2017-01,3900000.0
MT,CY,2017-01,3233333.333333333
MT,CZ,2017-01,2233333.3333333335
MT,DE,2017-01,122366666.66666667
MT,DK,2017-01,6966666.666666666
MT,EE,2017-01,-700000.0000000001
MT,ES,2017-01,9600000.0
MT,FI,2017-01,13733333.333333334
MT,FR,2017-01,39233333.333333336
MT,GR,2017-01,11833333.333333334
MT,HK,2017-01,1233333.3333333335
MT,HR,2017-01,666666.6666666666
MT,HU,2017-01,2800000.0000000005
MT,IE,2017-01,8466666.666666666
MT,IN,2017-01,1433333.3333333333
MT,IT,2017-01,97833333.33333333
MT,JP,2017-01,14100000.0
MT,LT,2017-01,-533333.3333333334
MT,LU,2017-01,3500000.0
MT,LV,2017-01,-900000.0
MT,NL,2017-01,39699999.99999999
MT,PL,2017-01,8799999.999999998
MT,PT,2017-01,8533333.333333334
MT,RO,2017-01,3133333.3333333335
MT,SE,2017-01,25700000.0
MT,SI,2017-01,-1099999.9999999998
MT,SK,2017-01,-933333.3333333333
MT,UK,2017-01,116766666.66666667
MT,US,2017-01,32800000.000000004
MT,AT,2017-02,22755555.555555556
MT,BE,2017-02,10299999.999999998
MT,BG,2017-02,1088888.8888888888
MT,BR,2017-02,2511111.111111111
MT,CA,2017-02,14766666.666666666
MT,CH,2017-02,32444444.444444444
MT,CN,2017-02,3511111.111111111
MT,CY,2017-02,3566666.6666666665
MT,CZ,2017-02,2188888.8888888885
MT,DE,2017-02,132622222.22222224
MT,DK,2017-02,7622222.222222223
MT,EE,2017-02,-255555.5555555556
MT,ES,2017-02,9655555.555555556
MT,FI,2017-02,15977777.77777778
MT,FR,2017-02,41277777.777777776
MT,GR,2017-02,13422222.222222222
MT,HK,2017-02,1033333.3333333335
MT,HR,2017-02,522222.22222222225
MT,HU,2017-02,2733333.333333333
MT,IE,2017-02,8688888.888888888
MT,IN,2017-02,1799999.9999999998
MT,IT,2017-02,94144444.44444445
MT,JP,2017-02,13700000.000000002
MT,LT,2017-02,-77777.77777777788
