reporter,partner,TIME_PERIOD,OBS_VALUE
MT,AT,2017-01,20599999.999999996
MT,BE,2017-01,7300000.0
MT,BG,2017-01,966666.6666666666
MT,BR,2017-01,533333.3333333334
MT,CA,2017-01,3366666.6666666665
MT,CH,2017-01,10433333.333333334
MT,CN,2017-01,5899999.999999999
MT,CY,2017-01,7266666.666666667
MT,CZ,2017-01,2500000.0
MT,DE,2017-01,49666666.666666664
MT,DK,2017-01,3233333.333333333
MT,EE,2017-01,1300000.0
MT,ES,2017-01,7666666.666666667
MT,FI,2017-01,1500000.0
MT,FR,2017-01,16800000.0
MT,GR,2017-01,12066666.666666668
MT,HK,2017-01,866666.6666666667
MT,HR,2017-01,1066666.6666666667
MT,HU,2017-01,1733333.3333333335
MT,IE,2017-01,5266666.666666667
MT,IN,2017-01,3166666.6666666665
MT,IT,2017-01,63900000.0
MT,JP,2017-01,2333333.3333333335
MT,LT,2017-01,1133333.3333333333
MT,LU,2017-01,4733333.333333333
MT,LV,2017-01,300000.0
MT,NL,2017-01,28066666.666666668
MT,PL,2017-01,4266666.666666667
MT,PT,2017-01,1500000.0
MT,RO,2017-01,466666.6666666666
MT,SE,2017-01,32600000.0
MT,SI,2017-01,333333.3333333333
MT,SK,2017-01,233333.3333333333
MT,UK,2017-01,109066666.66666666
MT,US,2017-01,38233333.333333336
MT,AT,2017-02,22388888.888888888
MT,BE,2017-02,6922222.222222222
MT,BG,2017-02,911111.1111111111
MT,BR,2017-02,488888.88888888893
MT,CA,2017-02,3244444.444444444
MT,CH,2017-02,9833333.333333334
MT,CN,2017-02,5488888.888888888
MT,CY,2017-02,8633333.333333334
MT,CZ,2017-02,2533333.333333333
MT,DE,2017-02,50333333.333333336
MT,DK,2017-02,3122222.222222222
MT,EE,2017-02,1233333.3333333333
MT,ES,2017-02,7433333.333333334
MT,FI,2017-02,1411111.1111111112
MT,FR,2017-02,15977777.777777776
MT,GR,2017-02,11200000.000000002
MT,HK,2017-02,866666.6666666667
MT,HR,2017-02,1033333.3333333335
MT,HU,2017-02,1722222.2222222222
MT,IE,2017-02,4955555.555555556
MT,IN,2017-02,2766666.666666667
MT,IT,2017-02,61255555.55555555
MT,JP,2017-02,2199999.9999999995
MT,LT,2017-02,1066666.6666666667
MT,LU,2017-02,3744444.444444444
MT,LV,2017-02,600000.0
MT,NL,2017-02,27955555.55555556
MT,PL,2017-02,3922222.2222222225
MT,PT,2017-02,1400000.0000000002
MT,RO,2017-02,488888.8888888889
MT,SE,2017-02,32633333.333333332
MT,SI,2017-02,333333.3333333333
MT,SK,2017-02,211111.11111111112
MT,UK,2017-02,109077777.77777778
MT,US,2017-02,37822222.222222224
MT,AT,2017-03,24177777.777777776
MT,BE,2017-03,6544444.444444444
MT,BG,2017-03,855555.5555555555
MT,BR,2017-03,444444.44444444444
MT,CA,2017-03,3122222.222222222
MT,CH,2017-03,9233333.333333332
MT,CN,2017-03,5077777.777777777
MT,CY,2017-03,10000000.0
MT,CZ,2017-03,2566666.666666667
MT,DE,2017-03,51000000.0
MT,DK,2017-03,3011111.111111111
MT,EE,2017-03,1166666.6666666667
MT,ES,2017-03,7199999.999999999
MT,FI,2017-03,1322222.2222222222
MT,FR,2017-03,15155555.555555556
MT,GR,2017-03,10333333.333333334
MT,HK,2017-03,866666.6666666667
MT,HR,2017-03,1000000.0
MT,HU,2017-03,1711111.111111111
MT,IE,2017-03,4644444.444444445
MT,IN,2017-03,2366666.6666666665
MT,IT,2017-03,58611111.11111111
MT,JP,2017-03,2066666.666666667
MT,LT,2017-03,1000000.0
MT,LU,2017-03,2755555.555555555
MT,LV,2017-03,900000.0
MT,NL,2017-03,27844444.444444444
MT,PL,2017-03,3577777.7777777775
MT,PT,2017-03,1300000.0
MT,RO,2017-03,511111.1111111112
MT,SE,2017-03,32666666.666666664
MT,SI,2017-03,333333.3333333333
MT,SK,2017-03,188888.88888888888
MT,UK,2017-03,109088888.8888889
MT,US,2017-03,37411111.11111111
MT,AT,2017-04,25966666.666666668
MT,BE,2017-04,6166666.666666667
MT,BG,2017-04,799999.9999999999
MT,BR,2017-04,399999.99999999994
MT,CA,2017-04,3000000.0
MT,CH,2017-04,8633333.333333332
MT,CN,2017-04,4666666.666666667
MT,CY,2017-04,11366666.666666668
MT,CZ,2017-04,2600000.0
MT,DE,2017-04,51666666.666666664
MT,DK,2017-04,2900000.0
MT,EE,2017-04,1099999.9999999998
MT,ES,2017-04,6966666.666666666
MT,FI,2017-04,1233333.3333333335
MT,FR,2017-04,14333333.333333334
MT,GR,2017-04,9466666.666666666
MT,HK,2017-04,866666.6666666667
MT,HR,2017-04,966666.6666666666
MT,HU,2017-04,1700000.0
MT,IE,2017-04,4333333.333333333
MT,IN,2017-04,1966666.6666666667
MT,IT,2017-04,55966666.66666667
MT,JP,2017-04,1933333.3333333333
MT,LT,2017-04,933333.3333333333
MT,LU,2017-04,1766666.6666666665
MT,LV,2017-04,1200000.0
MT,NL,2017-04,27733333.333333336
MT,PL,2017-04,3233333.333333333
MT,PT,2017-04,1200000.0
MT,RO,2017-04,533333.3333333334
MT,SE,2017-04,32699999.999999996
MT,SI,2017-04,333333.3333333333
MT,SK,2017-04,166666.66666666666
MT,UK,2017-04,109100000.00000001
MT,US,2017-04,37000000.0
MT,AT,2017-05,29366666.66666667
MT,BE,2017-05,6155555.555555555
MT,BG,2017-05,822222.2222222222
MT,BR,2017-05,399999.99999999994
MT,CA,2017-05,3155555.5555555555
MT,CH,2017-05,8933333.333333334
MT,CN,2017-05,4788888.888888889
MT,CY,2017-05,12244444.444444446
MT,CZ,2017-05,2800000.0000000005
MT,DE,2017-05,56566666.666666664
MT,DK,2017-05,3166666.6666666665
MT,EE,2017-05,1111111.111111111
MT,ES,2017-05,7022222.222222222
MT,FI,2017-05,1300000.0
MT,FR,2017-05,15033333.333333334
MT,GR,2017-05,9833333.333333334
MT,HK,2017-05,611111.1111111111
MT,HR,2017-05,1188888.888888889
MT,HU,2017-05,1766666.6666666665
MT,IE,2017-05,4511111.111111111
MT,IN,2017-05,2011111.111111111
MT,IT,2017-05,58122222.222222224
MT,JP,2017-05,1955555.5555555555
MT,LT,2017-05,933333.3333333333
MT,LU,2017-05,2377777.777777778
MT,LV,2017-05,1233333.3333333335
