reporter,partner,TIME_PERIOD,OBS_VALUE
NL,AT,2003-04,33666666.666666664
NL,BE,2003-04,346000000.0
NL,BG,2003-04,333333.3333333333
NL,BR,2003-04,2000000.0
NL,CA,2003-04,33666666.666666664
NL,CH,2003-04,183666666.66666666
NL,CN,2003-04,14000000.0
NL,CY,2003-04,1666666.6666666667
NL,CZ,2003-04,73666666.66666667
NL,DE,2003-04,982000000.0
NL,DK,2003-04,53000000.0
NL,EE,2003-04,0.0
NL,ES,2003-04,74000000.0
NL,FI,2003-04,28666666.666666668
NL,FR,2003-04,257333333.3333333
NL,GR,2003-04,8000000.0
NL,HK,2003-04,6666666.666666667
NL,HR,2003-04,333333.3333333333
NL,HU,2003-04,4333333.333333333
NL,IE,2003-04,134666666.66666666
NL,IN,2003-04,2666666.6666666665
NL,IT,2003-04,102666666.66666667
NL,JP,2003-04,91333333.33333333
NL,LT,2003-04,0.0
NL,LU,2003-04,18000000.0
NL,LV,2003-04,0.0
NL,MT,2003-04,0.0
NL,PL,2003-04,3666666.6666666665
NL,PT,2003-04,20666666.666666668
NL,RO,2003-04,666666.6666666666
NL,RU,2003-04,3000000.0
NL,SE,2003-04,99333333.33333333
NL,SI,2003-04,333333.3333333333
NL,SK,2003-04,333333.3333333333
NL,UK,2003-04,729666666.6666666
NL,US,2003-04,632333333.3333334
NL,AT,2003-05,33777777.777777776
NL,BE,2003-05,345333333.3333333
NL,BG,2003-05,333333.3333333333
NL,BR,2003-05,3000000.0
NL,CA,2003-05,37888888.888888896
NL,CH,2003-05,181555555.55555555
NL,CN,2003-05,12000000.0
NL,CY,2003-05,1444444.4444444445
NL,CZ,2003-05,76000000.0
NL,DE,2003-05,987333333.3333334
NL,DK,2003-05,52666666.666666664
NL,EE,2003-05,444444.44444444444
NL,ES,2003-05,79111111.11111112
NL,FI,2003-05,28333333.333333332
NL,FR,2003-05,252666666.66666666
NL,GR,2003-05,7333333.333333333
NL,HK,2003-05,6666666.666666667
NL,HR,2003-05,444444.44444444444
NL,HU,2003-05,4111111.1111111115
NL,IE,2003-05,148555555.55555558
NL,IN,2003-05,3000000.0
NL,IT,2003-05,105777777.77777778
NL,JP,2003-05,93444444.44444445
NL,LT,2003-05,0.0
NL,LU,2003-05,17333333.333333332
NL,LV,2003-05,333333.3333333333
NL,MT,2003-05,0.0
NL,PL,2003-05,3666666.6666666665
NL,PT,2003-05,20333333.333333332
NL,RO,2003-05,666666.6666666666
NL,RU,2003-05,3777777.777777778
NL,SE,2003-05,97333333.33333333
NL,SI,2003-05,333333.3333333333
NL,SK,2003-05,444444.44444444444
NL,UK,2003-05,720111111.1111112
