reporter,partner,TIME_PERIOD,OBS_VALUE
NL,AT,2003-04,64333333.33333333
NL,BE,2003-04,585333333.3333334
NL,BG,2003-04,1000000.0
NL,BR,2003-04,3000000.0
NL,CA,2003-04,42666666.666666664
NL,CH,2003-04,290666666.6666667
NL,CN,2003-04,4666666.666666667
NL,CY,2003-04,0.0
NL,CZ,2003-04,82333333.33333333
NL,DE,2003-04,786333333.3333334
NL,DK,2003-04,69666666.66666667
NL,EE,2003-04,0.0
NL,ES,2003-04,174000000.0
NL,FI,2003-04,34000000.0
NL,FR,2003-04,374333333.3333333
NL,GR,2003-04,43333333.333333336
NL,HK,2003-04,7000000.0
NL,HR,2003-04,1000000.0
NL,HU,2003-04,4666666.666666667
NL,IE,2003-04,26000000.0
NL,IN,2003-04,0.0
NL,IT,2003-04,179666666.66666666
NL,JP,2003-04,124000000.0
NL,LT,2003-04,2666666.6666666665
NL,LU,2003-04,39000000.0
NL,LV,2003-04,0.0
NL,MT,2003-04,1333333.3333333333
NL,PL,2003-04,14666666.666666666
NL,PT,2003-04,36333333.333333336
NL,RO,2003-04,7666666.666666667
NL,RU,2003-04,1333333.3333333333
NL,SE,2003-04,74333333.33333333
NL,SI,2003-04,666666.6666666666
NL,SK,2003-04,2333333.3333333335
NL,UK,2003-04,779333333.3333334
NL,US,2003-04,1024333333.3333333
NL,AT,2003-05,77000000.0
NL,BE,2003-05,571444444.4444444
NL,BG,2003-05,1333333.3333333333
NL,BR,2003-05,2111111.111111111
NL,CA,2003-05,45444444.44444445
NL,CH,2003-05,266000000.0
NL,CN,2003-05,4555555.555555555
NL,CY,2003-05,333333.3333333333
NL,CZ,2003-05,76444444.44444445
NL,DE,2003-05,777555555.5555556
NL,DK,2003-05,71000000.0
NL,EE,2003-05,0.0
NL,ES,2003-05,186666666.66666666
NL,FI,2003-05,32222222.22222222
NL,FR,2003-05,402000000.0
NL,GR,2003-05,50555555.55555555
NL,HK,2003-05,5777777.777777778
NL,HR,2003-05,1222222.222222222
NL,HU,2003-05,4333333.333333333
NL,IE,2003-05,25222222.222222224
NL,IN,2003-05,111111.11111111111
NL,IT,2003-05,183666666.66666666
NL,JP,2003-05,110555555.55555555
NL,LT,2003-05,3111111.111111111
NL,LU,2003-05,48111111.11111111
NL,LV,2003-05,0.0
NL,MT,2003-05,1000000.0
NL,PL,2003-05,15777777.777777778
NL,PT,2003-05,35777777.777777776
NL,RO,2003-05,7666666.666666667
NL,RU,2003-05,2888888.8888888895
NL,SE,2003-05,79555555.55555555
NL,SI,2003-05,666666.6666666666
NL,SK,2003-05,2000000.0
NL,UK,2003-05,774888888.8888888
NL,US,2003-05,998777777.7777778
NL,AT,2003-06,89666666.66666667
NL,BE,2003-06,557555555.5555556
NL,BG,2003-06,1666666.6666666667
NL,BR,2003-06,1222222.2222222222
NL,CA,2003-06,48222222.222222224
NL,CH,2003-06,241333333.33333334
NL,CN,2003-06,4444444.444444445
NL,CY,2003-06,666666.6666666666
NL,CZ,2003-06,70555555.55555555
NL,DE,2003-06,768777777.7777778
NL,DK,2003-06,72333333.33333333
NL,EE,2003-06,0.0
NL,ES,2003-06,199333333.33333334
NL,FI,2003-06,30444444.444444444
NL,FR,2003-06,429666666.6666667
NL,GR,2003-06,57777777.777777776
NL,HK,2003-06,4555555.555555556
NL,HR,2003-06,1444444.4444444445
NL,HU,2003-06,4000000.0
NL,IE,2003-06,24444444.444444444
NL,IN,2003-06,222222.22222222222
NL,IT,2003-06,187666666.66666666
NL,JP,2003-06,97111111.1111111
NL,LT,2003-06,3555555.5555555555
NL,LU,2003-06,57222222.222222224
NL,LV,2003-06,0.0
NL,MT,2003-06,666666.6666666666
NL,PL,2003-06,16888888.888888888
NL,PT,2003-06,35222222.222222224
NL,RO,2003-06,7666666.666666667
NL,RU,2003-06,4444444.444444445
NL,SE,2003-06,84777777.77777779
NL,SI,2003-06,666666.6666666666
NL,SK,2003-06,1666666.6666666667
NL,UK,2003-06,770444444.4444444
NL,US,2003-06,973222222.2222222
NL,AT,2003-07,102333333.33333333
NL,BE,2003-07,543666666.6666666
NL,BG,2003-07,2000000.0
NL,BR,2003-07,333333.3333333333
NL,CA,2003-07,51000000.0
NL,CH,2003-07,216666666.66666666
NL,CN,2003-07,4333333.333333333
NL,CY,2003-07,1000000.0
NL,CZ,2003-07,64666666.66666667
NL,DE,2003-07,760000000.0
NL,DK,2003-07,73666666.66666667
NL,EE,2003-07,0.0
NL,ES,2003-07,212000000.0
NL,FI,2003-07,28666666.666666668
NL,FR,2003-07,457333333.3333333
NL,GR,2003-07,65000000.0
NL,HK,2003-07,3333333.3333333335
NL,HR,2003-07,1666666.6666666667
NL,HU,2003-07,3666666.6666666665
NL,IE,2003-07,23666666.666666668
NL,IN,2003-07,333333.3333333333
NL,IT,2003-07,191666666.66666666
NL,JP,2003-07,83666666.66666667
NL,LT,2003-07,4000000.0
NL,LU,2003-07,66333333.33333333
NL,LV,2003-07,0.0
NL,MT,2003-07,333333.3333333333
NL,PL,2003-07,18000000.0
NL,PT,2003-07,34666666.666666664
NL,RO,2003-07,7666666.666666667
NL,RU,2003-07,6000000.0
NL,SE,2003-07,90000000.0
NL,SI,2003-07,666666.6666666666
NL,SK,2003-07,1333333.3333333333
NL,UK,2003-07,766000000.0
NL,US,2003-07,947666666.6666666
NL,AT,2003-08,90555555.55555555
NL,BE,2003-08,553333333.3333334
NL,BG,2003-08,2000000.0
NL,BR,2003-08,888888.888888889
NL,CA,2003-08,44444444.44444445
NL,CH,2003-08,231222222.2222222
NL,CN,2003-08,3888888.888888889
NL,CY,2003-08,777777.7777777778
NL,CZ,2003-08,76555555.55555555
NL,DE,2003-08,788666666.6666666
NL,DK,2003-08,73000000.0
NL,EE,2003-08,222222.22222222222
NL,ES,2003-08,184555555.55555555
NL,FI,2003-08,29555555.555555556
NL,FR,2003-08,401444444.4444444
NL,GR,2003-08,46666666.666666664
NL,HK,2003-08,3333333.3333333335
NL,HR,2003-08,1222222.2222222222
NL,HU,2003-08,4111111.1111111115
NL,IE,2003-08,25555555.555555556
NL,IN,2003-08,222222.22222222225
NL,IT,2003-08,173444444.44444445
NL,JP,2003-08,103444444.44444445
NL,LT,2003-08,4000000.0
NL,LU,2003-08,56666666.666666664
NL,LV,2003-08,0.0
NL,MT,2003-08,333333.3333333333
NL,PL,2003-08,16666666.666666668
