reporter,partner,TIME_PERIOD,OBS_VALUE
PL,AT,2004-01,26599999.999999996
PL,BE,2004-01,26533333.333333332
PL,BG,2004-01,833333.3333333334
PL,BR,2004-01,-133333.33333333334
PL,CA,2004-01,6000000.0
PL,CH,2004-01,19066666.666666668
PL,CN,2004-01,500000.0
PL,CY,2004-01,2733333.333333333
PL,CZ,2004-01,21833333.333333332
PL,DE,2004-01,403099999.99999994
PL,DK,2004-01,22266666.666666664
PL,EE,2004-01,1466666.6666666667
PL,ES,2004-01,2166666.6666666665
PL,FI,2004-01,1033333.3333333335
PL,FR,2004-01,37600000.0
PL,GR,2004-01,566666.6666666666
PL,HK,2004-01,700000.0000000001
PL,HR,2004-01,833333.3333333334
PL,HU,2004-01,3766666.666666667
PL,IE,2004-01,15433333.333333332
PL,IN,2004-01,333333.3333333333
PL,IT,2004-01,31966666.666666668
PL,JP,2004-01,1466666.6666666667
PL,LT,2004-01,10400000.0
PL,LU,2004-01,-133333.33333333334
PL,LV,2004-01,5566666.666666666
PL,MT,2004-01,2366666.6666666665
PL,NL,2004-01,47800000.00000001
PL,PL,2004-01,0.0
PL,PT,2004-01,633333.3333333333
PL,RO,2004-01,1599999.9999999998
PL,RU,2004-01,37199999.99999999
PL,SE,2004-01,15133333.333333332
PL,SI,2004-01,0.0
PL,SK,2004-01,6366666.666666667
PL,UK,2004-01,76833333.33333333
PL,US,2004-01,57633333.333333336
PL,AT,2004-02,24944444.444444444
PL,BE,2004-02,22599999.999999996
PL,BG,2004-02,977777.7777777778
PL,BR,2004-02,-488888.88888888893
PL,CA,2004-02,6822222.222222222
PL,CH,2004-02,20466666.666666664
PL,CN,2004-02,877777.7777777779
PL,CY,2004-02,2988888.888888889
PL,CZ,2004-02,23022222.222222224
PL,DE,2004-02,394311111.1111111
PL,DK,2004-02,19277777.777777776
PL,EE,2004-02,1588888.8888888888
PL,ES,2004-02,2466666.6666666665
PL,FI,2004-02,977777.7777777779
PL,FR,2004-02,34100000.0
PL,GR,2004-02,777777.7777777778
PL,HK,2004-02,700000.0000000001
PL,HR,2004-02,888888.8888888889
PL,HU,2004-02,2988888.888888889
PL,IE,2004-02,16022222.222222222
PL,IN,2004-02,511111.11111111107
PL,IT,2004-02,26600000.000000004
PL,JP,2004-02,1566666.6666666667
PL,LT,2004-02,10444444.444444444
PL,LU,2004-02,-544444.4444444444
PL,LV,2004-02,5800000.0
PL,MT,2004-02,2144444.4444444445
PL,NL,2004-02,43933333.333333336
PL,PL,2004-02,0.0
PL,PT,2004-02,755555.5555555555
PL,RO,2004-02,2011111.111111111
PL,RU,2004-02,39355555.55555555
PL,SE,2004-02,14666666.666666666
PL,SI,2004-02,44444.444444444445
PL,SK,2004-02,8444444.444444444
PL,UK,2004-02,75944444.44444445
PL,US,2004-02,64000000.0
PL,AT,2004-03,23288888.88888889
PL,BE,2004-03,18666666.666666668
PL,BG,2004-03,1122222.2222222222
PL,BR,2004-03,-844444.4444444445
PL,CA,2004-03,7644444.444444445
PL,CH,2004-03,21866666.666666664
PL,CN,2004-03,1255555.5555555557
PL,CY,2004-03,3244444.444444444
PL,CZ,2004-03,24211111.111111112
PL,DE,2004-03,385522222.2222222
PL,DK,2004-03,16288888.888888888
PL,EE,2004-03,1711111.1111111112
PL,ES,2004-03,2766666.666666666
PL,FI,2004-03,922222.2222222221
PL,FR,2004-03,30599999.999999996
PL,GR,2004-03,988888.8888888889
PL,HK,2004-03,700000.0000000001
PL,HR,2004-03,944444.4444444445
PL,HU,2004-03,2211111.1111111115
PL,IE,2004-03,16611111.11111111
PL,IN,2004-03,688888.8888888888
PL,IT,2004-03,21233333.333333336
PL,JP,2004-03,1666666.6666666667
PL,LT,2004-03,10488888.888888888
PL,LU,2004-03,-955555.5555555554
PL,LV,2004-03,6033333.333333334
PL,MT,2004-03,1922222.2222222222
PL,NL,2004-03,40066666.66666667
PL,PL,2004-03,0.0
PL,PT,2004-03,877777.7777777778
PL,RO,2004-03,2422222.222222222
PL,RU,2004-03,41511111.11111111
PL,SE,2004-03,14200000.000000002
PL,SI,2004-03,88888.88888888889
PL,SK,2004-03,10522222.22222222
PL,UK,2004-03,75055555.55555555
PL,US,2004-03,70366666.66666666
PL,AT,2004-04,21633333.333333336
PL,BE,2004-04,14733333.333333334
PL,BG,2004-04,1266666.6666666665
PL,BR,2004-04,-1200000.0
PL,CA,2004-04,8466666.666666666
PL,CH,2004-04,23266666.666666664
PL,CN,2004-04,1633333.3333333335
PL,CY,2004-04,3500000.0
