reporter,partner,TIME_PERIOD,OBS_VALUE
PL,AT,2004-01,27566666.666666668
PL,BE,2004-01,23033333.333333332
PL,BG,2004-01,4200000.0
PL,BR,2004-01,133333.33333333334
PL,CA,2004-01,2166666.6666666665
PL,CH,2004-01,17433333.333333332
PL,CN,2004-01,1666666.6666666667
PL,CY,2004-01,3433333.3333333335
PL,CZ,2004-01,27566666.666666668
PL,DE,2004-01,202033333.33333334
PL,DK,2004-01,10266666.666666668
PL,EE,2004-01,500000.0
PL,ES,2004-01,6066666.666666666
PL,FI,2004-01,8733333.333333332
PL,FR,2004-01,37600000.0
PL,GR,2004-01,2866666.6666666665
PL,HK,2004-01,566666.6666666666
PL,HR,2004-01,566666.6666666666
PL,HU,2004-01,4133333.333333334
PL,IE,2004-01,10666666.666666666
PL,IN,2004-01,766666.6666666666
PL,IT,2004-01,30233333.333333336
PL,JP,2004-01,7033333.333333334
PL,LT,2004-01,2366666.6666666665
PL,LU,2004-01,5233333.333333333
PL,LV,2004-01,1533333.3333333333
PL,MT,2004-01,566666.6666666666
PL,NL,2004-01,34199999.99999999
PL,PL,2004-01,0.0
PL,PT,2004-01,2500000.0
PL,RO,2004-01,766666.6666666666
PL,RU,2004-01,17166666.666666668
PL,SE,2004-01,14033333.333333334
PL,SI,2004-01,333333.3333333333
PL,SK,2004-01,14033333.333333334
PL,UK,2004-01,77333333.33333333
PL,US,2004-01,79833333.33333333
PL,AT,2004-02,28422222.22222222
PL,BE,2004-02,21799999.999999996
PL,BG,2004-02,3533333.333333333
PL,BR,2004-02,88888.8888888889
PL,CA,2004-02,2866666.6666666665
PL,CH,2004-02,18400000.0
PL,CN,2004-02,1588888.8888888888
PL,CY,2004-02,6322222.222222223
PL,CZ,2004-02,28044444.444444448
PL,DE,2004-02,207122222.22222224
PL,DK,2004-02,13100000.0
PL,EE,2004-02,433333.3333333334
PL,ES,2004-02,6844444.444444444
PL,FI,2004-02,7411111.111111111
PL,FR,2004-02,38977777.77777778
PL,GR,2004-02,3688888.8888888885
PL,HK,2004-02,733333.3333333334
PL,HR,2004-02,1233333.3333333335
PL,HU,2004-02,4988888.888888889
PL,IE,2004-02,12299999.999999998
PL,IN,2004-02,677777.7777777778
PL,IT,2004-02,31433333.333333332
PL,JP,2004-02,7577777.777777778
PL,LT,2004-02,2977777.777777778
PL,LU,2004-02,5033333.333333333
PL,LV,2004-02,2088888.888888889
PL,MT,2004-02,611111.111111111
PL,NL,2004-02,37711111.11111111
PL,PL,2004-02,0.0
PL,PT,2004-02,1877777.777777778
PL,RO,2004-02,822222.2222222221
PL,RU,2004-02,18555555.555555552
PL,SE,2004-02,15088888.888888888
PL,SI,2004-02,388888.8888888889
PL,SK,2004-02,13477777.77777778
PL,UK,2004-02,77766666.66666667
PL,US,2004-02,85455555.55555557
PL,AT,2004-03,29277777.777777784
PL,BE,2004-03,20566666.666666668
PL,BG,2004-03,2866666.6666666665
PL,BR,2004-03,44444.44444444445
PL,CA,2004-03,3566666.6666666665
PL,CH,2004-03,19366666.666666668
PL,CN,2004-03,1511111.111111111
PL,CY,2004-03,9211111.11111111
PL,CZ,2004-03,28522222.222222224
PL,DE,2004-03,212211111.1111111
PL,DK,2004-03,15933333.333333332
PL,EE,2004-03,366666.6666666667
PL,ES,2004-03,7622222.222222223
PL,FI,2004-03,6088888.888888889
PL,FR,2004-03,40355555.55555555
PL,GR,2004-03,4511111.111111111
PL,HK,2004-03,900000.0
PL,HR,2004-03,1900000.0000000002
PL,HU,2004-03,5844444.444444445
PL,IE,2004-03,13933333.333333336
PL,IN,2004-03,588888.8888888889
PL,IT,2004-03,32633333.333333332
PL,JP,2004-03,8122222.222222222
PL,LT,2004-03,3588888.8888888885
PL,LU,2004-03,4833333.333333333
PL,LV,2004-03,2644444.4444444445
PL,MT,2004-03,655555.5555555555
PL,NL,2004-03,41222222.222222224
PL,PL,2004-03,0.0
PL,PT,2004-03,1255555.5555555557
PL,RO,2004-03,877777.7777777778
PL,RU,2004-03,19944444.444444448
PL,SE,2004-03,16144444.444444446
PL,SI,2004-03,444444.44444444444
PL,SK,2004-03,12922222.222222222
PL,UK,2004-03,78200000.0
PL,US,2004-03,91077777.77777778
PL,AT,2004-04,30133333.333333336
PL,BE,2004-04,19333333.333333332
PL,BG,2004-04,2199999.9999999995
PL,BR,2004-04,0.0
PL,CA,2004-04,4266666.666666667
PL,CH,2004-04,20333333.333333332
PL,CN,2004-04,1433333.3333333333
PL,CY,2004-04,12100000.0
PL,CZ,2004-04,29000000.0
PL,DE,2004-04,217299999.99999997
PL,DK,2004-04,18766666.666666664
PL,EE,2004-04,300000.0
PL,ES,2004-04,8400000.0
PL,FI,2004-04,4766666.666666667
PL,FR,2004-04,41733333.333333336
PL,GR,2004-04,5333333.333333333
PL,HK,2004-04,1066666.6666666667
PL,HR,2004-04,2566666.666666667
PL,HU,2004-04,6700000.0
PL,IE,2004-04,15566666.666666668
PL,IN,2004-04,500000.0
PL,IT,2004-04,33833333.333333336
PL,JP,2004-04,8666666.666666666
PL,LT,2004-04,4200000.0
PL,LU,2004-04,4633333.333333334
PL,LV,2004-04,3199999.9999999995
PL,MT,2004-04,700000.0000000001
PL,NL,2004-04,44733333.33333333
PL,PL,2004-04,0.0
PL,PT,2004-04,633333.3333333333
PL,RO,2004-04,933333.3333333333
PL,RU,2004-04,21333333.333333332
PL,SE,2004-04,17200000.0
PL,SI,2004-04,500000.0
PL,SK,2004-04,12366666.666666668
PL,UK,2004-04,78633333.33333334
PL,US,2004-04,96700000.0
PL,AT,2004-05,35311111.11111111
PL,BE,2004-05,18711111.111111112
PL,BG,2004-05,4955555.555555555
PL,BR,2004-05,77777.77777777777
PL,CA,2004-05,4300000.0
PL,CH,2004-05,23000000.0
PL,CN,2004-05,1755555.5555555555
PL,CY,2004-05,11055555.555555556
PL,CZ,2004-05,38744444.44444445
PL,DE,2004-05,222255555.55555555
PL,DK,2004-05,17288888.888888888
PL,EE,2004-05,755555.5555555555
PL,ES,2004-05,10122222.222222222
PL,FI,2004-05,4911111.111111111
PL,FR,2004-05,42288888.88888888
PL,GR,2004-05,7522222.222222222
PL,HK,2004-05,1133333.3333333333
PL,HR,2004-05,10277777.777777776
PL,HU,2004-05,8533333.333333334
PL,IE,2004-05,13766666.666666668
PL,IN,2004-05,488888.8888888889
PL,IT,2004-05,36466666.66666667
PL,JP,2004-05,8988888.888888888
PL,LT,2004-05,6311111.111111111
PL,LU,2004-05,5655555.555555556
PL,LV,2004-05,2933333.3333333335
PL,MT,2004-05,744444.4444444445
PL,NL,2004-05,43355555.55555555
PL,PL,2004-05,0.0
PL,PT,2004-05,1422222.2222222222
PL,RO,2004-05,1277777.7777777778
PL,RU,2004-05,21177777.777777776
PL,SE,2004-05,19077777.77777778
PL,SI,2004-05,633333.3333333334
PL,SK,2004-05,20455555.55555556
PL,UK,2004-05,78066666.66666667
PL,US,2004-05,94033333.33333334
PL,AT,2004-06,40488888.88888889
PL,BE,2004-06,18088888.888888888
PL,BG,2004-06,7711111.111111111
PL,BR,2004-06,155555.55555555553
PL,CA,2004-06,4333333.333333333
PL,CH,2004-06,25666666.666666668
PL,CN,2004-06,2077777.777777778
PL,CY,2004-06,10011111.111111112
PL,CZ,2004-06,48488888.88888889
PL,DE,2004-06,227211111.1111111
PL,DK,2004-06,15811111.11111111
PL,EE,2004-06,1211111.111111111
PL,ES,2004-06,11844444.444444444
PL,FI,2004-06,5055555.555555555
PL,FR,2004-06,42844444.44444444
PL,GR,2004-06,9711111.11111111
PL,HK,2004-06,1200000.0
PL,HR,2004-06,17988888.888888888
PL,HU,2004-06,10366666.666666668
PL,IE,2004-06,11966666.666666666
PL,IN,2004-06,477777.7777777778
PL,IT,2004-06,39100000.0
PL,JP,2004-06,9311111.111111112
PL,LT,2004-06,8422222.222222222
PL,LU,2004-06,6677777.777777778
PL,LV,2004-06,2666666.6666666665
PL,MT,2004-06,788888.8888888889
PL,NL,2004-06,41977777.777777776
PL,PL,2004-06,0.0
PL,PT,2004-06,2211111.111111111
PL,RO,2004-06,1622222.2222222225
PL,RU,2004-06,21022222.222222224
PL,SE,2004-06,20955555.555555556
PL,SI,2004-06,766666.6666666667
PL,SK,2004-06,28544444.444444448
PL,UK,2004-06,77500000.0
PL,US,2004-06,91366666.66666667
PL,AT,2004-07,45666666.666666664
PL,BE,2004-07,17466666.666666664
PL,BG,2004-07,10466666.666666666
PL,BR,2004-07,233333.3333333333
PL,CA,2004-07,4366666.666666666
PL,CH,2004-07,28333333.333333332
PL,CN,2004-07,2400000.0
PL,CY,2004-07,8966666.666666666
PL,CZ,2004-07,58233333.33333333
PL,DE,2004-07,232166666.66666666
PL,DK,2004-07,14333333.333333334
PL,EE,2004-07,1666666.6666666667
PL,ES,2004-07,13566666.666666668
PL,FI,2004-07,5200000.0
PL,FR,2004-07,43400000.0
PL,GR,2004-07,11900000.0
PL,HK,2004-07,1266666.6666666665
PL,HR,2004-07,25700000.0
PL,HU,2004-07,12200000.000000002
PL,IE,2004-07,10166666.666666666
PL,IN,2004-07,466666.6666666666
PL,IT,2004-07,41733333.333333336
PL,JP,2004-07,9633333.333333332
PL,LT,2004-07,10533333.333333334
PL,LU,2004-07,7700000.0
PL,LV,2004-07,2400000.0
PL,MT,2004-07,833333.3333333334
PL,NL,2004-07,40600000.0
PL,PL,2004-07,0.0
PL,PT,2004-07,3000000.0
PL,RO,2004-07,1966666.6666666667
PL,RU,2004-07,20866666.666666668
PL,SE,2004-07,22833333.333333332
PL,SI,2004-07,900000.0
PL,SK,2004-07,36633333.333333336
PL,UK,2004-07,76933333.33333334
PL,US,2004-07,88700000.0
PL,AT,2004-08,44488888.88888889
PL,BE,2004-08,18000000.0
PL,BG,2004-08,7477777.777777777
PL,BR,2004-08,211111.11111111112
PL,CA,2004-08,4455555.555555556
PL,CH,2004-08,26844444.444444444
PL,CN,2004-08,2122222.222222222
PL,CY,2004-08,9388888.888888888
PL,CZ,2004-08,48377777.777777776
PL,DE,2004-08,230566666.6666667
PL,DK,2004-08,13255555.555555554
PL,EE,2004-08,1344444.4444444443
PL,ES,2004-08,12244444.444444446
PL,FI,2004-08,4988888.888888889
PL,FR,2004-08,42866666.666666664
PL,GR,2004-08,8877777.777777778
PL,HK,2004-08,1133333.3333333333
PL,HR,2004-08,17555555.555555552
PL,HU,2004-08,10966666.666666666
PL,IE,2004-08,9877777.777777778
PL,IN,2004-08,677777.7777777778
PL,IT,2004-08,39522222.22222222
PL,JP,2004-08,8233333.333333332
PL,LT,2004-08,8855555.555555556
PL,LU,2004-08,7155555.555555556
PL,LV,2004-08,2233333.3333333335
PL,MT,2004-08,788888.8888888889
PL,NL,2004-08,52577777.777777776
PL,PL,2004-08,0.0
PL,PT,2004-08,4077777.7777777775
PL,RO,2004-08,1655555.5555555557
PL,RU,2004-08,20711111.111111112
PL,SE,2004-08,22566666.666666668
PL,SI,2004-08,811111.1111111112
PL,SK,2004-08,27777777.777777784
PL,UK,2004-08,79022222.22222222
PL,US,2004-08,94011111.11111112
PL,AT,2004-09,43311111.11111111
PL,BE,2004-09,18533333.333333336
PL,BG,2004-09,4488888.888888888
PL,BR,2004-09,188888.88888888888
PL,CA,2004-09,4544444.444444444
PL,CH,2004-09,25355555.555555556
PL,CN,2004-09,1844444.4444444443
PL,CY,2004-09,9811111.111111112
PL,CZ,2004-09,38522222.22222222
PL,DE,2004-09,228966666.66666666
PL,DK,2004-09,12177777.777777778
PL,EE,2004-09,1022222.2222222221
PL,ES,2004-09,10922222.222222222
PL,FI,2004-09,4777777.777777778
PL,FR,2004-09,42333333.333333336
PL,GR,2004-09,5855555.555555555
PL,HK,2004-09,1000000.0
PL,HR,2004-09,9411111.11111111
PL,HU,2004-09,9733333.333333332
PL,IE,2004-09,9588888.888888888
PL,IN,2004-09,888888.8888888889
PL,IT,2004-09,37311111.11111111
PL,JP,2004-09,6833333.333333333
PL,LT,2004-09,7177777.777777777
PL,LU,2004-09,6611111.111111111
PL,LV,2004-09,2066666.666666667
PL,MT,2004-09,744444.4444444445
PL,NL,2004-09,64555555.55555556
PL,PL,2004-09,0.0
PL,PT,2004-09,5155555.555555555
PL,RO,2004-09,1344444.4444444443
PL,RU,2004-09,20555555.555555556
PL,SE,2004-09,22299999.999999996
PL,SI,2004-09,722222.2222222222
PL,SK,2004-09,18922222.222222224
PL,UK,2004-09,81111111.11111112
PL,US,2004-09,99322222.22222221
PL,AT,2004-10,42133333.333333336
PL,BE,2004-10,19066666.666666668
PL,BG,2004-10,1500000.0
PL,BR,2004-10,166666.66666666666
PL,CA,2004-10,4633333.333333334
PL,CH,2004-10,23866666.666666664
PL,CN,2004-10,1566666.6666666667
PL,CY,2004-10,10233333.333333332
PL,CZ,2004-10,28666666.666666668
PL,DE,2004-10,227366666.6666667
PL,DK,2004-10,11100000.0
PL,EE,2004-10,700000.0000000001
PL,ES,2004-10,9600000.0
PL,FI,2004-10,4566666.666666666
PL,FR,2004-10,41800000.00000001
PL,GR,2004-10,2833333.3333333335
PL,HK,2004-10,866666.6666666667
PL,HR,2004-10,1266666.6666666665
PL,HU,2004-10,8500000.0
PL,IE,2004-10,9299999.999999998
PL,IN,2004-10,1099999.9999999998
PL,IT,2004-10,35100000.0
PL,JP,2004-10,5433333.333333334
PL,LT,2004-10,5500000.0
PL,LU,2004-10,6066666.666666666
PL,LV,2004-10,1900000.0000000002
PL,MT,2004-10,700000.0000000001
PL,NL,2004-10,76533333.33333333
PL,PL,2004-10,0.0
PL,PT,2004-10,6233333.333333333
PL,RO,2004-10,1033333.3333333335
PL,RU,2004-10,20400000.000000004
PL,SE,2004-10,22033333.333333332
PL,SI,2004-10,633333.3333333333
PL,SK,2004-10,10066666.666666666
PL,UK,2004-10,83200000.0
PL,US,2004-10,104633333.33333333
PL,AT,2004-11,35811111.11111111
PL,BE,2004-11,20000000.0
PL,BG,2004-11,1577777.7777777778
PL,BR,2004-11,188888.88888888888
PL,CA,2004-11,4022222.222222222
PL,CH,2004-11,24077777.77777778
PL,CN,2004-11,1599999.9999999998
PL,CY,2004-11,8944444.444444444
PL,CZ,2004-11,31088888.888888888
PL,DE,2004-11,212722222.2222222
PL,DK,2004-11,11677777.777777778
PL,EE,2004-11,766666.6666666667
PL,ES,2004-11,9044444.444444444
PL,FI,2004-11,4588888.888888889
PL,FR,2004-11,43811111.11111111
PL,GR,2004-11,2611111.111111111
PL,HK,2004-11,877777.7777777778
PL,HR,2004-11,1066666.6666666667
PL,HU,2004-11,9144444.444444444
PL,IE,2004-11,8988888.888888888
PL,IN,2004-11,1011111.1111111111
PL,IT,2004-11,35677777.777777776
PL,JP,2004-11,5111111.111111112
PL,LT,2004-11,5488888.888888888
PL,LU,2004-11,6144444.444444445
PL,LV,2004-11,1933333.3333333333
PL,MT,2004-11,877777.7777777778
PL,NL,2004-11,66500000.0
PL,PL,2004-11,0.0
PL,PT,2004-11,4899999.999999999
PL,RO,2004-11,1133333.3333333333
PL,RU,2004-11,18844444.444444444
PL,SE,2004-11,21777777.777777776
PL,SI,2004-11,666666.6666666666
PL,SK,2004-11,11155555.555555556
PL,UK,2004-11,85933333.33333334
PL,US,2004-11,95222222.22222221
PL,AT,2004-12,29488888.88888889
PL,BE,2004-12,20933333.333333332
PL,BG,2004-12,1655555.5555555557
PL,BR,2004-12,211111.11111111112
PL,CA,2004-12,3411111.1111111115
PL,CH,2004-12,24288888.888888888
PL,CN,2004-12,1633333.3333333335
PL,CY,2004-12,7655555.555555556
PL,CZ,2004-12,33511111.111111112
PL,DE,2004-12,198077777.7777778
PL,DK,2004-12,12255555.555555554
PL,EE,2004-12,833333.3333333334
PL,ES,2004-12,8488888.888888888
PL,FI,2004-12,4611111.111111112
PL,FR,2004-12,45822222.222222224
PL,GR,2004-12,2388888.888888889
PL,HK,2004-12,888888.888888889
PL,HR,2004-12,866666.6666666666
PL,HU,2004-12,9788888.88888889
PL,IE,2004-12,8677777.77777778
PL,IN,2004-12,922222.2222222221
PL,IT,2004-12,36255555.55555555
PL,JP,2004-12,4788888.888888889
PL,LT,2004-12,5477777.777777778
PL,LU,2004-12,6222222.222222221
PL,LV,2004-12,1966666.6666666667
PL,MT,2004-12,1055555.5555555555
PL,NL,2004-12,56466666.66666667
PL,PL,2004-12,0.0
PL,PT,2004-12,3566666.6666666665
PL,RO,2004-12,1233333.3333333335
PL,RU,2004-12,17288888.888888888
PL,SE,2004-12,21522222.222222224
PL,SI,2004-12,700000.0000000001
PL,SK,2004-12,12244444.444444446
PL,UK,2004-12,88666666.66666667
PL,US,2004-12,85811111.11111112
PL,AT,2005-01,23166666.666666668
PL,BE,2005-01,21866666.666666664
PL,BG,2005-01,1733333.3333333335
PL,BR,2005-01,233333.3333333333
PL,CA,2005-01,2800000.0000000005
PL,CH,2005-01,24500000.0
PL,CN,2005-01,1666666.6666666667
PL,CY,2005-01,6366666.666666667
PL,CZ,2005-01,35933333.33333333
PL,DE,2005-01,183433333.3333333
PL,DK,2005-01,12833333.333333334
PL,EE,2005-01,900000.0
PL,ES,2005-01,7933333.333333334
PL,FI,2005-01,4633333.333333334
PL,FR,2005-01,47833333.333333336
PL,GR,2005-01,2166666.6666666665
PL,HK,2005-01,900000.0
PL,HR,2005-01,666666.6666666666
PL,HU,2005-01,10433333.333333334
PL,IE,2005-01,8366666.666666667
PL,IN,2005-01,833333.3333333334
PL,IT,2005-01,36833333.333333336
PL,JP,2005-01,4466666.666666667
PL,LT,2005-01,5466666.666666666
PL,LU,2005-01,6300000.0
PL,LV,2005-01,2000000.0
PL,MT,2005-01,1233333.3333333335
PL,NL,2005-01,46433333.333333336
PL,PL,2005-01,0.0
PL,PT,2005-01,2233333.3333333335
PL,RO,2005-01,1333333.3333333333
PL,RU,2005-01,15733333.333333334
PL,SE,2005-01,21266666.666666664
PL,SI,2005-01,733333.3333333334
PL,SK,2005-01,13333333.333333334
PL,UK,2005-01,91399999.99999999
PL,US,2005-01,76399999.99999999
PL,AT,2005-02,27088888.888888888
PL,BE,2005-02,20788888.888888888
PL,BG,2005-02,1588888.8888888888
PL,BR,2005-02,211111.11111111112
PL,CA,2005-02,3022222.222222222
PL,CH,2005-02,29788888.888888888
PL,CN,2005-02,1700000.0
PL,CY,2005-02,6122222.222222223
PL,CZ,2005-02,35600000.0
PL,DE,2005-02,211466666.66666666
PL,DK,2005-02,14200000.000000002
PL,EE,2005-02,900000.0
PL,ES,2005-02,7677777.777777778
PL,FI,2005-02,4966666.666666667
PL,FR,2005-02,49322222.222222224
PL,GR,2005-02,5188888.888888889
PL,HK,2005-02,1055555.5555555555
PL,HR,2005-02,788888.8888888889
PL,HU,2005-02,11066666.666666668
PL,IE,2005-02,11066666.666666668
PL,IN,2005-02,877777.7777777778
PL,IT,2005-02,37066666.66666667
PL,JP,2005-02,4322222.222222222
PL,LT,2005-02,6122222.222222223
PL,LU,2005-02,5844444.444444444
PL,LV,2005-02,2166666.6666666665
PL,MT,2005-02,1122222.2222222222
PL,NL,2005-02,61944444.44444445
PL,PL,2005-02,0.0
PL,PT,2005-02,2133333.3333333335
PL,RO,2005-02,1455555.5555555555
PL,RU,2005-02,17455555.555555556
PL,SE,2005-02,21066666.666666668
PL,SI,2005-02,1266666.6666666665
PL,SK,2005-02,12900000.0
PL,UK,2005-02,89455555.55555557
PL,US,2005-02,79211111.1111111
PL,AT,2005-03,31011111.11111111
PL,BE,2005-03,19711111.111111112
PL,BG,2005-03,1444444.4444444445
PL,BR,2005-03,188888.88888888888
PL,CA,2005-03,3244444.444444445
PL,CH,2005-03,35077777.777777776
PL,CN,2005-03,1733333.3333333335
PL,CY,2005-03,5877777.777777777
PL,CZ,2005-03,35266666.666666664
PL,DE,2005-03,239500000.0
PL,DK,2005-03,15566666.666666664
PL,EE,2005-03,900000.0
PL,ES,2005-03,7422222.222222222
PL,FI,2005-03,5300000.0
PL,FR,2005-03,50811111.11111111
PL,GR,2005-03,8211111.111111112
PL,HK,2005-03,1211111.111111111
PL,HR,2005-03,911111.1111111111
PL,HU,2005-03,11700000.000000002
PL,IE,2005-03,13766666.666666666
PL,IN,2005-03,922222.2222222221
PL,IT,2005-03,37300000.0
PL,JP,2005-03,4177777.777777778
PL,LT,2005-03,6777777.777777778
PL,LU,2005-03,5388888.888888889
PL,LV,2005-03,2333333.3333333335
PL,MT,2005-03,1011111.1111111112
PL,NL,2005-03,77455555.55555557
PL,PL,2005-03,0.0
PL,PT,2005-03,2033333.3333333333
PL,RO,2005-03,1577777.7777777778
PL,RU,2005-03,19177777.77777778
PL,SE,2005-03,20866666.666666668
PL,SI,2005-03,1800000.0
PL,SK,2005-03,12466666.666666666
PL,UK,2005-03,87511111.1111111
PL,US,2005-03,82022222.22222222
PL,AT,2005-04,34933333.33333333
PL,BE,2005-04,18633333.333333332
PL,BG,2005-04,1300000.0
PL,BR,2005-04,166666.66666666666
PL,CA,2005-04,3466666.666666667
PL,CH,2005-04,40366666.666666664
PL,CN,2005-04,1766666.6666666665
PL,CY,2005-04,5633333.333333333
PL,CZ,2005-04,34933333.33333333
PL,DE,2005-04,267533333.33333337
PL,DK,2005-04,16933333.333333332
PL,EE,2005-04,900000.0
PL,ES,2005-04,7166666.666666667
PL,FI,2005-04,5633333.333333333
PL,FR,2005-04,52300000.00000001
PL,GR,2005-04,11233333.333333334
PL,HK,2005-04,1366666.6666666665
PL,HR,2005-04,1033333.3333333335
PL,HU,2005-04,12333333.333333334
PL,IE,2005-04,16466666.666666664
PL,IN,2005-04,966666.6666666666
PL,IT,2005-04,37533333.33333333
PL,JP,2005-04,4033333.333333333
PL,LT,2005-04,7433333.333333334
PL,LU,2005-04,4933333.333333334
PL,LV,2005-04,2500000.0
PL,MT,2005-04,900000.0
PL,NL,2005-04,92966666.66666666
PL,PL,2005-04,0.0
PL,PT,2005-04,1933333.3333333333
PL,RO,2005-04,1700000.0
PL,RU,2005-04,20900000.000000004
PL,SE,2005-04,20666666.666666668
PL,SI,2005-04,2333333.3333333335
PL,SK,2005-04,12033333.333333334
PL,UK,2005-04,85566666.66666666
PL,US,2005-04,84833333.33333333
PL,AT,2005-05,39077777.777777776
PL,BE,2005-05,20277777.77777778
PL,BG,2005-05,5733333.333333333
PL,BR,2005-05,222222.22222222222
PL,CA,2005-05,4911111.111111111
PL,CH,2005-05,39133333.333333336
PL,CN,2005-05,1866666.6666666665
PL,CY,2005-05,5833333.333333333
PL,CZ,2005-05,38722222.222222224
PL,DE,2005-05,269844444.4444444
PL,DK,2005-05,16677777.777777778
PL,EE,2005-05,933333.3333333335
PL,ES,2005-05,11388888.888888888
PL,FI,2005-05,5911111.11111111
PL,FR,2005-05,55266666.66666667
PL,GR,2005-05,10866666.666666668
PL,HK,2005-05,1322222.2222222222
PL,HR,2005-05,12855555.555555556
PL,HU,2005-05,12566666.666666668
PL,IE,2005-05,16588888.888888888
PL,IN,2005-05,1000000.0
PL,IT,2005-05,37711111.11111111
PL,JP,2005-05,4488888.888888889
PL,LT,2005-05,8166666.666666666
PL,LU,2005-05,6022222.222222222
PL,LV,2005-05,2388888.888888889
PL,MT,2005-05,1100000.0
