reporter,partner,TIME_PERIOD,OBS_VALUE
PT,AT,1996-01,3666666.6666666665
PT,BE,1996-01,27333333.333333332
PT,BG,1996-01,0.0
PT,BR,1996-01,10000000.0
PT,CA,1996-01,13333333.333333334
PT,CH,1996-01,18000000.0
PT,CN,1996-01,0.0
PT,CY,1996-01,333333.3333333333
PT,CZ,1996-01,0.0
PT,DE,1996-01,79000000.0
PT,DK,1996-01,4333333.333333333
PT,EE,1996-01,0.0
PT,ES,1996-01,50666666.666666664
PT,FI,1996-01,2000000.0
PT,FR,1996-01,60333333.333333336
PT,GR,1996-01,1333333.3333333333
PT,HR,1996-01,0.0
PT,HU,1996-01,0.0
PT,IE,1996-01,2000000.0
PT,IN,1996-01,333333.3333333333
PT,IT,1996-01,14333333.333333334
PT,JP,1996-01,3666666.6666666665
PT,LT,1996-01,0.0
PT,LU,1996-01,333333.3333333333
PT,LV,1996-01,0.0
PT,MT,1996-01,0.0
PT,NL,1996-01,15000000.0
PT,PL,1996-01,333333.3333333333
PT,RO,1996-01,0.0
PT,RU,1996-01,0.0
PT,SE,1996-01,4000000.0
PT,SI,1996-01,0.0
PT,SK,1996-01,0.0
PT,UK,1996-01,58000000.0
PT,US,1996-01,41333333.333333336
PT,AT,1996-02,4000000.0
PT,BE,1996-02,28000000.0
PT,BG,1996-02,0.0
PT,BR,1996-02,11555555.555555556
PT,CA,1996-02,13555555.555555556
PT,CH,1996-02,18444444.444444448
PT,CN,1996-02,0.0
PT,CY,1996-02,333333.3333333333
PT,CZ,1996-02,0.0
PT,DE,1996-02,82777777.77777779
PT,DK,1996-02,4444444.444444445
PT,EE,1996-02,0.0
PT,ES,1996-02,53444444.44444445
PT,FI,1996-02,2000000.0
PT,FR,1996-02,63666666.666666664
PT,GR,1996-02,1222222.222222222
PT,HR,1996-02,0.0
PT,HU,1996-02,0.0
PT,IE,1996-02,2333333.3333333335
PT,IN,1996-02,222222.22222222225
PT,IT,1996-02,14555555.555555556
PT,JP,1996-02,3555555.5555555555
PT,LT,1996-02,0.0
PT,LU,1996-02,222222.22222222225
PT,LV,1996-02,0.0
PT,MT,1996-02,0.0
PT,NL,1996-02,15777777.777777778
PT,PL,1996-02,222222.22222222225
PT,RO,1996-02,0.0
PT,RU,1996-02,0.0
PT,SE,1996-02,4222222.222222222
PT,SI,1996-02,0.0
PT,SK,1996-02,0.0
PT,UK,1996-02,64888888.88888889
PT,US,1996-02,42222222.222222224
