reporter,partner,TIME_PERIOD,OBS_VALUE
PT,AT,1996-01,2333333.3333333335
PT,BE,1996-01,29333333.333333332
PT,BG,1996-01,333333.3333333333
PT,BR,1996-01,9000000.0
PT,CA,1996-01,5000000.0
PT,CH,1996-01,17000000.0
PT,CN,1996-01,666666.6666666666
PT,CY,1996-01,333333.3333333333
PT,CZ,1996-01,333333.3333333333
PT,DE,1996-01,44000000.0
PT,DK,1996-01,2000000.0
PT,EE,1996-01,0.0
PT,ES,1996-01,49666666.666666664
PT,FI,1996-01,1333333.3333333333
PT,FR,1996-01,53000000.0
PT,GR,1996-01,666666.6666666666
PT,HR,1996-01,0.0
PT,HU,1996-01,333333.3333333333
PT,IE,1996-01,1666666.6666666667
PT,IN,1996-01,666666.6666666666
PT,IT,1996-01,16000000.0
PT,JP,1996-01,2666666.6666666665
PT,LT,1996-01,0.0
PT,LU,1996-01,666666.6666666666
PT,LV,1996-01,0.0
PT,MT,1996-01,666666.6666666666
PT,NL,1996-01,15666666.666666666
PT,PL,1996-01,333333.3333333333
PT,RO,1996-01,0.0
PT,RU,1996-01,666666.6666666666
PT,SE,1996-01,3000000.0
PT,SI,1996-01,0.0
PT,SK,1996-01,0.0
PT,UK,1996-01,44666666.666666664
PT,US,1996-01,39000000.0
PT,AT,1996-02,2333333.3333333335
PT,BE,1996-02,28444444.444444444
PT,BG,1996-02,333333.3333333333
PT,BR,1996-02,9222222.222222224
PT,CA,1996-02,5111111.111111112
PT,CH,1996-02,19888888.888888888
PT,CN,1996-02,666666.6666666666
PT,CY,1996-02,222222.22222222225
PT,CZ,1996-02,333333.3333333333
PT,DE,1996-02,44111111.11111111
PT,DK,1996-02,2111111.111111111
PT,EE,1996-02,0.0
PT,ES,1996-02,51222222.222222224
PT,FI,1996-02,1333333.3333333333
PT,FR,1996-02,53333333.333333336
PT,GR,1996-02,777777.7777777778
PT,HR,1996-02,0.0
PT,HU,1996-02,333333.3333333333
PT,IE,1996-02,1777777.7777777778
PT,IN,1996-02,666666.6666666666
PT,IT,1996-02,16777777.77777778
PT,JP,1996-02,2666666.6666666665
PT,LT,1996-02,0.0
PT,LU,1996-02,666666.6666666666
PT,LV,1996-02,0.0
PT,MT,1996-02,555555.5555555556
PT,NL,1996-02,14888888.888888888
PT,PL,1996-02,333333.3333333333
PT,RO,1996-02,0.0
PT,RU,1996-02,666666.6666666666
PT,SE,1996-02,3000000.0
PT,SI,1996-02,0.0
PT,SK,1996-02,0.0
PT,UK,1996-02,45666666.666666664
