reporter,partner,TIME_PERIOD,OBS_VALUE
RO,AT,2006-01,0.0
RO,BE,2006-01,0.0
RO,BG,2006-01,0.0
RO,BR,2006-01,0.0
RO,CA,2006-01,0.0
RO,CH,2006-01,0.0
RO,CN,2006-01,0.0
RO,CY,2006-01,0.0
RO,CZ,2006-01,0.0
RO,DE,2006-01,0.0
RO,DK,2006-01,0.0
RO,EE,2006-01,0.0
RO,ES,2006-01,0.0
RO,FI,2006-01,0.0
RO,FR,2006-01,0.0
RO,GR,2006-01,0.0
RO,HK,2006-01,0.0
RO,HR,2006-01,0.0
RO,HU,2006-01,0.0
RO,IE,2006-01,0.0
RO,IN,2006-01,0.0
RO,IT,2006-01,0.0
RO,JP,2006-01,0.0
RO,LT,2006-01,0.0
RO,LU,2006-01,0.0
RO,LV,2006-01,0.0
RO,MT,2006-01,0.0
RO,NL,2006-01,0.0
RO,PL,2006-01,0.0
RO,PT,2006-01,0.0
RO,RO,2006-01,0.0
RO,RU,2006-01,0.0
RO,SE,2006-01,0.0
RO,SI,2006-01,0.0
RO,SK,2006-01,0.0
RO,UK,2006-01,0.0
RO,US,2006-01,0.0
RO,AT,2006-02,0.0
RO,BE,2006-02,0.0
RO,BG,2006-02,386111.1111111111
RO,BR,2006-02,8333.333333333334
RO,CA,2006-02,788888.8888888889
RO,CH,2006-02,2408333.3333333335
RO,CN,2006-02,280555.55555555556
RO,CY,2006-02,0.0
RO,CZ,2006-02,666666.6666666666
RO,DE,2006-02,0.0
RO,DK,2006-02,491666.6666666666
RO,EE,2006-02,0.0
RO,ES,2006-02,0.0
RO,FI,2006-02,0.0
RO,FR,2006-02,0.0
RO,GR,2006-02,0.0
RO,HK,2006-02,105555.55555555556
RO,HR,2006-02,49999.99999999999
RO,HU,2006-02,2250000.0
RO,IE,2006-02,0.0
RO,IN,2006-02,97222.22222222222
RO,IT,2006-02,0.0
RO,JP,2006-02,205555.55555555556
RO,LT,2006-02,16666.666666666668
RO,LU,2006-02,0.0
RO,LV,2006-02,4861.11111111111
RO,MT,2006-02,0.0
RO,NL,2006-02,0.0
RO,PL,2006-02,427777.7777777778
RO,PT,2006-02,0.0
RO,RO,2006-02,0.0
RO,RU,2006-02,566666.6666666666
RO,SE,2006-02,650000.0
RO,SI,2006-02,0.0
RO,SK,2006-02,0.0
RO,UK,2006-02,6169444.444444444
RO,US,2006-02,4297222.222222222
RO,AT,2006-03,0.0
RO,BE,2006-03,0.0
RO,BG,2006-03,772222.2222222222
RO,BR,2006-03,16666.666666666668
RO,CA,2006-03,1577777.7777777778
RO,CH,2006-03,4816666.666666667
RO,CN,2006-03,561111.1111111111
RO,CY,2006-03,0.0
RO,CZ,2006-03,1333333.3333333333
RO,DE,2006-03,0.0
RO,DK,2006-03,983333.3333333333
RO,EE,2006-03,0.0
RO,ES,2006-03,0.0
RO,FI,2006-03,0.0
RO,FR,2006-03,0.0
RO,GR,2006-03,0.0
RO,HK,2006-03,211111.11111111112
RO,HR,2006-03,99999.99999999999
RO,HU,2006-03,4500000.0
RO,IE,2006-03,0.0
RO,IN,2006-03,194444.44444444444
RO,IT,2006-03,0.0
RO,JP,2006-03,411111.1111111111
RO,LT,2006-03,33333.333333333336
RO,LU,2006-03,0.0
RO,LV,2006-03,9722.22222222222
RO,MT,2006-03,0.0
RO,NL,2006-03,0.0
RO,PL,2006-03,855555.5555555556
RO,PT,2006-03,0.0
RO,RO,2006-03,0.0
