reporter,partner,TIME_PERIOD,OBS_VALUE
RO,AT,2006-01,0.0
RO,BE,2006-01,0.0
RO,BG,2006-01,0.0
RO,BR,2006-01,0.0
RO,CA,2006-01,0.0
RO,CH,2006-01,0.0
RO,CN,2006-01,0.0
RO,CY,2006-01,0.0
RO,CZ,2006-01,0.0
RO,DE,2006-01,0.0
RO,DK,2006-01,0.0
RO,EE,2006-01,0.0
RO,ES,2006-01,0.0
RO,FI,2006-01,0.0
RO,FR,2006-01,0.0
RO,GR,2006-01,0.0
RO,HK,2006-01,0.0
RO,HR,2006-01,0.0
RO,HU,2006-01,0.0
RO,IE,2006-01,0.0
RO,IN,2006-01,0.0
RO,IT,2006-01,0.0
RO,JP,2006-01,0.0
RO,LT,2006-01,0.0
RO,LU,2006-01,0.0
RO,LV,2006-01,0.0
RO,MT,2006-01,0.0
RO,NL,2006-01,0.0
RO,PL,2006-01,0.0
RO,PT,2006-01,0.0
RO,RO,2006-01,0.0
RO,RU,2006-01,0.0
RO,SE,2006-01,0.0
RO,SI,2006-01,0.0
RO,SK,2006-01,0.0
RO,UK,2006-01,0.0
RO,US,2006-01,0.0
RO,AT,2006-02,0.0
RO,BE,2006-02,0.0
RO,BG,2006-02,541666.6666666666
RO,BR,2006-02,49999.99999999999
RO,CA,2006-02,500000.0
RO,CH,2006-02,969444.4444444445
RO,CN,2006-02,591666.6666666666
RO,CY,2006-02,0.0
RO,CZ,2006-02,755555.5555555555
RO,DE,2006-02,0.0
RO,DK,2006-02,105555.55555555556
RO,EE,2006-02,0.0
RO,ES,2006-02,0.0
RO,FI,2006-02,0.0
RO,FR,2006-02,0.0
RO,GR,2006-02,0.0
RO,HK,2006-02,97222.22222222222
RO,HR,2006-02,247222.22222222222
RO,HU,2006-02,2202777.777777778
RO,IE,2006-02,0.0
RO,IN,2006-02,33333.333333333336
RO,IT,2006-02,0.0
RO,JP,2006-02,24999.999999999996
RO,LT,2006-02,16666.666666666668
RO,LU,2006-02,0.0
RO,LV,2006-02,23611.11111111111
RO,MT,2006-02,0.0
RO,NL,2006-02,0.0
RO,PL,2006-02,666666.6666666666
RO,PT,2006-02,0.0
RO,RO,2006-02,105555.55555555556
RO,RU,2006-02,1519444.4444444445
RO,SE,2006-02,288888.88888888893
RO,SI,2006-02,0.0
RO,SK,2006-02,0.0
RO,UK,2006-02,2563888.8888888885
RO,US,2006-02,1125000.0
RO,AT,2006-03,0.0
RO,BE,2006-03,0.0
RO,BG,2006-03,1083333.3333333333
RO,BR,2006-03,99999.99999999999
RO,CA,2006-03,1000000.0
RO,CH,2006-03,1938888.888888889
RO,CN,2006-03,1183333.3333333333
RO,CY,2006-03,0.0
RO,CZ,2006-03,1511111.111111111
RO,DE,2006-03,0.0
RO,DK,2006-03,211111.11111111112
RO,EE,2006-03,0.0
RO,ES,2006-03,0.0
RO,FI,2006-03,0.0
RO,FR,2006-03,0.0
RO,GR,2006-03,0.0
RO,HK,2006-03,194444.44444444444
RO,HR,2006-03,494444.44444444444
RO,HU,2006-03,4405555.555555556
RO,IE,2006-03,0.0
RO,IN,2006-03,66666.66666666667
RO,IT,2006-03,0.0
RO,JP,2006-03,49999.99999999999
RO,LT,2006-03,33333.333333333336
RO,LU,2006-03,0.0
RO,LV,2006-03,47222.22222222222
RO,MT,2006-03,0.0
RO,NL,2006-03,0.0
RO,PL,2006-03,1333333.3333333333
RO,PT,2006-03,0.0
RO,RO,2006-03,211111.11111111112
