reporter,partner,TIME_PERIOD,OBS_VALUE
SI,AT,2008-01,54333333.333333336
SI,BE,2008-01,6000000.0
SI,BG,2008-01,1333333.3333333333
SI,BR,2008-01,0.0
SI,CA,2008-01,1000000.0
SI,CH,2008-01,13666666.666666666
SI,CN,2008-01,333333.3333333333
SI,CY,2008-01,1000000.0
SI,CZ,2008-01,4666666.666666667
SI,DE,2008-01,40666666.666666664
SI,DK,2008-01,2000000.0
SI,EE,2008-01,0.0
SI,ES,2008-01,2666666.6666666665
SI,FI,2008-01,1000000.0
SI,FR,2008-01,12000000.0
SI,GR,2008-01,666666.6666666666
SI,HK,2008-01,333333.3333333333
SI,HR,2008-01,44333333.333333336
SI,HU,2008-01,13666666.666666666
SI,IE,2008-01,2666666.6666666665
SI,IN,2008-01,0.0
SI,IT,2008-01,69666666.66666667
SI,JP,2008-01,1000000.0
SI,LT,2008-01,333333.3333333333
SI,LU,2008-01,1333333.3333333333
SI,LV,2008-01,0.0
SI,MT,2008-01,333333.3333333333
SI,NL,2008-01,7666666.666666667
SI,PL,2008-01,3666666.6666666665
SI,PT,2008-01,666666.6666666666
SI,RO,2008-01,2333333.3333333335
SI,RU,2008-01,12000000.0
SI,SE,2008-01,2666666.6666666665
SI,SK,2008-01,2666666.6666666665
SI,UK,2008-01,14333333.333333334
SI,US,2008-01,6333333.333333333
SI,AT,2008-02,60888888.88888889
SI,BE,2008-02,7111111.111111111
SI,BG,2008-02,1333333.3333333333
SI,BR,2008-02,0.0
SI,CA,2008-02,2000000.0
SI,CH,2008-02,14777777.777777778
SI,CN,2008-02,333333.3333333333
SI,CY,2008-02,888888.8888888889
SI,CZ,2008-02,5555555.555555556
SI,DE,2008-02,45666666.666666664
SI,DK,2008-02,2222222.2222222225
SI,EE,2008-02,0.0
SI,ES,2008-02,2777777.777777778
SI,FI,2008-02,1222222.222222222
SI,FR,2008-02,12444444.444444444
SI,GR,2008-02,777777.7777777778
SI,HK,2008-02,333333.3333333333
SI,HR,2008-02,42777777.777777776
SI,HU,2008-02,13888888.888888888
SI,IE,2008-02,2888888.888888889
SI,IN,2008-02,0.0
SI,IT,2008-02,73444444.44444445
SI,JP,2008-02,1000000.0
SI,LT,2008-02,333333.3333333333
SI,LU,2008-02,1111111.1111111112
SI,LV,2008-02,111111.11111111111
SI,MT,2008-02,222222.22222222225
SI,NL,2008-02,8333333.333333334
SI,PL,2008-02,3888888.888888889
SI,PT,2008-02,555555.5555555556
SI,RO,2008-02,2555555.555555556
SI,RU,2008-02,12000000.0
SI,SE,2008-02,3000000.0
SI,SK,2008-02,2777777.777777778
SI,UK,2008-02,13888888.888888888
SI,US,2008-02,6444444.444444444
SI,AT,2008-03,67444444.44444445
SI,BE,2008-03,8222222.222222223
SI,BG,2008-03,1333333.3333333333
SI,BR,2008-03,0.0
SI,CA,2008-03,3000000.0
SI,CH,2008-03,15888888.888888888
SI,CN,2008-03,333333.3333333333
SI,CY,2008-03,777777.7777777778
SI,CZ,2008-03,6444444.444444444
SI,DE,2008-03,50666666.666666664
SI,DK,2008-03,2444444.444444444
SI,EE,2008-03,0.0
SI,ES,2008-03,2888888.888888889
SI,FI,2008-03,1444444.4444444445
SI,FR,2008-03,12888888.888888888
SI,GR,2008-03,888888.8888888889
SI,HK,2008-03,333333.3333333333
SI,HR,2008-03,41222222.222222224
SI,HU,2008-03,14111111.111111112
SI,IE,2008-03,3111111.111111111
SI,IN,2008-03,0.0
SI,IT,2008-03,77222222.22222221
SI,JP,2008-03,1000000.0
SI,LT,2008-03,333333.3333333333
SI,LU,2008-03,888888.888888889
SI,LV,2008-03,222222.22222222222
SI,MT,2008-03,111111.11111111112
SI,NL,2008-03,9000000.0
SI,PL,2008-03,4111111.1111111115
SI,PT,2008-03,444444.4444444445
SI,RO,2008-03,2777777.777777778
SI,RU,2008-03,12000000.0
SI,SE,2008-03,3333333.3333333335
SI,SK,2008-03,2888888.888888889
SI,UK,2008-03,13444444.444444444
SI,US,2008-03,6555555.555555556
SI,AT,2008-04,74000000.0
SI,BE,2008-04,9333333.333333334
SI,BG,2008-04,1333333.3333333333
SI,BR,2008-04,0.0
SI,CA,2008-04,4000000.0
SI,CH,2008-04,17000000.0
SI,CN,2008-04,333333.3333333333
SI,CY,2008-04,666666.6666666666
SI,CZ,2008-04,7333333.333333333
SI,DE,2008-04,55666666.666666664
SI,DK,2008-04,2666666.6666666665
SI,EE,2008-04,0.0
SI,ES,2008-04,3000000.0
SI,FI,2008-04,1666666.6666666667
SI,FR,2008-04,13333333.333333334
SI,GR,2008-04,1000000.0
SI,HK,2008-04,333333.3333333333
SI,HR,2008-04,39666666.666666664
SI,HU,2008-04,14333333.333333334
SI,IE,2008-04,3333333.3333333335
SI,IN,2008-04,0.0
SI,IT,2008-04,81000000.0
SI,JP,2008-04,1000000.0
SI,LT,2008-04,333333.3333333333
SI,LU,2008-04,666666.6666666666
SI,LV,2008-04,333333.3333333333
SI,MT,2008-04,0.0
SI,NL,2008-04,9666666.666666666
SI,PL,2008-04,4333333.333333333
SI,PT,2008-04,333333.3333333333
SI,RO,2008-04,3000000.0
SI,RU,2008-04,12000000.0
SI,SE,2008-04,3666666.6666666665
SI,SK,2008-04,3000000.0
SI,UK,2008-04,13000000.0
SI,US,2008-04,6666666.666666667
SI,AT,2008-05,74555555.55555555
SI,BE,2008-05,10555555.555555556
SI,BG,2008-05,1333333.3333333333
SI,BR,2008-05,0.0
SI,CA,2008-05,3444444.4444444445
SI,CH,2008-05,16888888.888888888
SI,CN,2008-05,444444.44444444444
SI,CY,2008-05,1000000.0
SI,CZ,2008-05,7555555.555555556
SI,DE,2008-05,57000000.0
SI,DK,2008-05,2888888.888888889
SI,EE,2008-05,111111.11111111111
SI,ES,2008-05,3333333.3333333335
SI,FI,2008-05,1888888.888888889
SI,FR,2008-05,14222222.222222222
SI,GR,2008-05,1000000.0
SI,HK,2008-05,333333.3333333333
SI,HR,2008-05,39222222.222222224
SI,HU,2008-05,15000000.0
SI,IE,2008-05,3222222.222222222
SI,IN,2008-05,0.0
SI,IT,2008-05,84111111.11111112
SI,JP,2008-05,1000000.0
SI,LT,2008-05,444444.44444444444
SI,LU,2008-05,777777.7777777778
SI,LV,2008-05,333333.3333333333
SI,MT,2008-05,111111.11111111111
SI,NL,2008-05,11000000.0
SI,PL,2008-05,4888888.888888888
SI,PT,2008-05,444444.44444444444
SI,RO,2008-05,3000000.0
SI,RU,2008-05,14000000.0
SI,SE,2008-05,4000000.0
SI,SK,2008-05,3000000.0
SI,UK,2008-05,13666666.666666666
SI,US,2008-05,6666666.666666667
SI,AT,2008-06,75111111.11111112
SI,BE,2008-06,11777777.777777778
SI,BG,2008-06,1333333.3333333333
SI,BR,2008-06,0.0
SI,CA,2008-06,2888888.888888889
SI,CH,2008-06,16777777.77777778
SI,CN,2008-06,555555.5555555555
SI,CY,2008-06,1333333.3333333333
SI,CZ,2008-06,7777777.777777778
SI,DE,2008-06,58333333.333333336
SI,DK,2008-06,3111111.111111111
SI,EE,2008-06,222222.22222222222
SI,ES,2008-06,3666666.6666666665
SI,FI,2008-06,2111111.111111111
SI,FR,2008-06,15111111.111111112
SI,GR,2008-06,1000000.0
SI,HK,2008-06,333333.3333333333
SI,HR,2008-06,38777777.777777776
SI,HU,2008-06,15666666.666666666
SI,IE,2008-06,3111111.111111111
SI,IN,2008-06,0.0
SI,IT,2008-06,87222222.22222222
SI,JP,2008-06,1000000.0
SI,LT,2008-06,555555.5555555555
SI,LU,2008-06,888888.8888888889
SI,LV,2008-06,333333.3333333333
SI,MT,2008-06,222222.22222222222
SI,NL,2008-06,12333333.333333334
SI,PL,2008-06,5444444.444444444
SI,PT,2008-06,555555.5555555555
SI,RO,2008-06,3000000.0
SI,RU,2008-06,16000000.0
SI,SE,2008-06,4333333.333333333
SI,SK,2008-06,3000000.0
SI,UK,2008-06,14333333.333333334
SI,US,2008-06,6666666.666666667
SI,AT,2008-07,75666666.66666667
SI,BE,2008-07,13000000.0
SI,BG,2008-07,1333333.3333333333
SI,BR,2008-07,0.0
SI,CA,2008-07,2333333.3333333335
SI,CH,2008-07,16666666.666666668
SI,CN,2008-07,666666.6666666666
SI,CY,2008-07,1666666.6666666667
SI,CZ,2008-07,8000000.0
SI,DE,2008-07,59666666.666666664
SI,DK,2008-07,3333333.3333333335
SI,EE,2008-07,333333.3333333333
SI,ES,2008-07,4000000.0
SI,FI,2008-07,2333333.3333333335
SI,FR,2008-07,16000000.0
SI,GR,2008-07,1000000.0
SI,HK,2008-07,333333.3333333333
SI,HR,2008-07,38333333.333333336
SI,HU,2008-07,16333333.333333332
SI,IE,2008-07,3000000.0
SI,IN,2008-07,0.0
SI,IT,2008-07,90333333.33333333
SI,JP,2008-07,1000000.0
SI,LT,2008-07,666666.6666666666
SI,LU,2008-07,1000000.0
SI,LV,2008-07,333333.3333333333
SI,MT,2008-07,333333.3333333333
SI,NL,2008-07,13666666.666666666
SI,PL,2008-07,6000000.0
SI,PT,2008-07,666666.6666666666
SI,RO,2008-07,3000000.0
SI,RU,2008-07,18000000.0
SI,SE,2008-07,4666666.666666667
SI,SK,2008-07,3000000.0
SI,UK,2008-07,15000000.0
SI,US,2008-07,6666666.666666667
SI,AT,2008-08,72666666.66666667
SI,BE,2008-08,12000000.0
SI,BG,2008-08,1333333.3333333333
SI,BR,2008-08,0.0
SI,CA,2008-08,1777777.7777777778
SI,CH,2008-08,17666666.666666668
SI,CN,2008-08,666666.6666666666
SI,CY,2008-08,1444444.4444444445
SI,CZ,2008-08,6777777.777777778
SI,DE,2008-08,56000000.0
SI,DK,2008-08,3000000.0
SI,EE,2008-08,222222.22222222225
SI,ES,2008-08,3444444.4444444445
SI,FI,2008-08,2000000.0
SI,FR,2008-08,15777777.777777778
SI,GR,2008-08,888888.8888888889
SI,HK,2008-08,333333.3333333333
SI,HR,2008-08,41111111.111111104
SI,HU,2008-08,15666666.666666666
SI,IE,2008-08,2666666.6666666665
SI,IN,2008-08,222222.22222222222
SI,IT,2008-08,86000000.0
SI,JP,2008-08,1000000.0
SI,LT,2008-08,555555.5555555556
SI,LU,2008-08,888888.8888888889
SI,LV,2008-08,333333.3333333333
SI,MT,2008-08,333333.3333333333
SI,NL,2008-08,11777777.777777778
SI,PL,2008-08,5000000.0
SI,PT,2008-08,555555.5555555556
SI,RO,2008-08,3000000.0
SI,RU,2008-08,17111111.111111112
SI,SE,2008-08,3888888.888888889
SI,SK,2008-08,2777777.777777778
SI,UK,2008-08,14333333.333333334
SI,US,2008-08,6666666.666666667
SI,AT,2008-09,69666666.66666667
SI,BE,2008-09,11000000.0
SI,BG,2008-09,1333333.3333333333
SI,BR,2008-09,0.0
SI,CA,2008-09,1222222.222222222
SI,CH,2008-09,18666666.666666668
SI,CN,2008-09,666666.6666666666
SI,CY,2008-09,1222222.2222222222
SI,CZ,2008-09,5555555.555555556
SI,DE,2008-09,52333333.333333336
SI,DK,2008-09,2666666.6666666665
SI,EE,2008-09,111111.11111111112
SI,ES,2008-09,2888888.888888889
SI,FI,2008-09,1666666.6666666667
SI,FR,2008-09,15555555.555555556
SI,GR,2008-09,777777.7777777778
SI,HK,2008-09,333333.3333333333
SI,HR,2008-09,43888888.88888889
SI,HU,2008-09,15000000.0
SI,IE,2008-09,2333333.3333333335
SI,IN,2008-09,444444.44444444444
SI,IT,2008-09,81666666.66666667
SI,JP,2008-09,1000000.0
SI,LT,2008-09,444444.4444444445
SI,LU,2008-09,777777.7777777778
SI,LV,2008-09,333333.3333333333
SI,MT,2008-09,333333.3333333333
SI,NL,2008-09,9888888.888888888
SI,PL,2008-09,4000000.0
SI,PT,2008-09,444444.4444444445
SI,RO,2008-09,3000000.0
SI,RU,2008-09,16222222.222222222
SI,SE,2008-09,3111111.1111111105
SI,SK,2008-09,2555555.555555556
SI,UK,2008-09,13666666.666666666
SI,US,2008-09,6666666.666666667
SI,AT,2008-10,66666666.66666667
SI,BE,2008-10,10000000.0
SI,BG,2008-10,1333333.3333333333
SI,BR,2008-10,0.0
SI,CA,2008-10,666666.6666666666
SI,CH,2008-10,19666666.666666668
SI,CN,2008-10,666666.6666666666
SI,CY,2008-10,1000000.0
SI,CZ,2008-10,4333333.333333333
SI,DE,2008-10,48666666.666666664
SI,DK,2008-10,2333333.3333333335
SI,EE,2008-10,0.0
SI,ES,2008-10,2333333.3333333335
SI,FI,2008-10,1333333.3333333333
SI,FR,2008-10,15333333.333333334
SI,GR,2008-10,666666.6666666666
SI,HK,2008-10,333333.3333333333
SI,HR,2008-10,46666666.666666664
SI,HU,2008-10,14333333.333333334
SI,IE,2008-10,2000000.0
SI,IN,2008-10,666666.6666666666
SI,IT,2008-10,77333333.33333333
SI,JP,2008-10,1000000.0
SI,LT,2008-10,333333.3333333333
SI,LU,2008-10,666666.6666666666
SI,LV,2008-10,333333.3333333333
SI,MT,2008-10,333333.3333333333
SI,NL,2008-10,8000000.0
SI,PL,2008-10,3000000.0
SI,PT,2008-10,333333.3333333333
SI,RO,2008-10,3000000.0
SI,RU,2008-10,15333333.333333334
SI,SE,2008-10,2333333.3333333335
SI,SK,2008-10,2333333.3333333335
SI,UK,2008-10,13000000.0
SI,US,2008-10,6666666.666666667
SI,AT,2008-11,59011111.11111111
SI,BE,2008-11,8977777.777777778
SI,BG,2008-11,1311111.111111111
SI,BR,2008-11,33333.333333333336
SI,CA,2008-11,711111.1111111111
SI,CH,2008-11,18533333.333333336
SI,CN,2008-11,622222.2222222222
SI,CY,2008-11,788888.8888888889
SI,CZ,2008-11,4233333.333333333
SI,DE,2008-11,44199999.99999999
SI,DK,2008-11,2100000.0
SI,EE,2008-11,55555.555555555555
SI,ES,2008-11,2199999.9999999995
SI,FI,2008-11,1355555.5555555555
SI,FR,2008-11,13644444.444444446
SI,GR,2008-11,633333.3333333333
SI,HK,2008-11,377777.77777777775
SI,HR,2008-11,45566666.666666664
SI,HU,2008-11,14388888.888888888
SI,IE,2008-11,1911111.1111111112
SI,IN,2008-11,500000.0
SI,IT,2008-11,72533333.33333333
SI,JP,2008-11,922222.2222222221
SI,LT,2008-11,300000.0
SI,LU,2008-11,577777.7777777779
SI,LV,2008-11,255555.5555555556
SI,MT,2008-11,288888.88888888893
SI,NL,2008-11,7899999.999999999
SI,PL,2008-11,2900000.0
SI,PT,2008-11,333333.3333333333
SI,RO,2008-11,2633333.3333333335
SI,RU,2008-11,12344444.444444444
SI,SE,2008-11,2300000.0000000005
SI,SK,2008-11,2355555.5555555555
SI,UK,2008-11,13455555.555555556
SI,US,2008-11,6700000.0
SI,AT,2008-12,51355555.55555555
SI,BE,2008-12,7955555.555555556
SI,BG,2008-12,1288888.888888889
SI,BR,2008-12,66666.66666666667
SI,CA,2008-12,755555.5555555555
SI,CH,2008-12,17400000.0
SI,CN,2008-12,577777.7777777779
SI,CY,2008-12,577777.7777777779
SI,CZ,2008-12,4133333.333333334
SI,DE,2008-12,39733333.333333336
SI,DK,2008-12,1866666.666666667
SI,EE,2008-12,111111.11111111111
SI,ES,2008-12,2066666.666666667
SI,FI,2008-12,1377777.777777778
SI,FR,2008-12,11955555.555555556
SI,GR,2008-12,600000.0
SI,HK,2008-12,422222.22222222225
SI,HR,2008-12,44466666.66666667
SI,HU,2008-12,14444444.444444444
SI,IE,2008-12,1822222.2222222222
SI,IN,2008-12,333333.3333333333
SI,IT,2008-12,67733333.33333333
SI,JP,2008-12,844444.4444444445
SI,LT,2008-12,266666.6666666667
SI,LU,2008-12,488888.88888888893
SI,LV,2008-12,177777.7777777778
SI,MT,2008-12,244444.44444444447
SI,NL,2008-12,7800000.000000001
SI,PL,2008-12,2800000.0000000005
SI,PT,2008-12,333333.3333333333
SI,RO,2008-12,2266666.666666667
SI,RU,2008-12,9355555.555555556
SI,SE,2008-12,2266666.6666666665
SI,SK,2008-12,2377777.777777778
SI,UK,2008-12,13911111.111111112
SI,US,2008-12,6733333.333333333
SI,AT,2009-01,43699999.99999999
SI,BE,2009-01,6933333.333333334
SI,BG,2009-01,1266666.6666666665
SI,BR,2009-01,99999.99999999999
SI,CA,2009-01,799999.9999999999
SI,CH,2009-01,16266666.666666666
SI,CN,2009-01,533333.3333333334
SI,CY,2009-01,366666.6666666667
SI,CZ,2009-01,4033333.333333333
SI,DE,2009-01,35266666.666666664
SI,DK,2009-01,1633333.3333333335
SI,EE,2009-01,166666.66666666666
SI,ES,2009-01,1933333.3333333333
SI,FI,2009-01,1400000.0000000002
SI,FR,2009-01,10266666.666666668
SI,GR,2009-01,566666.6666666666
SI,HK,2009-01,466666.6666666666
SI,HR,2009-01,43366666.666666664
SI,HU,2009-01,14500000.0
SI,IE,2009-01,1733333.3333333335
SI,IN,2009-01,166666.66666666666
SI,IT,2009-01,62933333.333333336
SI,JP,2009-01,766666.6666666666
SI,LT,2009-01,233333.3333333333
SI,LU,2009-01,399999.99999999994
SI,LV,2009-01,99999.99999999999
SI,MT,2009-01,199999.99999999997
SI,NL,2009-01,7700000.0
SI,PL,2009-01,2699999.9999999995
SI,PT,2009-01,333333.3333333333
SI,RO,2009-01,1900000.0000000002
SI,RU,2009-01,6366666.666666667
SI,SE,2009-01,2233333.3333333335
SI,SK,2009-01,2400000.0
SI,UK,2009-01,14366666.666666668
SI,US,2009-01,6766666.666666667
SI,AT,2009-02,47900000.0
SI,BE,2009-02,7555555.555555556
SI,BG,2009-02,1388888.888888889
SI,BR,2009-02,99999.99999999999
SI,CA,2009-02,899999.9999999999
SI,CH,2009-02,18011111.11111111
SI,CN,2009-02,544444.4444444444
SI,CY,2009-02,455555.55555555556
SI,CZ,2009-02,4622222.222222222
SI,DE,2009-02,37588888.88888889
SI,DK,2009-02,1822222.2222222222
SI,EE,2009-02,155555.55555555556
SI,ES,2009-02,2077777.777777778
SI,FI,2009-02,1744444.4444444445
SI,FR,2009-02,10600000.0
SI,GR,2009-02,644444.4444444445
SI,HK,2009-02,422222.22222222225
SI,HR,2009-02,40100000.0
SI,HU,2009-02,13644444.444444444
SI,IE,2009-02,1944444.4444444445
SI,IN,2009-02,177777.77777777778
SI,IT,2009-02,65100000.00000001
SI,JP,2009-02,922222.2222222221
SI,LT,2009-02,322222.2222222222
SI,LU,2009-02,488888.8888888889
SI,LV,2009-02,133333.33333333334
SI,MT,2009-02,222222.22222222222
SI,NL,2009-02,7722222.222222222
SI,PL,2009-02,3133333.3333333335
SI,PT,2009-02,322222.22222222225
SI,RO,2009-02,2355555.5555555555
SI,RU,2009-02,6733333.333333333
SI,SE,2009-02,2244444.4444444445
SI,SK,2009-02,2488888.888888889
SI,UK,2009-02,13377777.777777778
SI,US,2009-02,6577777.777777778
SI,AT,2009-03,52100000.0
SI,BE,2009-03,8177777.777777777
SI,BG,2009-03,1511111.111111111
SI,BR,2009-03,99999.99999999999
SI,CA,2009-03,1000000.0
SI,CH,2009-03,19755555.555555556
SI,CN,2009-03,555555.5555555556
SI,CY,2009-03,544444.4444444444
SI,CZ,2009-03,5211111.111111111
SI,DE,2009-03,39911111.11111111
SI,DK,2009-03,2011111.111111111
SI,EE,2009-03,144444.44444444447
SI,ES,2009-03,2222222.222222222
SI,FI,2009-03,2088888.888888889
SI,FR,2009-03,10933333.333333332
SI,GR,2009-03,722222.2222222222
SI,HK,2009-03,377777.77777777775
SI,HR,2009-03,36833333.333333336
SI,HU,2009-03,12788888.88888889
SI,IE,2009-03,2155555.5555555555
SI,IN,2009-03,188888.88888888888
SI,IT,2009-03,67266666.66666667
SI,JP,2009-03,1077777.7777777778
SI,LT,2009-03,411111.1111111111
SI,LU,2009-03,577777.7777777779
SI,LV,2009-03,166666.66666666666
SI,MT,2009-03,244444.44444444447
SI,NL,2009-03,7744444.444444444
SI,PL,2009-03,3566666.6666666665
SI,PT,2009-03,311111.1111111111
SI,RO,2009-03,2811111.1111111115
SI,RU,2009-03,7100000.000000001
SI,SE,2009-03,2255555.5555555555
SI,SK,2009-03,2577777.777777778
SI,UK,2009-03,12388888.888888892
SI,US,2009-03,6388888.888888889
SI,AT,2009-04,56300000.00000001
SI,BE,2009-04,8799999.999999998
SI,BG,2009-04,1633333.3333333335
SI,BR,2009-04,99999.99999999999
SI,CA,2009-04,1099999.9999999998
SI,CH,2009-04,21500000.0
SI,CN,2009-04,566666.6666666666
SI,CY,2009-04,633333.3333333333
SI,CZ,2009-04,5800000.0
SI,DE,2009-04,42233333.333333336
SI,DK,2009-04,2199999.9999999995
SI,EE,2009-04,133333.33333333334
SI,ES,2009-04,2366666.6666666665
SI,FI,2009-04,2433333.333333333
SI,FR,2009-04,11266666.666666666
SI,GR,2009-04,799999.9999999999
SI,HK,2009-04,333333.3333333333
SI,HR,2009-04,33566666.66666667
SI,HU,2009-04,11933333.333333332
SI,IE,2009-04,2366666.6666666665
SI,IN,2009-04,199999.99999999997
SI,IT,2009-04,69433333.33333334
SI,JP,2009-04,1233333.3333333335
SI,LT,2009-04,500000.0
SI,LU,2009-04,666666.6666666666
SI,LV,2009-04,199999.99999999997
SI,MT,2009-04,266666.6666666667
SI,NL,2009-04,7766666.666666667
SI,PL,2009-04,4000000.0
SI,PT,2009-04,300000.0
SI,RO,2009-04,3266666.666666667
SI,RU,2009-04,7466666.666666666
SI,SE,2009-04,2266666.6666666665
SI,SK,2009-04,2666666.6666666665
SI,UK,2009-04,11400000.0
SI,US,2009-04,6200000.0
SI,AT,2009-05,58555555.55555555
SI,BE,2009-05,10022222.222222222
SI,BG,2009-05,1700000.0000000002
SI,BR,2009-05,111111.11111111111
SI,CA,2009-05,1111111.111111111
SI,CH,2009-05,21033333.333333336
SI,CN,2009-05,533333.3333333334
SI,CY,2009-05,666666.6666666666
SI,CZ,2009-05,6788888.888888889
SI,DE,2009-05,44000000.0
SI,DK,2009-05,2466666.6666666665
SI,EE,2009-05,155555.55555555556
SI,ES,2009-05,2655555.5555555555
SI,FI,2009-05,2211111.111111111
SI,FR,2009-05,11433333.333333332
SI,GR,2009-05,877777.7777777778
SI,HK,2009-05,444444.44444444444
SI,HR,2009-05,33333333.333333336
SI,HU,2009-05,12911111.111111112
SI,IE,2009-05,2422222.222222222
SI,IN,2009-05,222222.22222222222
SI,IT,2009-05,74866666.66666666
SI,JP,2009-05,1177777.7777777778
SI,LT,2009-05,544444.4444444444
SI,LU,2009-05,733333.3333333334
SI,LV,2009-05,211111.11111111112
SI,MT,2009-05,333333.3333333333
SI,NL,2009-05,9900000.0
SI,PL,2009-05,4344444.444444444
SI,PT,2009-05,500000.0
SI,RO,2009-05,3277777.777777778
SI,RU,2009-05,8266666.666666668
SI,SE,2009-05,2877777.777777778
SI,SK,2009-05,2766666.666666667
SI,UK,2009-05,12011111.111111112
SI,US,2009-05,6533333.333333334
SI,AT,2009-06,60811111.11111111
SI,BE,2009-06,11244444.444444446
