reporter,partner,TIME_PERIOD,OBS_VALUE
SI,AT,2008-01,43333333.333333336
SI,BE,2008-01,5666666.666666667
SI,BG,2008-01,666666.6666666666
SI,BR,2008-01,0.0
SI,CA,2008-01,2666666.6666666665
SI,CH,2008-01,5666666.666666667
SI,CN,2008-01,333333.3333333333
SI,CY,2008-01,3000000.0
SI,CZ,2008-01,5333333.333333333
SI,DE,2008-01,25333333.333333332
SI,DK,2008-01,1666666.6666666667
SI,EE,2008-01,0.0
SI,ES,2008-01,2333333.3333333335
SI,FI,2008-01,333333.3333333333
SI,FR,2008-01,11333333.333333334
SI,GR,2008-01,333333.3333333333
SI,HK,2008-01,333333.3333333333
SI,HR,2008-01,26000000.0
SI,HU,2008-01,5333333.333333333
SI,IE,2008-01,5666666.666666667
SI,IN,2008-01,333333.3333333333
SI,IT,2008-01,25666666.666666668
SI,JP,2008-01,333333.3333333333
SI,LT,2008-01,333333.3333333333
SI,LU,2008-01,333333.3333333333
SI,LV,2008-01,666666.6666666666
SI,MT,2008-01,333333.3333333333
SI,NL,2008-01,2666666.6666666665
SI,PL,2008-01,7666666.666666667
SI,PT,2008-01,333333.3333333333
SI,RO,2008-01,2666666.6666666665
SI,RU,2008-01,7666666.666666667
SI,SE,2008-01,2666666.6666666665
SI,SK,2008-01,3000000.0
SI,UK,2008-01,10000000.0
SI,US,2008-01,8000000.0
SI,AT,2008-02,44222222.222222224
SI,BE,2008-02,5555555.555555556
SI,BG,2008-02,777777.7777777778
SI,BR,2008-02,0.0
SI,CA,2008-02,2888888.888888889
SI,CH,2008-02,6444444.444444444
SI,CN,2008-02,444444.44444444444
SI,CY,2008-02,2333333.3333333335
SI,CZ,2008-02,5444444.444444444
SI,DE,2008-02,26444444.444444444
SI,DK,2008-02,2222222.2222222225
SI,EE,2008-02,0.0
SI,ES,2008-02,2444444.444444444
SI,FI,2008-02,333333.3333333333
SI,FR,2008-02,10888888.888888888
SI,GR,2008-02,666666.6666666666
SI,HK,2008-02,333333.3333333333
SI,HR,2008-02,30888888.888888888
SI,HU,2008-02,5888888.888888889
SI,IE,2008-02,5444444.444444444
SI,IN,2008-02,333333.3333333333
SI,IT,2008-02,25222222.222222224
SI,JP,2008-02,333333.3333333333
SI,LT,2008-02,555555.5555555555
SI,LU,2008-02,333333.3333333333
SI,LV,2008-02,555555.5555555556
SI,MT,2008-02,222222.22222222225
SI,NL,2008-02,2777777.777777778
SI,PL,2008-02,7444444.444444444
SI,PT,2008-02,333333.3333333333
SI,RO,2008-02,2777777.777777778
SI,RU,2008-02,8111111.111111111
SI,SE,2008-02,2333333.3333333335
SI,SK,2008-02,3000000.0
SI,UK,2008-02,10000000.0
SI,US,2008-02,8333333.333333334
SI,AT,2008-03,45111111.11111111
SI,BE,2008-03,5444444.444444444
SI,BG,2008-03,888888.8888888889
SI,BR,2008-03,0.0
SI,CA,2008-03,3111111.111111111
SI,CH,2008-03,7222222.222222222
SI,CN,2008-03,555555.5555555555
SI,CY,2008-03,1666666.6666666667
SI,CZ,2008-03,5555555.555555556
SI,DE,2008-03,27555555.555555556
SI,DK,2008-03,2777777.777777778
SI,EE,2008-03,0.0
SI,ES,2008-03,2555555.555555556
SI,FI,2008-03,333333.3333333333
SI,FR,2008-03,10444444.444444444
SI,GR,2008-03,1000000.0
SI,HK,2008-03,333333.3333333333
SI,HR,2008-03,35777777.777777776
SI,HU,2008-03,6444444.444444444
SI,IE,2008-03,5222222.222222222
SI,IN,2008-03,333333.3333333333
SI,IT,2008-03,24777777.777777776
