reporter,partner,TIME_PERIOD,OBS_VALUE
SK,AT,2013-01,34199999.99999999
SK,BE,2013-01,9333333.333333334
SK,BG,2013-01,1033333.3333333335
SK,BR,2013-01,6033333.333333334
SK,CA,2013-01,2699999.9999999995
SK,CH,2013-01,7600000.000000001
SK,CN,2013-01,1066666.6666666667
SK,CY,2013-01,3666666.6666666665
SK,CZ,2013-01,108633333.33333333
SK,DE,2013-01,85633333.33333333
SK,DK,2013-01,3566666.6666666665
SK,EE,2013-01,266666.6666666667
SK,ES,2013-01,4200000.0
SK,FI,2013-01,1700000.0
SK,FR,2013-01,17866666.666666668
SK,GR,2013-01,1200000.0
SK,HK,2013-01,166666.66666666666
SK,HR,2013-01,933333.3333333333
SK,HU,2013-01,22500000.0
SK,IE,2013-01,7899999.999999999
SK,IN,2013-01,199999.99999999997
SK,IT,2013-01,18900000.000000004
SK,JP,2013-01,1400000.0000000002
SK,LT,2013-01,799999.9999999999
SK,LU,2013-01,2633333.3333333335
SK,LV,2013-01,500000.0
SK,MT,2013-01,500000.0
SK,NL,2013-01,25233333.333333336
SK,PL,2013-01,44266666.66666667
SK,PT,2013-01,566666.6666666666
SK,RO,2013-01,2633333.3333333335
SK,RU,2013-01,45433333.333333336
SK,SE,2013-01,3800000.0000000005
SK,SI,2013-01,3066666.6666666665
SK,UK,2013-01,14400000.0
SK,US,2013-01,6666666.666666667
SK,AT,2013-02,35477777.777777776
SK,BE,2013-02,9700000.000000002
SK,BG,2013-02,1077777.7777777778
SK,BR,2013-02,7588888.88888889
SK,CA,2013-02,3722222.222222222
SK,CH,2013-02,7988888.88888889
SK,CN,2013-02,1144444.4444444445
SK,CY,2013-02,3788888.888888889
SK,CZ,2013-02,111355555.55555555
SK,DE,2013-02,89633333.33333333
SK,DK,2013-02,3822222.2222222225
SK,EE,2013-02,288888.88888888893
SK,ES,2013-02,4388888.888888888
SK,FI,2013-02,1799999.9999999998
SK,FR,2013-02,19000000.0
SK,GR,2013-02,1277777.777777778
SK,HK,2013-02,188888.88888888888
SK,HR,2013-02,1011111.1111111111
