reporter,partner,TIME_PERIOD,OBS_VALUE
SK,AT,2013-01,38066666.66666667
SK,BE,2013-01,8600000.0
SK,BG,2013-01,4033333.333333333
SK,BR,2013-01,1766666.6666666665
SK,CA,2013-01,5000000.0
SK,CH,2013-01,4833333.333333333
SK,CN,2013-01,2000000.0
SK,CY,2013-01,4966666.666666667
SK,CZ,2013-01,101800000.0
SK,DE,2013-01,68500000.0
SK,DK,2013-01,2100000.0
SK,EE,2013-01,233333.3333333333
SK,ES,2013-01,3800000.0000000005
SK,FI,2013-01,1033333.3333333335
SK,FR,2013-01,12133333.333333332
SK,GR,2013-01,2933333.3333333335
SK,HK,2013-01,666666.6666666666
SK,HR,2013-01,9299999.999999998
SK,HU,2013-01,22500000.0
SK,IE,2013-01,2199999.9999999995
SK,IN,2013-01,333333.3333333333
SK,IT,2013-01,25900000.000000004
SK,JP,2013-01,1466666.6666666667
SK,LT,2013-01,600000.0
SK,LU,2013-01,1800000.0
SK,LV,2013-01,399999.99999999994
SK,MT,2013-01,700000.0000000001
SK,NL,2013-01,8733333.333333332
SK,PL,2013-01,35199999.99999999
SK,PT,2013-01,2766666.666666667
SK,RO,2013-01,2266666.6666666665
SK,RU,2013-01,5866666.666666667
SK,SE,2013-01,3933333.3333333335
SK,SI,2013-01,2966666.666666667
SK,UK,2013-01,7633333.333333333
SK,US,2013-01,10366666.666666668
SK,AT,2013-02,41122222.22222222
SK,BE,2013-02,8900000.0
SK,BG,2013-02,4366666.666666666
SK,BR,2013-02,1911111.1111111112
SK,CA,2013-02,4866666.666666666
SK,CH,2013-02,5066666.666666667
SK,CN,2013-02,2211111.1111111115
SK,CY,2013-02,5233333.333333333
SK,CZ,2013-02,103244444.44444443
SK,DE,2013-02,72188888.88888888
SK,DK,2013-02,2266666.6666666665
SK,EE,2013-02,244444.44444444444
SK,ES,2013-02,4033333.333333333
SK,FI,2013-02,1077777.7777777778
SK,FR,2013-02,13377777.777777778
SK,GR,2013-02,3133333.3333333335
SK,HK,2013-02,733333.3333333334
SK,HR,2013-02,11299999.999999998
SK,HU,2013-02,23733333.333333336
SK,IE,2013-02,2311111.111111111
SK,IN,2013-02,355555.55555555556
SK,IT,2013-02,27422222.22222222
SK,JP,2013-02,1466666.6666666667
SK,LT,2013-02,633333.3333333334
SK,LU,2013-02,1888888.888888889
SK,LV,2013-02,411111.1111111111
SK,MT,2013-02,755555.5555555555
SK,NL,2013-02,9144444.444444444
SK,PL,2013-02,38244444.44444445
SK,PT,2013-02,3111111.111111111
SK,RO,2013-02,2422222.222222222
SK,RU,2013-02,6111111.111111112
SK,SE,2013-02,4233333.333333333
SK,SI,2013-02,3133333.3333333335
SK,UK,2013-02,8411111.11111111
SK,US,2013-02,11000000.0
SK,AT,2013-03,44177777.777777776
