reporter,partner,TIME_PERIOD,OBS_VALUE
UK,AT,1999-01,49033333.33333333
UK,BE,1999-01,235866666.6666667
UK,BG,1999-01,7766666.666666667
UK,BR,1999-01,49033333.33333333
UK,CA,1999-01,157733333.3333333
UK,CH,1999-01,286833333.3333333
UK,CN,1999-01,48033333.33333333
UK,CY,1999-01,19900000.000000004
UK,CZ,1999-01,20400000.000000004
UK,DE,1999-01,683366666.6666666
UK,DK,1999-01,118433333.33333334
UK,EE,1999-01,0.0
UK,ES,1999-01,401866666.6666666
UK,FI,1999-01,69399999.99999999
UK,FR,1999-01,622699999.9999999
UK,GR,1999-01,96600000.00000001
UK,HK,1999-01,128633333.33333333
UK,HR,1999-01,0.0
UK,HU,1999-01,14066666.666666668
UK,IE,1999-01,323733333.3333334
UK,IN,1999-01,75233333.33333333
UK,IT,1999-01,339266666.6666666
UK,JP,1999-01,342666666.6666667
UK,LT,1999-01,0.0
UK,LU,1999-01,54366666.666666664
UK,LV,1999-01,0.0
UK,MT,1999-01,9233333.333333332
UK,NL,1999-01,469333333.3333333
UK,PL,1999-01,34466666.66666667
UK,PT,1999-01,82033333.33333333
UK,RO,1999-01,5833333.333333333
UK,RU,1999-01,34933333.33333333
UK,SE,1999-01,154333333.33333334
UK,SI,1999-01,0.0
UK,SK,1999-01,0.0
UK,US,1999-01,2067100000.0
UK,AT,1999-02,48900000.0
UK,BE,1999-02,245922222.2222222
UK,BG,1999-02,8222222.222222223
UK,BR,1999-02,50422222.22222222
UK,CA,1999-02,164777777.77777776
UK,CH,1999-02,294588888.8888889
UK,CN,1999-02,50433333.33333333
UK,CY,1999-02,24755555.555555556
UK,CZ,1999-02,22044444.444444448
UK,DE,1999-02,715522222.2222222
UK,DK,1999-02,123377777.77777778
UK,EE,1999-02,0.0
UK,ES,1999-02,442388888.88888884
UK,FI,1999-02,71100000.0
UK,FR,1999-02,646188888.8888888
UK,GR,1999-02,115411111.1111111
UK,HK,1999-02,133555555.55555554
UK,HR,1999-02,166666.66666666666
UK,HU,1999-02,15622222.222222222
UK,IE,1999-02,338111111.11111116
UK,IN,1999-02,76500000.0
UK,IT,1999-02,358088888.8888889
UK,JP,1999-02,357488888.8888889
UK,LT,1999-02,166666.66666666666
UK,LU,1999-02,55500000.0
UK,LV,1999-02,166666.66666666666
UK,MT,1999-02,10044444.444444444
UK,NL,1999-02,488377777.7777778
UK,PL,1999-02,36322222.222222224
UK,PT,1999-02,88633333.33333333
UK,RO,1999-02,6422222.222222222
UK,RU,1999-02,37811111.11111111
UK,SE,1999-02,161155555.55555552
UK,SI,1999-02,166666.66666666666
UK,SK,1999-02,166666.66666666666
UK,US,1999-02,2156200000.0000005
UK,AT,1999-03,48766666.66666667
UK,BE,1999-03,255977777.7777778
UK,BG,1999-03,8677777.777777778
UK,BR,1999-03,51811111.11111111
UK,CA,1999-03,171822222.2222222
UK,CH,1999-03,302344444.4444444
UK,CN,1999-03,52833333.333333336
UK,CY,1999-03,29611111.111111116
UK,CZ,1999-03,23688888.888888888
UK,DE,1999-03,747677777.7777778
UK,DK,1999-03,128322222.22222222
UK,EE,1999-03,0.0
UK,ES,1999-03,482911111.1111111
UK,FI,1999-03,72800000.0
UK,FR,1999-03,669677777.7777778
UK,GR,1999-03,134222222.22222224
UK,HK,1999-03,138477777.7777778
UK,HR,1999-03,333333.3333333333
UK,HU,1999-03,17177777.77777778
UK,IE,1999-03,352488888.8888889
UK,IN,1999-03,77766666.66666667
UK,IT,1999-03,376911111.1111111
UK,JP,1999-03,372311111.1111111
UK,LT,1999-03,333333.3333333333
UK,LU,1999-03,56633333.333333336
UK,LV,1999-03,333333.3333333333
UK,MT,1999-03,10855555.555555554
UK,NL,1999-03,507422222.2222222
UK,PL,1999-03,38177777.777777776
UK,PT,1999-03,95233333.33333333
UK,RO,1999-03,7011111.111111112
UK,RU,1999-03,40688888.88888889
UK,SE,1999-03,167977777.7777778
UK,SI,1999-03,333333.3333333333
UK,SK,1999-03,333333.3333333333
UK,US,1999-03,2245299999.9999995
UK,AT,1999-04,48633333.333333336
UK,BE,1999-04,266033333.33333337
UK,BG,1999-04,9133333.333333332
UK,BR,1999-04,53199999.99999999
UK,CA,1999-04,178866666.6666667
UK,CH,1999-04,310099999.99999994
UK,CN,1999-04,55233333.33333333
UK,CY,1999-04,34466666.66666667
UK,CZ,1999-04,25333333.333333332
UK,DE,1999-04,779833333.3333334
UK,DK,1999-04,133266666.66666669
UK,EE,1999-04,0.0
UK,ES,1999-04,523433333.33333325
UK,FI,1999-04,74500000.0
UK,FR,1999-04,693166666.6666666
UK,GR,1999-04,153033333.33333334
UK,HK,1999-04,143400000.0
UK,HR,1999-04,500000.0
UK,HU,1999-04,18733333.333333336
UK,IE,1999-04,366866666.6666666
UK,IN,1999-04,79033333.33333333
UK,IT,1999-04,395733333.3333334
UK,JP,1999-04,387133333.3333334
UK,LT,1999-04,500000.0
UK,LU,1999-04,57766666.66666667
UK,LV,1999-04,500000.0
UK,MT,1999-04,11666666.666666666
UK,NL,1999-04,526466666.6666667
UK,PL,1999-04,40033333.33333333
UK,PT,1999-04,101833333.33333333
UK,RO,1999-04,7600000.000000001
UK,RU,1999-04,43566666.666666664
UK,SE,1999-04,174799999.99999997
UK,SI,1999-04,500000.0
UK,SK,1999-04,500000.0
UK,US,1999-04,2334400000.0
UK,AT,1999-05,50411111.11111112
UK,BE,1999-05,267955555.55555558
UK,BG,1999-05,9655555.555555554
UK,BR,1999-05,55488888.88888889
UK,CA,1999-05,184566666.6666667
UK,CH,1999-05,313788888.8888889
UK,CN,1999-05,56333333.333333336
UK,CY,1999-05,36722222.222222224
UK,CZ,1999-05,25877777.77777778
UK,DE,1999-05,791166666.6666666
UK,DK,1999-05,137700000.00000003
UK,EE,1999-05,0.0
UK,ES,1999-05,540322222.2222222
UK,FI,1999-05,75111111.11111112
UK,FR,1999-05,706588888.888889
UK,GR,1999-05,168022222.2222222
UK,HK,1999-05,148366666.66666666
UK,HR,1999-05,677777.7777777778
UK,HU,1999-05,19444444.444444448
UK,IE,1999-05,375211111.11111104
UK,IN,1999-05,83911111.1111111
UK,IT,1999-05,402433333.3333333
UK,JP,1999-05,391777777.77777785
UK,LT,1999-05,677777.7777777778
UK,LU,1999-05,58188888.88888889
UK,LV,1999-05,677777.7777777778
UK,MT,1999-05,12355555.555555556
UK,NL,1999-05,532344444.4444444
UK,PL,1999-05,41622222.22222222
UK,PT,1999-05,104877777.77777778
UK,RO,1999-05,7266666.666666667
UK,RU,1999-05,44144444.44444445
UK,SE,1999-05,179133333.3333333
UK,SI,1999-05,677777.7777777778
UK,SK,1999-05,677777.7777777778
