reporter,partner,TIME_PERIOD,OBS_VALUE
UK,AT,1999-01,51433333.333333336
UK,BE,1999-01,162100000.0
UK,BG,1999-01,4366666.666666666
UK,BR,1999-01,17466666.666666664
UK,CA,1999-01,114066666.66666666
UK,CH,1999-01,170833333.33333334
UK,CN,1999-01,38833333.333333336
UK,CY,1999-01,90266666.66666667
UK,CZ,1999-01,17000000.0
UK,DE,1999-01,497500000.0
UK,DK,1999-01,53400000.0
UK,EE,1999-01,966666.6666666666
UK,ES,1999-01,694066666.6666666
UK,FI,1999-01,29599999.999999996
UK,FR,1999-01,795966666.6666667
UK,GR,1999-01,167933333.33333334
UK,HK,1999-01,85433333.33333334
UK,HR,1999-01,966666.6666666666
UK,HU,1999-01,11166666.666666666
UK,IE,1999-01,478066666.6666667
UK,IN,1999-01,91233333.33333333
UK,IT,1999-01,277633333.3333333
UK,JP,1999-01,131533333.33333333
UK,LT,1999-01,4366666.666666666
UK,LU,1999-01,20866666.666666668
UK,LV,1999-01,0.0
UK,MT,1999-01,25233333.333333336
UK,NL,1999-01,279566666.6666667
UK,PL,1999-01,21366666.666666664
UK,PT,1999-01,117933333.33333334
UK,RO,1999-01,3866666.6666666665
UK,RU,1999-01,15033333.333333334
UK,SE,1999-01,92700000.0
UK,SI,1999-01,966666.6666666666
UK,SK,1999-01,966666.6666666666
UK,US,1999-01,1341500000.0
UK,AT,1999-02,54722222.22222223
UK,BE,1999-02,170055555.55555558
UK,BG,1999-02,5111111.111111112
UK,BR,1999-02,18911111.111111112
UK,CA,1999-02,124522222.22222222
UK,CH,1999-02,175877777.77777776
UK,CN,1999-02,41766666.666666664
UK,CY,1999-02,99866666.66666667
UK,CZ,1999-02,18422222.22222222
UK,DE,1999-02,525900000.0
UK,DK,1999-02,56877777.777777776
UK,EE,1999-02,977777.7777777778
UK,ES,1999-02,759811111.1111112
UK,FI,1999-02,30877777.777777776
UK,FR,1999-02,863888888.8888888
UK,GR,1999-02,180533333.33333334
UK,HK,1999-02,89722222.22222222
UK,HR,1999-02,1488888.888888889
UK,HU,1999-02,12000000.0
UK,IE,1999-02,498088888.8888889
UK,IN,1999-02,97644444.44444445
UK,IT,1999-02,296566666.6666667
UK,JP,1999-02,135822222.2222222
UK,LT,1999-02,4433333.333333333
UK,LU,1999-02,21511111.11111111
UK,LV,1999-02,166666.66666666666
UK,MT,1999-02,28477777.777777776
UK,NL,1999-02,293800000.0
UK,PL,1999-02,23700000.0
UK,PT,1999-02,127944444.44444445
UK,RO,1999-02,4266666.666666667
UK,RU,1999-02,16266666.66666667
UK,SE,1999-02,96255555.55555557
UK,SI,1999-02,977777.7777777778
UK,SK,1999-02,977777.7777777778
UK,US,1999-02,1418777777.7777777
UK,AT,1999-03,58011111.11111111
UK,BE,1999-03,178011111.1111111
UK,BG,1999-03,5855555.555555555
UK,BR,1999-03,20355555.55555556
UK,CA,1999-03,134977777.7777778
UK,CH,1999-03,180922222.2222222
UK,CN,1999-03,44699999.99999999
UK,CY,1999-03,109466666.66666666
UK,CZ,1999-03,19844444.444444444
UK,DE,1999-03,554300000.0
UK,DK,1999-03,60355555.55555555
UK,EE,1999-03,988888.8888888889
UK,ES,1999-03,825555555.5555556
UK,FI,1999-03,32155555.55555556
UK,FR,1999-03,931811111.1111112
UK,GR,1999-03,193133333.33333334
UK,HK,1999-03,94011111.1111111
UK,HR,1999-03,2011111.111111111
UK,HU,1999-03,12833333.333333334
UK,IE,1999-03,518111111.1111112
UK,IN,1999-03,104055555.55555554
UK,IT,1999-03,315500000.0
UK,JP,1999-03,140111111.1111111
UK,LT,1999-03,4500000.0
UK,LU,1999-03,22155555.555555556
UK,LV,1999-03,333333.3333333333
UK,MT,1999-03,31722222.222222224
UK,NL,1999-03,308033333.3333334
UK,PL,1999-03,26033333.333333332
UK,PT,1999-03,137955555.55555555
UK,RO,1999-03,4666666.666666667
UK,RU,1999-03,17500000.0
UK,SE,1999-03,99811111.11111112
UK,SI,1999-03,988888.8888888889
UK,SK,1999-03,988888.8888888889
UK,US,1999-03,1496055555.5555556
UK,AT,1999-04,61300000.00000001
UK,BE,1999-04,185966666.66666666
UK,BG,1999-04,6600000.000000001
UK,BR,1999-04,21800000.0
UK,CA,1999-04,145433333.33333334
UK,CH,1999-04,185966666.66666666
UK,CN,1999-04,47633333.333333336
UK,CY,1999-04,119066666.66666666
UK,CZ,1999-04,21266666.666666664
UK,DE,1999-04,582699999.9999999
UK,DK,1999-04,63833333.333333336
UK,EE,1999-04,1000000.0
UK,ES,1999-04,891300000.0000001
UK,FI,1999-04,33433333.33333333
UK,FR,1999-04,999733333.3333333
UK,GR,1999-04,205733333.33333334
UK,HK,1999-04,98300000.0
UK,HR,1999-04,2533333.333333333
UK,HU,1999-04,13666666.666666666
UK,IE,1999-04,538133333.3333334
UK,IN,1999-04,110466666.66666666
UK,IT,1999-04,334433333.3333333
UK,JP,1999-04,144400000.0
UK,LT,1999-04,4566666.666666666
UK,LU,1999-04,22800000.0
UK,LV,1999-04,500000.0
UK,MT,1999-04,34966666.66666667
UK,NL,1999-04,322266666.6666666
UK,PL,1999-04,28366666.666666664
UK,PT,1999-04,147966666.66666666
UK,RO,1999-04,5066666.666666666
UK,RU,1999-04,18733333.333333336
UK,SE,1999-04,103366666.66666667
UK,SI,1999-04,1000000.0
UK,SK,1999-04,1000000.0
UK,US,1999-04,1573333333.3333333
UK,AT,1999-05,64277777.77777778
UK,BE,1999-05,189799999.99999997
UK,BG,1999-05,8300000.000000001
UK,BR,1999-05,22677777.777777776
UK,CA,1999-05,154466666.66666666
UK,CH,1999-05,190144444.44444442
